data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-11-22T02:37:40.622426+00:00,LaLiga,Bétis x Girona FC,Bétis,Girona FC,2025-11-23T15:15:00Z,1X2,1,,1.57,https://www.betano.bet.br/odds/betis-girona-fc/72562953/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:40.622447+00:00,LaLiga,Bétis x Girona FC,Bétis,Girona FC,2025-11-23T15:15:00Z,1X2,X,,4.5,https://www.betano.bet.br/odds/betis-girona-fc/72562953/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:40.622459+00:00,LaLiga,Bétis x Girona FC,Bétis,Girona FC,2025-11-23T15:15:00Z,1X2,2,,5.3,https://www.betano.bet.br/odds/betis-girona-fc/72562953/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:49.899451+00:00,LaLiga,Real Oviedo x Rayo Vallecano,Real Oviedo,Rayo Vallecano,2025-11-23T13:00:00Z,1X2,1,,3.45,https://www.betano.bet.br/odds/real-oviedo-rayo-vallecano/72562958/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:49.899477+00:00,LaLiga,Real Oviedo x Rayo Vallecano,Real Oviedo,Rayo Vallecano,2025-11-23T13:00:00Z,1X2,X,,3.25,https://www.betano.bet.br/odds/real-oviedo-rayo-vallecano/72562958/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:49.899489+00:00,LaLiga,Real Oviedo x Rayo Vallecano,Real Oviedo,Rayo Vallecano,2025-11-23T13:00:00Z,1X2,2,,2.22,https://www.betano.bet.br/odds/real-oviedo-rayo-vallecano/72562958/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:38:05.442101+00:00,Série A,Inter de Milão x AC Milan,Inter de Milão,AC Milan,2025-11-23T19:45:00Z,1X2,1,,1.98,https://www.betano.bet.br/odds/inter-de-milao-ac-milan/75691420/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-11-22T02:38:05.442131+00:00,Série A,Inter de Milão x AC Milan,Inter de Milão,AC Milan,2025-11-23T19:45:00Z,1X2,X,,3.4,https://www.betano.bet.br/odds/inter-de-milao-ac-milan/75691420/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-11-22T02:38:05.442145+00:00,Série A,Inter de Milão x AC Milan,Inter de Milão,AC Milan,2025-11-23T19:45:00Z,1X2,2,,4.0,https://www.betano.bet.br/odds/inter-de-milao-ac-milan/75691420/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-11-22T02:38:14.905232+00:00,Série A,US Cremonese x Roma,US Cremonese,Roma,2025-11-23T14:00:00Z,1X2,1,,5.6,https://www.betano.bet.br/odds/us-cremonese-roma/75691513/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-11-22T02:38:14.905267+00:00,Série A,US Cremonese x Roma,US Cremonese,Roma,2025-11-23T14:00:00Z,1X2,X,,3.8,https://www.betano.bet.br/odds/us-cremonese-roma/75691513/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-11-22T02:38:14.905285+00:00,Série A,US Cremonese x Roma,US Cremonese,Roma,2025-11-23T14:00:00Z,1X2,2,,1.65,https://www.betano.bet.br/odds/us-cremonese-roma/75691513/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-11-22T02:38:30.550558+00:00,Bundesliga,Wolfsburg x Bayer Leverkusen,Wolfsburg,Bayer Leverkusen,2025-11-22T14:30:00Z,1X2,1,,3.4,https://www.betano.bet.br/odds/wolfsburg-bayer-leverkusen/74622125/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-11-22T02:38:30.550584+00:00,Bundesliga,Wolfsburg x Bayer Leverkusen,Wolfsburg,Bayer Leverkusen,2025-11-22T14:30:00Z,1X2,X,,3.7,https://www.betano.bet.br/odds/wolfsburg-bayer-leverkusen/74622125/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-11-22T02:38:30.550595+00:00,Bundesliga,Wolfsburg x Bayer Leverkusen,Wolfsburg,Bayer Leverkusen,2025-11-22T14:30:00Z,1X2,2,,2.05,https://www.betano.bet.br/odds/wolfsburg-bayer-leverkusen/74622125/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-11-22T02:38:39.770727+00:00,Bundesliga,RB Leipzig x Werder Bremen,RB Leipzig,Werder Bremen,2025-11-23T14:30:00Z,1X2,1,,1.47,https://www.betano.bet.br/odds/rb-leipzig-werder-bremen/74672560/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-11-22T02:38:39.770752+00:00,Bundesliga,RB Leipzig x Werder Bremen,RB Leipzig,Werder Bremen,2025-11-23T14:30:00Z,1X2,X,,5.0,https://www.betano.bet.br/odds/rb-leipzig-werder-bremen/74672560/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-11-22T02:38:39.770764+00:00,Bundesliga,RB Leipzig x Werder Bremen,RB Leipzig,Werder Bremen,2025-11-23T14:30:00Z,1X2,2,,6.0,https://www.betano.bet.br/odds/rb-leipzig-werder-bremen/74672560/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-11-22T02:38:54.593181+00:00,Ligue 1,Lens x Estrasburgo,Lens,Estrasburgo,2025-11-22T16:00:00Z,1X2,1,,2.07,https://www.betano.bet.br/odds/lens-estrasburgo/75039095/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-11-22T02:38:54.593205+00:00,Ligue 1,Lens x Estrasburgo,Lens,Estrasburgo,2025-11-22T16:00:00Z,1X2,X,,3.65,https://www.betano.bet.br/odds/lens-estrasburgo/75039095/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-11-22T02:38:54.593216+00:00,Ligue 1,Lens x Estrasburgo,Lens,Estrasburgo,2025-11-22T16:00:00Z,1X2,2,,3.4,https://www.betano.bet.br/odds/lens-estrasburgo/75039095/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-11-22T02:39:03.966121+00:00,Ligue 1,Lille x Paris FC,Lille,Paris FC,2025-11-23T19:45:00Z,1X2,1,,1.65,https://www.betano.bet.br/odds/lille-paris-fc/74678291/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-11-22T02:39:03.966147+00:00,Ligue 1,Lille x Paris FC,Lille,Paris FC,2025-11-23T19:45:00Z,1X2,X,,3.9,https://www.betano.bet.br/odds/lille-paris-fc/74678291/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-11-22T02:39:03.966158+00:00,Ligue 1,Lille x Paris FC,Lille,Paris FC,2025-11-23T19:45:00Z,1X2,2,,5.3,https://www.betano.bet.br/odds/lille-paris-fc/74678291/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
