data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-12-11T01:05:14.233375+00:00,La Liga,Mallorca x Elche,Mallorca,Elche,2025-12-13T15:15:00Z,1X2,X,,3.05,https://www.betano.bet.br/odds/mallorca-elche/73610599/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T01:05:14.233375+00:00,La Liga,Mallorca x Elche,Mallorca,Elche,2025-12-13T15:15:00Z,1X2,2,,3.15,https://www.betano.bet.br/odds/mallorca-elche/73610599/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T01:05:41.548477+00:00,La Liga,Atlético de Madrid x Valencia,Atlético de Madrid,Valencia,2025-12-13T13:00:00Z,1X2,1,,1.29,https://www.betano.bet.br/odds/atletico-de-madrid-valencia/73610609/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T01:05:41.548477+00:00,La Liga,Atlético de Madrid x Valencia,Atlético de Madrid,Valencia,2025-12-13T13:00:00Z,1X2,X,,5.3,https://www.betano.bet.br/odds/atletico-de-madrid-valencia/73610609/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T01:05:41.548477+00:00,La Liga,Atlético de Madrid x Valencia,Atlético de Madrid,Valencia,2025-12-13T13:00:00Z,1X2,2,,11.25,https://www.betano.bet.br/odds/atletico-de-madrid-valencia/73610609/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T01:06:09.585319+00:00,La Liga,Getafe CF x Espanyol,Getafe CF,Espanyol,2025-12-13T20:00:00Z,1X2,1,,2.6,https://www.betano.bet.br/odds/getafe-cf-espanyol/73610601/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T01:06:09.585319+00:00,La Liga,Getafe CF x Espanyol,Getafe CF,Espanyol,2025-12-13T20:00:00Z,1X2,X,,2.85,https://www.betano.bet.br/odds/getafe-cf-espanyol/73610601/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T01:06:09.585319+00:00,La Liga,Getafe CF x Espanyol,Getafe CF,Espanyol,2025-12-13T20:00:00Z,1X2,2,,3.2,https://www.betano.bet.br/odds/getafe-cf-espanyol/73610601/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T01:06:56.873896+00:00,Série A,Parma Calcio 1913 x Lazio,Parma Calcio 1913,Lazio,2025-12-13T17:00:00Z,1X2,1,,3.75,https://www.betano.bet.br/odds/parma-calcio-1913-lazio/76249623/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:06:56.873896+00:00,Série A,Parma Calcio 1913 x Lazio,Parma Calcio 1913,Lazio,2025-12-13T17:00:00Z,1X2,X,,3.35,https://www.betano.bet.br/odds/parma-calcio-1913-lazio/76249623/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:06:56.873896+00:00,Série A,Parma Calcio 1913 x Lazio,Parma Calcio 1913,Lazio,2025-12-13T17:00:00Z,1X2,2,,2.07,https://www.betano.bet.br/odds/parma-calcio-1913-lazio/76249623/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:07:21.749245+00:00,Série A,US Lecce x AC Pisa 1909,US Lecce,AC Pisa 1909,2025-12-12T19:45:00Z,1X2,1,,2.42,https://www.betano.bet.br/odds/us-lecce-ac-pisa-1909/75949189/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:07:21.749245+00:00,Série A,US Lecce x AC Pisa 1909,US Lecce,AC Pisa 1909,2025-12-12T19:45:00Z,1X2,X,,2.9,https://www.betano.bet.br/odds/us-lecce-ac-pisa-1909/75949189/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:07:21.749245+00:00,Série A,US Lecce x AC Pisa 1909,US Lecce,AC Pisa 1909,2025-12-12T19:45:00Z,1X2,2,,3.4,https://www.betano.bet.br/odds/us-lecce-ac-pisa-1909/75949189/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:07:45.728534+00:00,Série A,Atalanta x Cagliari,Atalanta,Cagliari,2025-12-13T19:45:00Z,1X2,1,,1.35,https://www.betano.bet.br/odds/atalanta-cagliari/76249662/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:07:45.728534+00:00,Série A,Atalanta x Cagliari,Atalanta,Cagliari,2025-12-13T19:45:00Z,1X2,X,,5.1,https://www.betano.bet.br/odds/atalanta-cagliari/76249662/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:07:45.728534+00:00,Série A,Atalanta x Cagliari,Atalanta,Cagliari,2025-12-13T19:45:00Z,1X2,2,,8.5,https://www.betano.bet.br/odds/atalanta-cagliari/76249662/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:08:11.137896+00:00,Série A,Torino x US Cremonese,Torino,US Cremonese,2025-12-13T14:00:00Z,1X2,1,,2.0,https://www.betano.bet.br/odds/torino-us-cremonese/76249577/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:08:11.137896+00:00,Série A,Torino x US Cremonese,Torino,US Cremonese,2025-12-13T14:00:00Z,1X2,X,,3.1,https://www.betano.bet.br/odds/torino-us-cremonese/76249577/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:08:11.137896+00:00,Série A,Torino x US Cremonese,Torino,US Cremonese,2025-12-13T14:00:00Z,1X2,2,,4.45,https://www.betano.bet.br/odds/torino-us-cremonese/76249577/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T01:08:50.189716+00:00,Bundesliga,Hoffenheim x Hamburgo,Hoffenheim,Hamburgo,2025-12-13T14:30:00Z,1X2,1,,1.72,https://www.betano.bet.br/odds/hoffenheim-hamburgo/77100747/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:08:50.189716+00:00,Bundesliga,Hoffenheim x Hamburgo,Hoffenheim,Hamburgo,2025-12-13T14:30:00Z,1X2,X,,4.1,https://www.betano.bet.br/odds/hoffenheim-hamburgo/77100747/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:08:50.189716+00:00,Bundesliga,Hoffenheim x Hamburgo,Hoffenheim,Hamburgo,2025-12-13T14:30:00Z,1X2,2,,4.4,https://www.betano.bet.br/odds/hoffenheim-hamburgo/77100747/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:09:14.517074+00:00,Bundesliga,FC St. Pauli x 1. FC Heidenheim,FC St. Pauli,1. FC Heidenheim,2025-12-13T14:30:00Z,1X2,1,,1.95,https://www.betano.bet.br/odds/fc-st-pauli-1-fc-heidenheim/77100737/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:09:14.517074+00:00,Bundesliga,FC St. Pauli x 1. FC Heidenheim,FC St. Pauli,1. FC Heidenheim,2025-12-13T14:30:00Z,1X2,X,,3.35,https://www.betano.bet.br/odds/fc-st-pauli-1-fc-heidenheim/77100737/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:09:14.517074+00:00,Bundesliga,FC St. Pauli x 1. FC Heidenheim,FC St. Pauli,1. FC Heidenheim,2025-12-13T14:30:00Z,1X2,2,,4.15,https://www.betano.bet.br/odds/fc-st-pauli-1-fc-heidenheim/77100737/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:09:38.325376+00:00,Bundesliga,1. FC Union Berlin x RB Leipzig,1. FC Union Berlin,RB Leipzig,2025-12-12T19:30:00Z,1X2,1,,3.6,https://www.betano.bet.br/odds/1-fc-union-berlin-rb-leipzig/75919546/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:09:38.325376+00:00,Bundesliga,1. FC Union Berlin x RB Leipzig,1. FC Union Berlin,RB Leipzig,2025-12-12T19:30:00Z,1X2,X,,3.55,https://www.betano.bet.br/odds/1-fc-union-berlin-rb-leipzig/75919546/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:09:38.325376+00:00,Bundesliga,1. FC Union Berlin x RB Leipzig,1. FC Union Berlin,RB Leipzig,2025-12-12T19:30:00Z,1X2,2,,2.02,https://www.betano.bet.br/odds/1-fc-union-berlin-rb-leipzig/75919546/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:10:03.028765+00:00,Bundesliga,Borussia Monchengladbach x Wolfsburg,Borussia Monchengladbach,Wolfsburg,2025-12-13T14:30:00Z,1X2,1,,1.98,https://www.betano.bet.br/odds/borussia-monchengladbach-wolfsburg/76220675/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:10:03.028765+00:00,Bundesliga,Borussia Monchengladbach x Wolfsburg,Borussia Monchengladbach,Wolfsburg,2025-12-13T14:30:00Z,1X2,X,,3.75,https://www.betano.bet.br/odds/borussia-monchengladbach-wolfsburg/76220675/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:10:03.028765+00:00,Bundesliga,Borussia Monchengladbach x Wolfsburg,Borussia Monchengladbach,Wolfsburg,2025-12-13T14:30:00Z,1X2,2,,3.6,https://www.betano.bet.br/odds/borussia-monchengladbach-wolfsburg/76220675/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:10:33.731628+00:00,Bundesliga,Bayer Leverkusen x 1. FC Köln,Bayer Leverkusen,1. FC Köln,2025-12-13T17:30:00Z,1X2,1,,1.57,https://www.betano.bet.br/odds/bayer-leverkusen-1-fc-koln/75919531/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:10:33.731628+00:00,Bundesliga,Bayer Leverkusen x 1. FC Köln,Bayer Leverkusen,1. FC Köln,2025-12-13T17:30:00Z,1X2,X,,4.5,https://www.betano.bet.br/odds/bayer-leverkusen-1-fc-koln/75919531/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:10:33.731628+00:00,Bundesliga,Bayer Leverkusen x 1. FC Köln,Bayer Leverkusen,1. FC Köln,2025-12-13T17:30:00Z,1X2,2,,5.3,https://www.betano.bet.br/odds/bayer-leverkusen-1-fc-koln/75919531/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:11:12.071843+00:00,Bundesliga,Eintracht Frankfurt x Augsburg,Eintracht Frankfurt,Augsburg,2025-12-13T14:30:00Z,1X2,1,,1.72,https://www.betano.bet.br/odds/eintracht-frankfurt-augsburg/76220674/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:11:12.072844+00:00,Bundesliga,Eintracht Frankfurt x Augsburg,Eintracht Frankfurt,Augsburg,2025-12-13T14:30:00Z,1X2,X,,4.25,https://www.betano.bet.br/odds/eintracht-frankfurt-augsburg/76220674/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:11:12.072844+00:00,Bundesliga,Eintracht Frankfurt x Augsburg,Eintracht Frankfurt,Augsburg,2025-12-13T14:30:00Z,1X2,2,,4.3,https://www.betano.bet.br/odds/eintracht-frankfurt-augsburg/76220674/,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
2025-12-11T01:11:51.018524+00:00,Ligue 1,FC Metz x Paris Saint Germain,FC Metz,Paris Saint Germain,2025-12-13T18:00:00Z,1X2,1,,11.0,https://www.betano.bet.br/odds/fc-metz-paris-saint-germain/76182414/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:11:51.018524+00:00,Ligue 1,FC Metz x Paris Saint Germain,FC Metz,Paris Saint Germain,2025-12-13T18:00:00Z,1X2,X,,6.0,https://www.betano.bet.br/odds/fc-metz-paris-saint-germain/76182414/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:11:51.018524+00:00,Ligue 1,FC Metz x Paris Saint Germain,FC Metz,Paris Saint Germain,2025-12-13T18:00:00Z,1X2,2,,1.26,https://www.betano.bet.br/odds/fc-metz-paris-saint-germain/76182414/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:12:20.705789+00:00,Ligue 1,Paris FC x Toulouse FC,Paris FC,Toulouse FC,2025-12-13T20:05:00Z,1X2,1,,2.42,https://www.betano.bet.br/odds/paris-fc-toulouse-fc/75675896/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:12:20.705789+00:00,Ligue 1,Paris FC x Toulouse FC,Paris FC,Toulouse FC,2025-12-13T20:05:00Z,1X2,X,,3.2,https://www.betano.bet.br/odds/paris-fc-toulouse-fc/75675896/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:12:20.705789+00:00,Ligue 1,Paris FC x Toulouse FC,Paris FC,Toulouse FC,2025-12-13T20:05:00Z,1X2,2,,3.05,https://www.betano.bet.br/odds/paris-fc-toulouse-fc/75675896/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:12:49.278486+00:00,Ligue 1,Rennes x Brestois,Rennes,Brestois,2025-12-13T16:00:00Z,1X2,1,,1.83,https://www.betano.bet.br/odds/rennes-brestois/75675901/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:12:49.278486+00:00,Ligue 1,Rennes x Brestois,Rennes,Brestois,2025-12-13T16:00:00Z,1X2,X,,3.75,https://www.betano.bet.br/odds/rennes-brestois/75675901/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:12:49.278486+00:00,Ligue 1,Rennes x Brestois,Rennes,Brestois,2025-12-13T16:00:00Z,1X2,2,,4.15,https://www.betano.bet.br/odds/rennes-brestois/75675901/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:13:26.076217+00:00,Ligue 1,Angers x Nantes,Angers,Nantes,2025-12-12T19:45:00Z,1X2,1,,2.27,https://www.betano.bet.br/odds/angers-nantes/75624688/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:13:26.076217+00:00,Ligue 1,Angers x Nantes,Angers,Nantes,2025-12-12T19:45:00Z,1X2,X,,3.3,https://www.betano.bet.br/odds/angers-nantes/75624688/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
2025-12-11T01:13:26.076217+00:00,Ligue 1,Angers x Nantes,Angers,Nantes,2025-12-12T19:45:00Z,1X2,2,,3.25,https://www.betano.bet.br/odds/angers-nantes/75624688/,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
