data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-11-07T02:53:31.905163+00:00,Brasileirão - Série A Betano,Internacional x Bahia,Internacional,Bahia,2025-11-08T21:30:00Z,1X2,X,,3.2,https://www.betano.bet.br/odds/internacional-bahia/75663015/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:31.905172+00:00,Brasileirão - Série A Betano,Internacional x Bahia,Internacional,Bahia,2025-11-08T21:30:00Z,1X2,2,,3.3,https://www.betano.bet.br/odds/internacional-bahia/75663015/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:35.999478+00:00,Brasileirão - Série A Betano,Internacional x Bahia,Internacional,Bahia,2025-11-08T21:30:00Z,Total de Gols,Over,2.5,2.1,https://www.betano.bet.br/odds/internacional-bahia/75663015/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:35.999506+00:00,Brasileirão - Série A Betano,Internacional x Bahia,Internacional,Bahia,2025-11-08T21:30:00Z,Total de Gols,Under,2.5,1.75,https://www.betano.bet.br/odds/internacional-bahia/75663015/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:51.497204+00:00,Brasileirão - Série B,Athletic Club MG x Ferroviária,Athletic Club MG,Ferroviária,2025-11-07T22:00:00Z,1X2,1,,1.95,https://www.betano.bet.br/odds/athletic-club-mg-ferroviaria/75665039/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:53:51.497228+00:00,Brasileirão - Série B,Athletic Club MG x Ferroviária,Athletic Club MG,Ferroviária,2025-11-07T22:00:00Z,1X2,X,,3.45,https://www.betano.bet.br/odds/athletic-club-mg-ferroviaria/75665039/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:53:51.497238+00:00,Brasileirão - Série B,Athletic Club MG x Ferroviária,Athletic Club MG,Ferroviária,2025-11-07T22:00:00Z,1X2,2,,4.45,https://www.betano.bet.br/odds/athletic-club-mg-ferroviaria/75665039/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:53:55.718759+00:00,Brasileirão - Série B,Athletic Club MG x Ferroviária,Athletic Club MG,Ferroviária,2025-11-07T22:00:00Z,Total de Gols,Over,2.5,2.05,https://www.betano.bet.br/odds/athletic-club-mg-ferroviaria/75665039/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:53:55.718782+00:00,Brasileirão - Série B,Athletic Club MG x Ferroviária,Athletic Club MG,Ferroviária,2025-11-07T22:00:00Z,Total de Gols,Under,2.5,1.72,https://www.betano.bet.br/odds/athletic-club-mg-ferroviaria/75665039/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:00.815376+00:00,Brasileirão - Série B,Grêmio Novorizontino x Remo,Grêmio Novorizontino,Remo,2025-11-08T19:00:00Z,1X2,1,,1.78,https://www.betano.bet.br/odds/gremio-novorizontino-remo/75665043/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
