Matchday,Day,Date,Time,Home,Away,FullTime,HalfTime
37,Sat,May/16,,AS Monaco,FC Metz,2-0,1-0
37,Sat,May/16,,Montpellier HSC,Paris Saint-Germain,1-2,1-2
37,Sat,May/16,,Stade de Reims,Stade Rennais,1-0,0-0
37,Sat,May/16,,Évian Thonon Gaillard,AS Saint-Étienne,1-2,1-1
37,Sat,May/16,,EA Guingamp,Toulouse FC,2-1,1-1
38,Sat,May/23,21.00,Olympique Marseille,SC Bastia,3-0,2-0
38,Sat,May/23,,SM Caen,Évian Thonon Gaillard,3-2,0-0
38,Sat,May/23,,AS Saint-Étienne,EA Guingamp,2-1,1-0
38,Sat,May/23,,FC Metz,Lille OSC,1-4,0-3
38,Sat,May/23,,Stade Rennais,Olympique Lyonnais,0-1,0-0
38,Sat,May/23,,FC Lorient,AS Monaco,0-1,0-1
38,Sat,May/23,,Girondins Bordeaux,Montpellier HSC,2-1,2-0
38,Sat,May/23,,RC Lens,FC Nantes,1-0,1-0
38,Sat,May/23,,Toulouse FC,OGC Nice,2-3,0-2
38,Sat,May/23,,Paris Saint-Germain,Stade de Reims,3-2,2-0
