Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PinnacleHomeOpen,PinnacleDrawOpen,PinnacleAwayOpen,AvgHomeOpen,AvgDrawOpen,AvgAwayOpen,MaxHomeOpen,MaxDrawOpen,MaxAwayOpen,Bet365HomeOpen,Bet365DrawOpen,Bet365AwayOpen,Bet365Over25Open,Bet365Under25Open,PinnacleOver25Open,PinnacleUnder25Open,AvgOver25Open,AvgUnder25Open,PinnacleHomeClose,PinnacleDrawClose,PinnacleAwayClose,AvgHomeClose,AvgDrawClose,AvgAwayClose,MaxHomeClose,MaxDrawClose,MaxAwayClose,Bet365HomeClose,Bet365DrawClose,Bet365AwayClose
1,Fri,2005-07-29,Paris Saint Germain,FC Metz,4-1,2-0,,4,1,H,2,0,H,16.0,11.0,9.0,7.0,,,,,2,3,0,0,,,,,,,,,,1.5,3.4,6.5,,,,,,,,,,,,,,,,,,
1,Sat,2005-07-30,Estrasburgo,AJ Auxerre,0-0,0-0,,0,0,D,0,0,D,15.0,5.0,3.0,0.0,,,,,1,0,1,1,,,,,,,,,,2.2,2.87,3.2,,,,,,,,,,,,,,,,,,
1,Sat,2005-07-30,Lille,Rennes,1-0,1-0,,1,0,H,1,0,H,14.0,8.0,5.0,5.0,,,,,2,3,0,0,,,,,,,,,,1.8,3.0,4.33,,,,,,,,,,,,,,,,,,
1,Sat,2005-07-30,Nancy,Monaco,0-1,0-0,,0,1,A,0,0,D,10.0,5.0,6.0,3.0,,,,,2,2,2,0,,,,,,,,,,3.75,3.1,1.9,,,,,,,,,,,,,,,,,,
1,Sat,2005-07-30,Nantes,Lens,2-0,2-0,,2,0,H,2,0,H,10.0,10.0,3.0,3.0,,,,,1,3,0,0,,,,,,,,,,2.25,3.0,3.0,,,,,,,,,,,,,,,,,,
1,Sat,2005-07-30,Nice,Troyes,1-1,1-0,,1,1,D,1,0,H,13.0,5.0,6.0,5.0,,,,,2,2,0,1,,,,,,,,,,1.66,3.2,5.0,,,,,,,,,,,,,,,,,,
1,Sat,2005-07-30,Olympique de Marseille,Bordeaux,0-2,0-1,,0,2,A,0,1,A,7.0,9.0,3.0,4.0,,,,,2,4,1,0,,,,,,,,,,1.72,3.2,4.5,,,,,,,,,,,,,,,,,,
1,Sat,2005-07-30,Saint-Étienne,AC Ajaccio,0-0,0-0,,0,0,D,0,0,D,10.0,5.0,6.0,3.0,,,,,1,2,0,0,,,,,,,,,,1.66,3.2,5.0,,,,,,,,,,,,,,,,,,
1,Sat,2005-07-30,Sochaux,Toulouse FC,0-1,0-1,,0,1,A,0,1,A,14.0,7.0,7.0,4.0,,,,,2,3,0,0,,,,,,,,,,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,
1,Sun,2005-07-31,Le Mans,Lyon,1-2,0-1,,1,2,A,0,1,A,11.0,6.0,4.0,3.0,,,,,1,2,0,0,,,,,,,,,,4.33,3.0,1.8,,,,,,,,,,,,,,,,,,
2,Sat,2005-08-06,AC Ajaccio,Lille,3-3,2-2,,3,3,D,2,2,D,17.0,10.0,6.0,6.0,,,,,1,3,0,0,,,,,,,,,,2.62,3.0,2.5,,,,,,,,,,,,,,,,,,
2,Sat,2005-08-06,Bordeaux,Nancy,1-0,1-0,,1,0,H,1,0,H,7.0,9.0,6.0,4.0,,,,,2,2,0,0,,,,,,,,,,1.61,3.4,5.0,,,,,,,,,,,,,,,,,,
2,Sat,2005-08-06,FC Metz,Le Mans,0-0,0-0,,0,0,D,0,0,D,9.0,14.0,6.0,8.0,,,,,1,2,0,0,,,,,,,,,,1.9,3.1,3.75,,,,,,,,,,,,,,,,,,
2,Sat,2005-08-06,Lens,Olympique de Marseille,2-0,1-0,,2,0,H,1,0,H,15.0,3.0,7.0,2.0,,,,,2,3,0,0,,,,,,,,,,2.4,2.87,2.87,,,,,,,,,,,,,,,,,,
2,Sat,2005-08-06,Monaco,AJ Auxerre,0-2,0-1,,0,2,A,0,1,A,10.0,11.0,3.0,5.0,,,,,2,2,1,0,,,,,,,,,,1.72,3.2,4.5,,,,,,,,,,,,,,,,,,
2,Sat,2005-08-06,Sochaux,Paris Saint Germain,0-1,0-0,,0,1,A,0,0,D,11.0,6.0,7.0,3.0,,,,,3,2,0,0,,,,,,,,,,2.62,3.0,2.5,,,,,,,,,,,,,,,,,,
2,Sat,2005-08-06,Toulouse FC,Nice,0-2,0-2,,0,2,A,0,2,A,8.0,7.0,2.0,4.0,,,,,1,2,0,0,,,,,,,,,,1.9,3.0,3.75,,,,,,,,,,,,,,,,,,
2,Sat,2005-08-06,Troyes,Saint-Étienne,0-0,0-0,,0,0,D,0,0,D,8.0,13.0,4.0,3.0,,,,,1,2,0,0,,,,,,,,,,2.5,3.0,2.62,,,,,,,,,,,,,,,,,,
2,Sun,2005-08-07,Lyon,Estrasburgo,1-0,1-0,,1,0,H,1,0,H,6.0,6.0,3.0,3.0,,,,,2,1,0,0,,,,,,,,,,1.4,3.75,7.5,,,,,,,,,,,,,,,,,,
2,Sun,2005-08-07,Rennes,Nantes,0-3,0-1,,0,3,A,0,1,A,10.0,11.0,6.0,8.0,,,,,1,1,1,0,,,,,,,,,,1.8,3.0,4.33,,,,,,,,,,,,,,,,,,
3,Sat,2005-08-13,AJ Auxerre,Bordeaux,1-0,1-0,,1,0,H,1,0,H,12.0,7.0,7.0,3.0,,,,,0,0,0,0,,,,,,,,,,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,
3,Sat,2005-08-13,Le Mans,Rennes,4-0,2-0,,4,0,H,2,0,H,17.0,8.0,9.0,1.0,,,,,2,3,0,1,,,,,,,,,,2.4,2.87,2.8,,,,,,,,,,,,,,,,,,
3,Sat,2005-08-13,Lille,Troyes,1-2,0-2,,1,2,A,0,2,A,12.0,8.0,6.0,5.0,,,,,2,3,0,0,,,,,,,,,,1.61,3.3,5.0,,,,,,,,,,,,,,,,,,
3,Sat,2005-08-13,Nancy,Lens,1-2,0-2,,1,2,A,0,2,A,8.0,10.0,4.0,6.0,,,,,1,1,0,0,,,,,,,,,,2.6,2.75,2.7,,,,,,,,,,,,,,,,,,
3,Sat,2005-08-13,Nantes,AC Ajaccio,0-2,0-0,,0,2,A,0,0,D,10.0,13.0,3.0,4.0,,,,,0,1,0,0,,,,,,,,,,1.72,3.1,4.5,,,,,,,,,,,,,,,,,,
3,Sat,2005-08-13,Nice,Sochaux,1-2,1-0,,1,2,A,1,0,H,8.0,7.0,1.0,6.0,,,,,3,3,1,2,,,,,,,,,,1.83,3.0,4.2,,,,,,,,,,,,,,,,,,
3,Sat,2005-08-13,Paris Saint Germain,Toulouse FC,2-0,1-0,,2,0,H,1,0,H,16.0,6.0,9.0,1.0,,,,,3,2,0,1,,,,,,,,,,1.53,3.3,6.0,,,,,,,,,,,,,,,,,,
3,Sat,2005-08-13,Saint-Étienne,FC Metz,2-0,2-0,,2,0,H,2,0,H,10.0,8.0,4.0,4.0,,,,,0,2,0,0,,,,,,,,,,1.8,3.0,4.33,,,,,,,,,,,,,,,,,,
3,Sun,2005-08-14,Estrasburgo,Monaco,1-2,0-0,,1,2,A,0,0,D,12.0,14.0,4.0,6.0,,,,,2,3,0,0,,,,,,,,,,2.75,3.0,2.62,,,,,,,,,,,,,,,,,,
3,Sun,2005-08-14,Olympique de Marseille,Lyon,1-1,1-1,,1,1,D,1,1,D,11.0,7.0,3.0,3.0,,,,,2,1,0,0,,,,,,,,,,3.0,2.87,2.3,,,,,,,,,,,,,,,,,,
4,Sat,2005-08-20,AC Ajaccio,Le Mans,0-0,0-0,,0,0,D,0,0,D,15.0,10.0,7.0,5.0,,,,,2,4,0,0,,,,,,,,,,1.9,2.87,4.2,,,,,,,,,,,,,,,,,,
4,Sat,2005-08-20,Bordeaux,Monaco,1-0,0-0,,1,0,H,0,0,D,9.0,4.0,6.0,2.0,,,,,2,5,0,0,,,,,,,,,,2.37,2.87,2.87,,,,,,,,,,,,,,,,,,
4,Sat,2005-08-20,FC Metz,Estrasburgo,0-0,0-0,,0,0,D,0,0,D,15.0,12.0,4.0,3.0,,,,,3,1,0,0,,,,,,,,,,2.3,2.87,3.0,,,,,,,,,,,,,,,,,,
4,Sat,2005-08-20,Lens,AJ Auxerre,7-0,3-0,,7,0,H,3,0,H,14.0,8.0,13.0,5.0,,,,,0,1,0,0,,,,,,,,,,2.1,2.87,3.4,,,,,,,,,,,,,,,,,,
