player_name,club_name,json_club,league_name
Lucas Alcázar,Real Betis Balompié,Bétis,La Liga
Xavi Pleguezuelo,Real Betis Balompié,Bétis,La Liga
Ángel Ortiz,Real Betis Balompié,Bétis,La Liga
Héctor Bellerín,Real Betis Balompié,Bétis,La Liga
Youssouf Sabaly,Real Betis Balompié,Bétis,La Liga
Pablo Busto,Real Betis Balompié,Bétis,La Liga
Johnny Cardoso,Real Betis Balompié,Bétis,La Liga
Marc Roca,Real Betis Balompié,Bétis,La Liga
William Carvalho,Real Betis Balompié,Bétis,La Liga
Carlos Guirao,Real Betis Balompié,Bétis,La Liga
Sergi Altimira,Real Betis Balompié,Bétis,La Liga
Pablo Fornals,Real Betis Balompié,Bétis,La Liga
Mateo Flores,Real Betis Balompié,Bétis,La Liga
Giovani Lo Celso,Real Betis Balompié,Bétis,La Liga
Nabil Fekir,Real Betis Balompié,Bétis,La Liga
Isco,Real Betis Balompié,Bétis,La Liga
Dani Pérez,Real Betis Balompié,Bétis,La Liga
Carlos Reina,Real Betis Balompié,Bétis,La Liga
Assane Diao,Real Betis Balompié,Bétis,La Liga
Jesús Rodríguez,Real Betis Balompié,Bétis,La Liga
Abde Ezzalzouli,Real Betis Balompié,Bétis,La Liga
Juanmi,Real Betis Balompié,Bétis,La Liga
Antony,Real Betis Balompié,Bétis,La Liga
Pablo García,Real Betis Balompié,Bétis,La Liga
Aitor Ruibal,Real Betis Balompié,Bétis,La Liga
Rodri Sánchez,Real Betis Balompié,Bétis,La Liga
Iker Losada,Real Betis Balompié,Bétis,La Liga
Vitor Roque,Real Betis Balompié,Bétis,La Liga
Cucho Hernández,Real Betis Balompié,Bétis,La Liga
Chimy Ávila,Real Betis Balompié,Bétis,La Liga
Cédric Bakambu,Real Betis Balompié,Bétis,La Liga
Marcos Fernández,Real Betis Balompié,Bétis,La Liga
Luiz Júnior,FC Villarreal,Villarreal CF,La Liga
Diego Conde,FC Villarreal,Villarreal CF,La Liga
Iker Álvarez,FC Villarreal,Villarreal CF,La Liga
Rubén Gómez,FC Villarreal,Villarreal CF,La Liga
Logan Costa,FC Villarreal,Villarreal CF,La Liga
Juan Foyth,FC Villarreal,Villarreal CF,La Liga
Willy Kambwala,FC Villarreal,Villarreal CF,La Liga
Eric Bailly,FC Villarreal,Villarreal CF,La Liga
Raúl Albiol,FC Villarreal,Villarreal CF,La Liga
Antonio Espigares,FC Villarreal,Villarreal CF,La Liga
Jean Ives Valou,FC Villarreal,Villarreal CF,La Liga
Sergi Cardona,FC Villarreal,Villarreal CF,La Liga
Alfonso Pedraza,FC Villarreal,Villarreal CF,La Liga
Juan Bernat,FC Villarreal,Villarreal CF,La Liga
Arnau Solà,FC Villarreal,Villarreal CF,La Liga
Pau Navarro,FC Villarreal,Villarreal CF,La Liga
Kiko Femenía,FC Villarreal,Villarreal CF,La Liga
Pape Gueye,FC Villarreal,Villarreal CF,La Liga
Santi Comesaña,FC Villarreal,Villarreal CF,La Liga
Ramón Terrats,FC Villarreal,Villarreal CF,La Liga
Dani Parejo,FC Villarreal,Villarreal CF,La Liga
Dani Requena,FC Villarreal,Villarreal CF,La Liga
Thiago Ojeda,FC Villarreal,Villarreal CF,La Liga
Alassane Diatta,FC Villarreal,Villarreal CF,La Liga
Denis Suárez,FC Villarreal,Villarreal CF,La Liga
Álex Baena,FC Villarreal,Villarreal CF,La Liga
Arnaut Danjuma,FC Villarreal,Villarreal CF,La Liga
Yéremy Pino,FC Villarreal,Villarreal CF,La Liga
Ilias Akhomach,FC Villarreal,Villarreal CF,La Liga
Tajon Buchanan,FC Villarreal,Villarreal CF,La Liga
Nicolas Pépé,FC Villarreal,Villarreal CF,La Liga
Thierno Barry,FC Villarreal,Villarreal CF,La Liga
Ayoze Pérez,FC Villarreal,Villarreal CF,La Liga
Karl Etta Eyong,FC Villarreal,Villarreal CF,La Liga
Gerard Moreno,FC Villarreal,Villarreal CF,La Liga
Pau Cabanes,FC Villarreal,Villarreal CF,La Liga
Giorgi Mamardashvili,Valencia CF,Valencia,La Liga
Stole Dimitrievski,Valencia CF,Valencia,La Liga
Jaume Doménech,Valencia CF,Valencia,La Liga
Vicent Abril,Valencia CF,Valencia,La Liga
Raúl Jiménez,Valencia CF,Valencia,La Liga
Cristhian Mosquera,Valencia CF,Valencia,La Liga
César Tárrega,Valencia CF,Valencia,La Liga
Yarek Gasiorowski,Valencia CF,Valencia,La Liga
Mouctar Diakhaby,Valencia CF,Valencia,La Liga
Cenk Özkacar,Valencia CF,Valencia,La Liga
Maximiliano Caufriez,Valencia CF,Valencia,La Liga
Álex Serradell,Valencia CF,Valencia,La Liga
Iker Córdoba,Valencia CF,Valencia,La Liga
José Gayà,Valencia CF,Valencia,La Liga
Jesús Vázquez,Valencia CF,Valencia,La Liga
Ro Abajas,Valencia CF,Valencia,La Liga
Max Aarons,Valencia CF,Valencia,La Liga
Thierry Correia,Valencia CF,Valencia,La Liga
Dimitri Foulquier,Valencia CF,Valencia,La Liga
Rubén Iranzo,Valencia CF,Valencia,La Liga
Enzo Barrenechea,Valencia CF,Valencia,La Liga
Pepelu,Valencia CF,Valencia,La Liga
Hugo Guillamón,Valencia CF,Valencia,La Liga
Javi Guerra,Valencia CF,Valencia,La Liga
Pedro Alemañ,Valencia CF,Valencia,La Liga
Lucas Núñez,Valencia CF,Valencia,La Liga
André Almeida,Valencia CF,Valencia,La Liga
Iván Jaime,Valencia CF,Valencia,La Liga
Martín Tejón,Valencia CF,Valencia,La Liga
Luis Rioja,Valencia CF,Valencia,La Liga
Sergi Canós,Valencia CF,Valencia,La Liga
Pablo López,Valencia CF,Valencia,La Liga
Diego López,Valencia CF,Valencia,La Liga
Fran Pérez,Valencia CF,Valencia,La Liga
Germán Valera,Valencia CF,Valencia,La Liga
David Otorbi,Valencia CF,Valencia,La Liga
Hamza Bellari,Valencia CF,Valencia,La Liga
Ismael Santana,Valencia CF,Valencia,La Liga
Hugo Duro,Valencia CF,Valencia,La Liga
Umar Sadiq,Valencia CF,Valencia,La Liga
Dani Gómez,Valencia CF,Valencia,La Liga
Alberto Marí,Valencia CF,Valencia,La Liga
Rafa Mir,Valencia CF,Valencia,La Liga
Warren Madrigal,Valencia CF,Valencia,La Liga
Álvaro Fernández,Sevilla FC,Sevilha FC,La Liga
Ørjan Nyland,Sevilla FC,Sevilha FC,La Liga
Alberto Flores,Sevilla FC,Sevilha FC,La Liga
Matías Árbol,Sevilla FC,Sevilha FC,La Liga
Rafa Romero,Sevilla FC,Sevilha FC,La Liga
Loïc Badé,Sevilla FC,Sevilha FC,La Liga
Kike Salas,Sevilla FC,Sevilha FC,La Liga
Marcão,Sevilla FC,Sevilha FC,La Liga
Tanguy Nianzou,Sevilla FC,Sevilha FC,La Liga
Ramón Martínez,Sevilla FC,Sevilha FC,La Liga
Andrés Castrín,Sevilla FC,Sevilha FC,La Liga
Adrià Pedrosa,Sevilla FC,Sevilha FC,La Liga
Diego Hormigo,Sevilla FC,Sevilha FC,La Liga
Oso,Sevilla FC,Sevilha FC,La Liga
José Ángel Carmona,Sevilla FC,Sevilha FC,La Liga
Juanlu Sánchez,Sevilla FC,Sevilha FC,La Liga
Gonzalo Montiel,Sevilla FC,Sevilha FC,La Liga
Darío Benavides,Sevilla FC,Sevilha FC,La Liga
Lucien Agoumé,Sevilla FC,Sevilha FC,La Liga
Nemanja Gudelj,Sevilla FC,Sevilha FC,La Liga
Valentín Barco,Sevilla FC,Sevilha FC,La Liga
Albert Sambi Lokonga,Sevilla FC,Sevilha FC,La Liga
Djibril Sow,Sevilla FC,Sevilha FC,La Liga
Saúl Ñíguez,Sevilla FC,Sevilha FC,La Liga
Manu Bueno,Sevilla FC,Sevilha FC,La Liga
Pedro Ortiz,Sevilla FC,Sevilha FC,La Liga
Pablo Rivera,Sevilla FC,Sevilha FC,La Liga
Alberto Collado,Sevilla FC,Sevilha FC,La Liga
Lulo Dasilva,Sevilla FC,Sevilha FC,La Liga
Jesús Navas,Sevilla FC,Sevilha FC,La Liga
Stanis Idumbo,Sevilla FC,Sevilha FC,La Liga
Rubén Vargas,Sevilla FC,Sevilha FC,La Liga
Lucas Ocampos,Sevilla FC,Sevilha FC,La Liga
Chidera Ejuke,Sevilla FC,Sevilha FC,La Liga
Isra Domínguez,Sevilla FC,Sevilha FC,La Liga
Dodi Lukébakio,Sevilla FC,Sevilha FC,La Liga
Suso,Sevilla FC,Sevilha FC,La Liga
Peque Fernández,Sevilla FC,Sevilha FC,La Liga
Isaac Romero,Sevilla FC,Sevilha FC,La Liga
Akor Adams,Sevilla FC,Sevilha FC,La Liga
Kelechi Iheanacho,Sevilla FC,Sevilha FC,La Liga
Álvaro García Pascual,Sevilla FC,Sevilha FC,La Liga
Mateo Mejía,Sevilla FC,Sevilha FC,La Liga
Leandro Antonetti,Sevilla FC,Sevilha FC,La Liga
Pau López,Girona FC,Girona FC,La Liga
Paulo Gazzaniga,Girona FC,Girona FC,La Liga
Vladyslav Krapyvtsov,Girona FC,Girona FC,La Liga
Juan Carlos,Girona FC,Girona FC,La Liga
Aleksandar Andreev,Girona FC,Girona FC,La Liga
Lucas García,Girona FC,Girona FC,La Liga
Jordi Danso,Girona FC,Girona FC,La Liga
Pau Funallet,Girona FC,Girona FC,La Liga
Ladislav Krejci,Girona FC,Girona FC,La Liga
Alejandro Francés,Girona FC,Girona FC,La Liga
Daley Blind,Girona FC,Girona FC,La Liga
David López,Girona FC,Girona FC,La Liga
Juanpe,Girona FC,Girona FC,La Liga
Oriol Comas,Girona FC,Girona FC,La Liga
Antal Yaakobishvili,Girona FC,Girona FC,La Liga
Marc Aznar,Girona FC,Girona FC,La Liga
