player_name,club_name,json_club,league_name
Carles Aleñá,Deportivo Alavés,Deportivo Alavés,La Liga
Joan Jordán,Deportivo Alavés,Deportivo Alavés,La Liga
Daouda Doumbia,Deportivo Alavés,Deportivo Alavés,La Liga
Lander Pinillos,Deportivo Alavés,Deportivo Alavés,La Liga
Carlos Martín,Deportivo Alavés,Deportivo Alavés,La Liga
Luis Rioja,Deportivo Alavés,Deportivo Alavés,La Liga
Tomás Conechny,Deportivo Alavés,Deportivo Alavés,La Liga
Abde Rebbach,Deportivo Alavés,Deportivo Alavés,La Liga
Carlos Vicente,Deportivo Alavés,Deportivo Alavés,La Liga
Luka Romero,Deportivo Alavés,Deportivo Alavés,La Liga
Julen Lartitegi,Deportivo Alavés,Deportivo Alavés,La Liga
Stoichkov,Deportivo Alavés,Deportivo Alavés,La Liga
Joaquín Panichelli,Deportivo Alavés,Deportivo Alavés,La Liga
Toni Martínez,Deportivo Alavés,Deportivo Alavés,La Liga
Asier Villalibre,Deportivo Alavés,Deportivo Alavés,La Liga
Kike García,Deportivo Alavés,Deportivo Alavés,La Liga
Pau Cabanes,Deportivo Alavés,Deportivo Alavés,La Liga
David Soria,Getafe CF,Getafe CF,La Liga
Jiri Letacek,Getafe CF,Getafe CF,La Liga
Jorge Benito,Getafe CF,Getafe CF,La Liga
Djordjije Medenica,Getafe CF,Getafe CF,La Liga
Diego Ferrer,Getafe CF,Getafe CF,La Liga
Omar Alderete,Getafe CF,Getafe CF,La Liga
Dakonam Djené,Getafe CF,Getafe CF,La Liga
Juan Berrocal,Getafe CF,Getafe CF,La Liga
Domingos Duarte,Getafe CF,Getafe CF,La Liga
Nabil Aberdin,Getafe CF,Getafe CF,La Liga
