pais,liga,url_liga
Ligas,Camboja,https://www.betano.bet.br/sport/futebol/competicoes/camboja/189060/
Ligas,Catar,https://www.betano.bet.br/sport/futebol/competicoes/catar/11447/
Ligas,China,https://www.betano.bet.br/sport/futebol/competicoes/china/11332/
Ligas,Coreia Do Sul,https://www.betano.bet.br/sport/futebol/competicoes/coreia-do-sul/11373/
Ligas,Egito,https://www.betano.bet.br/sport/futebol/competicoes/egito/11485/
Ligas,Fiji,https://www.betano.bet.br/sport/futebol/competicoes/fiji/188668/
Ligas,Hong Kong,https://www.betano.bet.br/sport/futebol/competicoes/hong-kong/11449/
Ligas,India,https://www.betano.bet.br/sport/futebol/competicoes/india/11369/
Ligas,Ira,https://www.betano.bet.br/sport/futebol/competicoes/ira/11477/
Ligas,Iraque,https://www.betano.bet.br/sport/futebol/competicoes/iraque/11490/
Ligas,Japao,https://www.betano.bet.br/sport/futebol/competicoes/japao/11372/
Ligas,Jordania,https://www.betano.bet.br/sport/futebol/competicoes/jordania/11443/
Ligas,Mauritania,https://www.betano.bet.br/sport/futebol/competicoes/mauritania/189260/
Ligas,Quirguistao,https://www.betano.bet.br/sport/futebol/competicoes/quirguistao/188817/
Ligas,Singapura,https://www.betano.bet.br/sport/futebol/competicoes/singapura/11403/
Ligas,Tailandia,https://www.betano.bet.br/sport/futebol/competicoes/tailandia/11425/
Ligas,Zanzibar,https://www.betano.bet.br/sport/futebol/competicoes/zanzibar/189397/
Ligas,Eurocopa,https://www.betano.bet.br/sport/futebol/competicoes/eurocopa/189663/
Ligas,Fifa Clubes,https://www.betano.bet.br/sport/futebol/competicoes/fifa-clubes/189658/
Ligas,Uefa Clubes,https://www.betano.bet.br/sport/futebol/competicoes/uefa-clubes/189656/
Ligas,Caf,https://www.betano.bet.br/sport/futebol/competicoes/caf/188971/
Ligas,Internacional,https://www.betano.bet.br/sport/futebol/competicoes/internacional/11364/
Ligas,Clubes Internacionais,https://www.betano.bet.br/sport/futebol/competicoes/clubes-internacionais/11396/
Leagues,Brasileirao Serie A Betano,https://www.betano.bet.br/en/sport/soccer/brazil/brasileirao-serie-a-betano/10016/
Leagues,Copa Libertadores,https://www.betano.bet.br/en/sport/soccer/competitions/copa-libertadores/189817/
Leagues,Copa Sudamericana,https://www.betano.bet.br/en/sport/soccer/competitions/copa-sudamericana/189818/
Leagues,Brasileirao Serie B,https://www.betano.bet.br/en/sport/soccer/brazil/brasileirao-serie-b/10017/
Leagues,World Cup,https://www.betano.bet.br/en/sport/soccer/competitions/world-cup/189813/
Leagues,Torneo Betano,https://www.betano.bet.br/en/sport/soccer/argentina/torneo-betano/195785/
Leagues,Brazil,https://www.betano.bet.br/en/sport/soccer/competitions/brazil/10004/
Leagues,Copa Betano Do Brasil,https://www.betano.bet.br/en/sport/soccer/brazil/copa-betano-do-brasil/10008/
Leagues,Brasileirao Serie C,https://www.betano.bet.br/en/sport/soccer/brazil/brasileirao-serie-c/18249/
Leagues,Campeonato Potiguar Segunda Divisao,https://www.betano.bet.br/en/sport/soccer/brazil/campeonato-potiguar-segunda-divisao/194636/
Leagues,Copa Santa Catarina,https://www.betano.bet.br/en/sport/soccer/brazil/copa-santa-catarina/191111/
