data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2026-02-03T15:12:56.631508+00:00,Brasileirão - Série A Betano,Vasco da Gama x Chapecoense,Vasco da Gama,Chapecoense,2026-02-05T23:00:00Z,1X2,2,,6.2,https://www.betano.bet.br/odds/vasco-da-gama-chapecoense/79626641/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:05.922252+00:00,Brasileirão - Série A Betano,Cruzeiro x Coritiba,Cruzeiro,Coritiba,2026-02-06T00:30:00Z,1X2,1,,1.47,https://www.betano.bet.br/odds/cruzeiro-coritiba/79626644/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:05.922278+00:00,Brasileirão - Série A Betano,Cruzeiro x Coritiba,Cruzeiro,Coritiba,2026-02-06T00:30:00Z,1X2,X,,4.2,https://www.betano.bet.br/odds/cruzeiro-coritiba/79626644/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:05.922290+00:00,Brasileirão - Série A Betano,Cruzeiro x Coritiba,Cruzeiro,Coritiba,2026-02-06T00:30:00Z,1X2,2,,7.5,https://www.betano.bet.br/odds/cruzeiro-coritiba/79626644/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:15.312797+00:00,Brasileirão - Série A Betano,Grêmio x Botafogo-RJ,Grêmio,Botafogo-RJ,2026-02-05T00:30:00Z,1X2,1,,2.35,https://www.betano.bet.br/odds/gremio-botafogo-rj/79626601/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:15.312824+00:00,Brasileirão - Série A Betano,Grêmio x Botafogo-RJ,Grêmio,Botafogo-RJ,2026-02-05T00:30:00Z,1X2,X,,3.1,https://www.betano.bet.br/odds/gremio-botafogo-rj/79626601/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:15.312836+00:00,Brasileirão - Série A Betano,Grêmio x Botafogo-RJ,Grêmio,Botafogo-RJ,2026-02-05T00:30:00Z,1X2,2,,3.35,https://www.betano.bet.br/odds/gremio-botafogo-rj/79626601/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:24.976181+00:00,Brasileirão - Série A Betano,Bragantino x Atlético-MG,Bragantino,Atlético-MG,2026-02-04T22:00:00Z,1X2,1,,2.3,https://www.betano.bet.br/odds/bragantino-atletico-mg/79626236/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:24.976208+00:00,Brasileirão - Série A Betano,Bragantino x Atlético-MG,Bragantino,Atlético-MG,2026-02-04T22:00:00Z,1X2,X,,3.2,https://www.betano.bet.br/odds/bragantino-atletico-mg/79626236/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:24.976220+00:00,Brasileirão - Série A Betano,Bragantino x Atlético-MG,Bragantino,Atlético-MG,2026-02-04T22:00:00Z,1X2,2,,3.3,https://www.betano.bet.br/odds/bragantino-atletico-mg/79626236/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:40.764553+00:00,Copa Libertadores,The Strongest x Deportivo Táchira,The Strongest,Deportivo Táchira,2026-02-04T00:30:00Z,1X2,1,,1.27,https://www.betano.bet.br/odds/the-strongest-deportivo-tachira/78230086/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:13:40.764581+00:00,Copa Libertadores,The Strongest x Deportivo Táchira,The Strongest,Deportivo Táchira,2026-02-04T00:30:00Z,1X2,X,,5.7,https://www.betano.bet.br/odds/the-strongest-deportivo-tachira/78230086/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:13:40.764594+00:00,Copa Libertadores,The Strongest x Deportivo Táchira,The Strongest,Deportivo Táchira,2026-02-04T00:30:00Z,1X2,2,,9.25,https://www.betano.bet.br/odds/the-strongest-deportivo-tachira/78230086/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:13:50.657784+00:00,Copa Libertadores,Juventud de Las Piedras x Universidad Catolica Ecuador,Juventud de Las Piedras,Universidad Catolica Ecuador,2026-02-06T00:30:00Z,1X2,1,,2.65,https://www.betano.bet.br/odds/juventud-de-las-piedras-universidad-catolica-ecuador/77979942/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:13:50.657806+00:00,Copa Libertadores,Juventud de Las Piedras x Universidad Catolica Ecuador,Juventud de Las Piedras,Universidad Catolica Ecuador,2026-02-06T00:30:00Z,1X2,X,,3.05,https://www.betano.bet.br/odds/juventud-de-las-piedras-universidad-catolica-ecuador/77979942/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:13:50.657816+00:00,Copa Libertadores,Juventud de Las Piedras x Universidad Catolica Ecuador,Juventud de Las Piedras,Universidad Catolica Ecuador,2026-02-06T00:30:00Z,1X2,2,,2.72,https://www.betano.bet.br/odds/juventud-de-las-piedras-universidad-catolica-ecuador/77979942/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:14:00.066337+00:00,Copa Libertadores,2 de Mayo x Alianza Lima,2 de Mayo,Alianza Lima,2026-02-05T00:30:00Z,1X2,1,,3.3,https://www.betano.bet.br/odds/2-de-mayo-alianza-lima/77980030/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:14:00.066365+00:00,Copa Libertadores,2 de Mayo x Alianza Lima,2 de Mayo,Alianza Lima,2026-02-05T00:30:00Z,1X2,X,,2.9,https://www.betano.bet.br/odds/2-de-mayo-alianza-lima/77980030/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:14:00.066377+00:00,Copa Libertadores,2 de Mayo x Alianza Lima,2 de Mayo,Alianza Lima,2026-02-05T00:30:00Z,1X2,2,,2.32,https://www.betano.bet.br/odds/2-de-mayo-alianza-lima/77980030/,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
2026-02-03T15:14:42.603720+00:00,Série A,Bologna FC x AC Milan,Bologna FC,AC Milan,2026-02-03T19:45:00Z,1X2,1,,2.95,https://www.betano.bet.br/odds/bologna-fc-ac-milan/79518197/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2026-02-03T15:14:42.603748+00:00,Série A,Bologna FC x AC Milan,Bologna FC,AC Milan,2026-02-03T19:45:00Z,1X2,X,,3.1,https://www.betano.bet.br/odds/bologna-fc-ac-milan/79518197/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2026-02-03T15:14:42.603760+00:00,Série A,Bologna FC x AC Milan,Bologna FC,AC Milan,2026-02-03T19:45:00Z,1X2,2,,2.57,https://www.betano.bet.br/odds/bologna-fc-ac-milan/79518197/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
