Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
1,Wed,2019-09-18,Club Brugge KV,Galatasaray,0-0,,
1,Wed,2019-09-18,Paris Saint Germain,Real Madrid,3-0,2-0,
1,Tue,2019-10-01,Real Madrid,Club Brugge KV,2-2,0-2,
1,Tue,2019-10-01,Galatasaray,Paris Saint Germain,0-1,0-0,
1,Tue,2019-10-22,Club Brugge KV,Paris Saint Germain,0-5,0-1,
1,Tue,2019-10-22,Galatasaray,Real Madrid,0-1,0-1,
1,Wed,2019-11-06,Paris Saint Germain,Club Brugge KV,1-0,1-0,
1,Wed,2019-11-06,Real Madrid,Galatasaray,6-0,4-0,
1,Tue,2019-11-26,Galatasaray,Club Brugge KV,1-1,1-0,
1,Tue,2019-11-26,Real Madrid,Paris Saint Germain,2-2,1-0,
1,Wed,2019-12-11,Paris Saint Germain,Galatasaray,5-0,2-0,
1,Wed,2019-12-11,Club Brugge KV,Real Madrid,1-3,0-0,
1,Wed,2019-09-18,Olympiacos,Tottenham,2-2,1-2,
1,Wed,2019-09-18,Bayern de Munique,Crvena Zvezda,3-0,1-0,
1,Tue,2019-10-01,Tottenham,Bayern de Munique,2-7,1-2,
1,Tue,2019-10-01,Crvena Zvezda,Olympiacos,3-1,0-1,
2,Tue,2019-10-22,Tottenham,Crvena Zvezda,5-0,3-0,
2,Tue,2019-10-22,Olympiacos,Bayern de Munique,2-3,1-1,
2,Wed,2019-11-06,Bayern de Munique,Olympiacos,2-0,0-0,
2,Wed,2019-11-06,Crvena Zvezda,Tottenham,0-4,0-1,
2,Tue,2019-11-26,Tottenham,Olympiacos,4-2,1-2,
2,Tue,2019-11-26,Crvena Zvezda,Bayern de Munique,0-6,0-1,
2,Wed,2019-12-11,Bayern de Munique,Tottenham,3-1,2-1,
2,Wed,2019-12-11,Olympiacos,Crvena Zvezda,1-0,0-0,
2,Wed,2019-09-18,FC Shakhtar Donetsk,Manchester City,0-3,0-2,
2,Wed,2019-09-18,GNK Dinamo Zagreb,Atalanta,4-0,3-0,
2,Tue,2019-10-01,Atalanta,FC Shakhtar Donetsk,1-2,1-1,
2,Tue,2019-10-01,Manchester City,GNK Dinamo Zagreb,2-0,0-0,
2,Tue,2019-10-22,FC Shakhtar Donetsk,GNK Dinamo Zagreb,2-2,1-1,
2,Tue,2019-10-22,Manchester City,Atalanta,5-1,2-1,
2,Wed,2019-11-06,GNK Dinamo Zagreb,FC Shakhtar Donetsk,3-3,1-1,
2,Wed,2019-11-06,Atalanta,Manchester City,1-1,0-1,
3,Tue,2019-11-26,Manchester City,FC Shakhtar Donetsk,1-1,0-0,
