Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
1,Tue,2012-09-18,Paris Saint Germain,Dínamo Kiev,4-1,3-0,
1,Tue,2012-09-18,GNK Dinamo Zagreb,FC Porto,0-2,0-1,
1,Wed,2012-10-03,FC Porto,Paris Saint Germain,1-0,0-0,
1,Wed,2012-10-03,Dínamo Kiev,GNK Dinamo Zagreb,2-0,2-0,
1,Wed,2012-10-24,FC Porto,Dínamo Kiev,3-2,2-1,
1,Wed,2012-10-24,GNK Dinamo Zagreb,Paris Saint Germain,0-2,0-2,
1,Tue,2012-11-06,Dínamo Kiev,FC Porto,0-0,,
1,Tue,2012-11-06,Paris Saint Germain,GNK Dinamo Zagreb,4-0,1-0,
1,Wed,2012-11-21,Dínamo Kiev,Paris Saint Germain,0-2,0-1,
1,Wed,2012-11-21,FC Porto,GNK Dinamo Zagreb,3-0,1-0,
1,Tue,2012-12-04,Paris Saint Germain,FC Porto,2-1,1-1,
1,Tue,2012-12-04,GNK Dinamo Zagreb,Dínamo Kiev,1-1,0-1,
1,Tue,2012-09-18,Olympiacos,FC Schalke 04,1-2,0-1,
1,Tue,2012-09-18,Montpellier,Arsenal,1-2,1-2,
1,Wed,2012-10-03,Arsenal,Olympiacos,3-1,1-1,
1,Wed,2012-10-03,FC Schalke 04,Montpellier,2-2,1-1,
2,Wed,2012-10-24,Arsenal,FC Schalke 04,0-2,0-0,
2,Wed,2012-10-24,Montpellier,Olympiacos,1-2,0-0,
2,Tue,2012-11-06,FC Schalke 04,Arsenal,2-2,1-2,
2,Tue,2012-11-06,Olympiacos,Montpellier,3-1,1-0,
2,Wed,2012-11-21,FC Schalke 04,Olympiacos,1-0,0-0,
2,Wed,2012-11-21,Arsenal,Montpellier,2-0,0-0,
2,Tue,2012-12-04,Olympiacos,Arsenal,2-1,0-1,
2,Tue,2012-12-04,Montpellier,FC Schalke 04,1-1,0-0,
2,Tue,2012-09-18,AC Milan,RSC Anderlecht,0-0,,
2,Tue,2012-09-18,Málaga CF,Zenit St. Petersburg (RUS),3-0,2-0,
2,Wed,2012-10-03,Zenit St. Petersburg (RUS),AC Milan,2-3,1-2,
2,Wed,2012-10-03,RSC Anderlecht,Málaga CF,0-3,0-1,
2,Wed,2012-10-24,Zenit St. Petersburg (RUS),RSC Anderlecht,1-0,0-0,
2,Wed,2012-10-24,Málaga CF,AC Milan,1-0,0-0,
2,Tue,2012-11-06,RSC Anderlecht,Zenit St. Petersburg (RUS),1-0,1-0,
2,Tue,2012-11-06,AC Milan,Málaga CF,1-1,0-1,
3,Wed,2012-11-21,Zenit St. Petersburg (RUS),Málaga CF,2-2,0-2,
3,Wed,2012-11-21,RSC Anderlecht,AC Milan,1-3,0-0,
3,Tue,2012-12-04,AC Milan,Zenit St. Petersburg (RUS),0-1,0-1,
3,Tue,2012-12-04,Málaga CF,RSC Anderlecht,2-2,1-0,
3,Tue,2012-09-18,Real Madrid,Manchester City,3-2,0-0,
3,Tue,2012-09-18,Borussia Dortmund,AFC Ajax,1-0,0-0,
3,Wed,2012-10-03,AFC Ajax,Real Madrid,1-4,0-1,
