Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
1,Tue,2014-09-16,Olympiacos,Atlético de Madrid,3-2,2-1,
1,Tue,2014-09-16,Juventus FC,Malmo FF,2-0,0-0,
1,Wed,2014-10-01,Atlético de Madrid,Juventus FC,1-0,0-0,
1,Wed,2014-10-01,Malmo FF,Olympiacos,2-0,1-0,
1,Wed,2014-10-22,Atlético de Madrid,Malmo FF,5-0,0-0,
1,Wed,2014-10-22,Olympiacos,Juventus FC,1-0,1-0,
1,Tue,2014-11-04,Malmo FF,Atlético de Madrid,0-2,0-1,
1,Tue,2014-11-04,Juventus FC,Olympiacos,3-2,1-1,
1,Wed,2014-11-26,Atlético de Madrid,Olympiacos,4-0,2-0,
1,Wed,2014-11-26,Malmo FF,Juventus FC,0-2,0-0,
1,Tue,2014-12-09,Juventus FC,Atlético de Madrid,0-0,,
1,Tue,2014-12-09,Olympiacos,Malmo FF,4-2,1-0,
1,Tue,2014-09-16,Real Madrid,Basel,5-1,4-1,
1,Tue,2014-09-16,Liverpool,Ludogorets,2-1,0-0,
1,Wed,2014-10-01,Basel,Liverpool,1-0,0-0,
1,Wed,2014-10-01,Ludogorets,Real Madrid,1-2,1-1,
2,Wed,2014-10-22,Ludogorets,Basel,1-0,0-0,
2,Wed,2014-10-22,Liverpool,Real Madrid,0-3,0-3,
2,Tue,2014-11-04,Basel,Ludogorets,4-0,2-0,
2,Tue,2014-11-04,Real Madrid,Liverpool,1-0,1-0,
2,Wed,2014-11-26,Basel,Real Madrid,0-1,0-1,
2,Wed,2014-11-26,Ludogorets,Liverpool,2-2,1-2,
2,Tue,2014-12-09,Liverpool,Basel,1-1,0-1,
2,Tue,2014-12-09,Real Madrid,Ludogorets,4-0,2-0,
2,Tue,2014-09-16,Monaco,Bayer Leverkusen,1-0,0-0,
2,Tue,2014-09-16,SL Benfica,Zenit St. Petersburg (RUS),0-2,0-2,
2,Wed,2014-10-01,Zenit St. Petersburg (RUS),Monaco,0-0,,
2,Wed,2014-10-01,Bayer Leverkusen,SL Benfica,3-1,2-0,
2,Wed,2014-10-22,Monaco,SL Benfica,0-0,,
2,Wed,2014-10-22,Bayer Leverkusen,Zenit St. Petersburg (RUS),2-0,0-0,
2,Tue,2014-11-04,Zenit St. Petersburg (RUS),Bayer Leverkusen,1-2,0-0,
2,Tue,2014-11-04,SL Benfica,Monaco,1-0,0-0,
3,Wed,2014-11-26,Zenit St. Petersburg (RUS),SL Benfica,1-0,0-0,
3,Wed,2014-11-26,Bayer Leverkusen,Monaco,0-1,0-0,
3,Tue,2014-12-09,Monaco,Zenit St. Petersburg (RUS),2-0,0-0,
3,Tue,2014-12-09,SL Benfica,Bayer Leverkusen,0-0,,
3,Tue,2014-09-16,Borussia Dortmund,Arsenal,2-0,1-0,
3,Tue,2014-09-16,Galatasaray,RSC Anderlecht,1-1,0-0,
3,Wed,2014-10-01,Arsenal,Galatasaray,4-1,3-0,
3,Wed,2014-10-01,RSC Anderlecht,Borussia Dortmund,0-3,0-1,
3,Wed,2014-10-22,RSC Anderlecht,Arsenal,1-2,0-0,
3,Wed,2014-10-22,Galatasaray,Borussia Dortmund,0-4,0-3,
3,Tue,2014-11-04,Arsenal,RSC Anderlecht,3-3,2-0,
3,Tue,2014-11-04,Borussia Dortmund,Galatasaray,4-1,1-0,
3,Wed,2014-11-26,Arsenal,Borussia Dortmund,2-0,1-0,
3,Wed,2014-11-26,RSC Anderlecht,Galatasaray,2-0,1-0,
3,Tue,2014-12-09,Galatasaray,Arsenal,1-4,0-3,
3,Tue,2014-12-09,Borussia Dortmund,RSC Anderlecht,1-1,0-0,
4,Wed,2014-09-17,Roma,CSKA Moskva (RUS),5-1,4-0,
4,Wed,2014-09-17,Bayern de Munique,Manchester City,1-0,0-0,
4,Tue,2014-09-30,CSKA Moskva (RUS),Bayern de Munique,0-1,0-1,
4,Tue,2014-09-30,Manchester City,Roma,1-1,1-1,
4,Tue,2014-10-21,CSKA Moskva (RUS),Manchester City,2-2,0-2,
4,Tue,2014-10-21,Roma,Bayern de Munique,1-7,0-5,
4,Wed,2014-11-05,Bayern de Munique,Roma,2-0,1-0,
4,Wed,2014-11-05,Manchester City,CSKA Moskva (RUS),1-2,1-2,
4,Tue,2014-11-25,CSKA Moskva (RUS),Roma,1-1,0-1,
4,Tue,2014-11-25,Manchester City,Bayern de Munique,3-2,1-2,
4,Wed,2014-12-10,Roma,Manchester City,0-2,0-0,
4,Wed,2014-12-10,Bayern de Munique,CSKA Moskva (RUS),3-0,1-0,
4,Wed,2014-09-17,AFC Ajax,Paris Saint Germain,1-1,0-1,
4,Wed,2014-09-17,Barcelona,APOEL Nicosia,1-0,1-0,
4,Tue,2014-09-30,APOEL Nicosia,AFC Ajax,1-1,1-1,
4,Tue,2014-09-30,Paris Saint Germain,Barcelona,3-2,2-1,
5,Tue,2014-10-21,Barcelona,AFC Ajax,3-1,2-0,
5,Tue,2014-10-21,APOEL Nicosia,Paris Saint Germain,0-1,0-0,
5,Wed,2014-11-05,AFC Ajax,Barcelona,0-2,0-1,
5,Wed,2014-11-05,Paris Saint Germain,APOEL Nicosia,1-0,1-0,
5,Tue,2014-11-25,Paris Saint Germain,AFC Ajax,3-1,1-0,
5,Tue,2014-11-25,APOEL Nicosia,Barcelona,0-4,0-2,
5,Wed,2014-12-10,AFC Ajax,APOEL Nicosia,4-0,1-0,
5,Wed,2014-12-10,Barcelona,Paris Saint Germain,3-1,2-1,
