Matchday,Day,Date,Home,Away,Fulltime,Halftime,Penalties
5,Tue,2017-11-21,Manchester City (ENG),Feyenoord (NED),1-0,0-0,
5,Wed,2017-12-06,Shakhtar Donetsk (UKR),Manchester City (ENG),2-1,2-0,
5,Wed,2017-12-06,Feyenoord (NED),SSC Napoli (ITA),2-1,1-1,
5,Wed,2017-09-13,FC Porto (POR),Beşiktaş (TUR),1-3,1-2,
5,Wed,2017-09-13,RB Leipzig (GER),AS Monaco (FRA),1-1,1-1,
5,Tue,2017-09-26,AS Monaco (FRA),FC Porto (POR),0-3,0-1,
5,Tue,2017-09-26,Beşiktaş (TUR),RB Leipzig (GER),2-0,2-0,
5,Tue,2017-10-17,AS Monaco (FRA),Beşiktaş (TUR),1-2,1-1,
5,Tue,2017-10-17,RB Leipzig (GER),FC Porto (POR),3-2,3-2,
5,Wed,2017-11-01,Beşiktaş (TUR),AS Monaco (FRA),1-1,0-1,
5,Wed,2017-11-01,FC Porto (POR),RB Leipzig (GER),3-1,1-0,
6,Tue,2017-11-21,Beşiktaş (TUR),FC Porto (POR),1-1,1-1,
6,Tue,2017-11-21,AS Monaco (FRA),RB Leipzig (GER),1-4,1-4,
6,Wed,2017-12-06,FC Porto (POR),AS Monaco (FRA),5-2,3-0,
6,Wed,2017-12-06,RB Leipzig (GER),Beşiktaş (TUR),1-2,0-1,
6,Wed,2017-09-13,Tottenham Hotspur (ENG),Borussia Dortmund (GER),3-1,2-1,
6,Wed,2017-09-13,Real Madrid (ESP),APOEL Nikosia (CYP),3-0,1-0,
6,Tue,2017-09-26,Borussia Dortmund (GER),Real Madrid (ESP),1-3,0-1,
6,Tue,2017-09-26,APOEL Nikosia (CYP),Tottenham Hotspur (ENG),0-3,0-1,
6,Tue,2017-10-17,Real Madrid (ESP),Tottenham Hotspur (ENG),1-1,1-1,
6,Tue,2017-10-17,APOEL Nikosia (CYP),Borussia Dortmund (GER),1-1,0-0,
6,Wed,2017-11-01,Tottenham Hotspur (ENG),Real Madrid (ESP),3-1,1-0,
6,Wed,2017-11-01,Borussia Dortmund (GER),APOEL Nikosia (CYP),1-1,1-0,
6,Tue,2017-11-21,Borussia Dortmund (GER),Tottenham Hotspur (ENG),1-2,1-0,
6,Tue,2017-11-21,APOEL Nikosia (CYP),Real Madrid (ESP),0-6,0-4,
6,Wed,2017-12-06,Real Madrid (ESP),Borussia Dortmund (GER),3-2,2-1,
6,Wed,2017-12-06,Tottenham Hotspur (ENG),APOEL Nikosia (CYP),3-0,2-0,
Round of 16,Tue,2018-02-13,Juventus (ITA),Tottenham Hotspur (ENG),2-2,2-1,
Round of 16,Tue,2018-02-13,FC Basel 1893 (SUI),Manchester City (ENG),0-4,0-3,
Round of 16,Wed,2018-02-14,FC Porto (POR),Liverpool FC (ENG),0-5,0-2,
Round of 16,Wed,2018-02-14,Real Madrid (ESP),Paris Saint-Germain (FRA),3-1,1-1,
Round of 16,Tue,2018-02-20,Chelsea FC (ENG),FC Barcelona (ESP),1-1,0-0,
Round of 16,Tue,2018-02-20,Bayern München (GER),Beşiktaş (TUR),5-0,1-0,
Round of 16,Wed,2018-02-21,Sevilla FC (ESP),Manchester United (ENG),0-0,,
Round of 16,Wed,2018-02-21,Shakhtar Donetsk (UKR),AS Roma (ITA),2-1,0-1,
Round of 16,Tue,2018-03-06,Liverpool FC (ENG),FC Porto (POR),0-0,,
Round of 16,Tue,2018-03-06,Paris Saint-Germain (FRA),Real Madrid (ESP),1-2,0-0,
Round of 16,Wed,2018-03-07,Tottenham Hotspur (ENG),Juventus (ITA),1-2,1-0,
Round of 16,Wed,2018-03-07,Manchester City (ENG),FC Basel 1893 (SUI),1-2,1-1,
Round of 16,Tue,2018-03-13,Manchester United (ENG),Sevilla FC (ESP),1-2,0-0,
Round of 16,Tue,2018-03-13,AS Roma (ITA),Shakhtar Donetsk (UKR),1-0,0-0,
Round of 16,Wed,2018-03-14,Beşiktaş (TUR),Bayern München (GER),1-3,0-1,
Round of 16,Wed,2018-03-14,FC Barcelona (ESP),Chelsea FC (ENG),3-0,2-0,
Quarterfinals,Tue,2018-04-03,Sevilla FC (ESP),Bayern München (GER),1-2,1-1,
Quarterfinals,Tue,2018-04-03,Juventus (ITA),Real Madrid (ESP),0-3,0-1,
Quarterfinals,Wed,2018-04-04,FC Barcelona (ESP),AS Roma (ITA),4-1,1-0,
Quarterfinals,Wed,2018-04-04,Liverpool FC (ENG),Manchester City (ENG),3-0,3-0,
Quarterfinals,Tue,2018-04-10,AS Roma (ITA),FC Barcelona (ESP),3-0,1-0,
Quarterfinals,Tue,2018-04-10,Manchester City (ENG),Liverpool FC (ENG),1-2,1-0,
Quarterfinals,Wed,2018-04-11,Bayern München (GER),Sevilla FC (ESP),0-0,,
Quarterfinals,Wed,2018-04-11,Real Madrid (ESP),Juventus (ITA),1-3,0-2,
Semifinals,Tue,2018-04-24,Liverpool FC (ENG),AS Roma (ITA),5-2,2-0,
Semifinals,Wed,2018-04-25,Bayern München (GER),Real Madrid (ESP),1-2,1-1,
Semifinals,Tue,2018-05-01,Real Madrid (ESP),Bayern München (GER),2-2,1-1,
Semifinals,Wed,2018-05-02,AS Roma (ITA),Liverpool FC (ENG),4-2,1-2,
Final,Sat,2018-05-26,Real Madrid (ESP),Liverpool FC (ENG),3-1,0-0,
