Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
1,Tue,2013-09-17,Manchester United,Bayer Leverkusen,4-2,1-0,
1,Tue,2013-09-17,Real Sociedad,FC Shakhtar Donetsk,0-2,0-0,
1,Wed,2013-10-02,FC Shakhtar Donetsk,Manchester United,1-1,0-1,
1,Wed,2013-10-02,Bayer Leverkusen,Real Sociedad,2-1,1-0,
1,Wed,2013-10-23,Bayer Leverkusen,FC Shakhtar Donetsk,4-0,1-0,
1,Wed,2013-10-23,Manchester United,Real Sociedad,1-0,1-0,
1,Tue,2013-11-05,FC Shakhtar Donetsk,Bayer Leverkusen,0-0,,
1,Tue,2013-11-05,Real Sociedad,Manchester United,0-0,,
1,Wed,2013-11-27,Bayer Leverkusen,Manchester United,0-5,0-2,
1,Wed,2013-11-27,FC Shakhtar Donetsk,Real Sociedad,4-0,1-0,
1,Tue,2013-12-10,Manchester United,FC Shakhtar Donetsk,1-0,0-0,
1,Tue,2013-12-10,Real Sociedad,Bayer Leverkusen,0-1,0-0,
1,Tue,2013-09-17,Galatasaray,Real Madrid,1-6,0-1,
1,Tue,2013-09-17,FC Copenhagen,Juventus FC,1-1,1-0,
1,Wed,2013-10-02,Juventus FC,Galatasaray,2-2,0-1,
1,Wed,2013-10-02,Real Madrid,FC Copenhagen,4-0,1-0,
2,Wed,2013-10-23,Real Madrid,Juventus FC,2-1,2-1,
2,Wed,2013-10-23,Galatasaray,FC Copenhagen,3-1,3-0,
2,Tue,2013-11-05,Juventus FC,Real Madrid,2-2,1-0,
2,Tue,2013-11-05,FC Copenhagen,Galatasaray,1-0,1-0,
2,Wed,2013-11-27,Real Madrid,Galatasaray,4-1,1-1,
2,Wed,2013-11-27,Juventus FC,FC Copenhagen,3-1,1-0,
2,Tue,2013-12-10,FC Copenhagen,Real Madrid,0-2,0-1,
2,Wed,2013-12-11,Galatasaray,Juventus FC,1-0,0-0,
2,Tue,2013-09-17,Olympiacos,Paris Saint Germain,1-4,1-1,
2,Tue,2013-09-17,SL Benfica,RSC Anderlecht,2-0,2-0,
2,Wed,2013-10-02,Paris Saint Germain,SL Benfica,3-0,3-0,
2,Wed,2013-10-02,RSC Anderlecht,Olympiacos,0-3,0-1,
2,Wed,2013-10-23,RSC Anderlecht,Paris Saint Germain,0-5,0-3,
2,Wed,2013-10-23,SL Benfica,Olympiacos,1-1,0-1,
2,Tue,2013-11-05,Paris Saint Germain,RSC Anderlecht,1-1,0-0,
2,Tue,2013-11-05,Olympiacos,SL Benfica,1-0,1-0,
