Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
6,Wed,2016-09-14,Juventus FC,Sevilha FC,0-0,,
6,Wed,2016-09-14,Lyon,GNK Dinamo Zagreb,3-0,1-0,
6,Tue,2016-09-27,GNK Dinamo Zagreb,Juventus FC,0-4,0-2,
6,Tue,2016-09-27,Sevilha FC,Lyon,1-0,0-0,
6,Tue,2016-10-18,GNK Dinamo Zagreb,Sevilha FC,0-1,0-1,
6,Tue,2016-10-18,Lyon,Juventus FC,0-1,0-0,
6,Wed,2016-11-02,Juventus FC,Lyon,1-1,1-0,
6,Wed,2016-11-02,Sevilha FC,GNK Dinamo Zagreb,4-0,1-0,
6,Tue,2016-11-22,GNK Dinamo Zagreb,Lyon,0-1,0-0,
6,Tue,2016-11-22,Sevilha FC,Juventus FC,1-3,1-1,
6,Wed,2016-12-07,Juventus FC,GNK Dinamo Zagreb,2-0,0-0,
6,Wed,2016-12-07,Lyon,Sevilha FC,0-0,,
Round of 16,Tue,2017-02-14,SL Benfica,Borussia Dortmund,1-0,0-0,
Round of 16,Tue,2017-02-14,Paris Saint Germain,Barcelona,4-0,2-0,
Round of 16,Wed,2017-02-15,Real Madrid,Napoli,3-1,1-1,
Round of 16,Wed,2017-02-15,Bayern de Munique,Arsenal,5-1,1-1,
Round of 16,Tue,2017-02-21,Manchester City,Monaco,5-3,1-2,
Round of 16,Tue,2017-02-21,Bayer Leverkusen,Atlético de Madrid,2-4,0-2,
Round of 16,Wed,2017-02-22,FC Porto,Juventus FC,0-2,0-0,
Round of 16,Wed,2017-02-22,Sevilha FC,Leicester,2-1,1-0,
Round of 16,Tue,2017-03-07,Napoli,Real Madrid,1-3,1-0,
Round of 16,Tue,2017-03-07,Arsenal,Bayern de Munique,1-5,1-0,
Round of 16,Wed,2017-03-08,Borussia Dortmund,SL Benfica,4-0,1-0,
Round of 16,Wed,2017-03-08,Barcelona,Paris Saint Germain,6-1,2-0,
Round of 16,Tue,2017-03-14,Juventus FC,FC Porto,1-0,1-0,
Round of 16,Tue,2017-03-14,Leicester,Sevilha FC,2-0,1-0,
Round of 16,Wed,2017-03-15,Monaco,Manchester City,3-1,2-0,
Round of 16,Wed,2017-03-15,Atlético de Madrid,Bayer Leverkusen,0-0,,
Quarterfinals,Tue,2017-04-11,Juventus FC,Barcelona,3-0,2-0,
Quarterfinals,Wed,2017-04-12,Borussia Dortmund,Monaco,2-3,0-2,
Quarterfinals,Wed,2017-04-12,Atlético de Madrid,Leicester,1-0,1-0,
Quarterfinals,Wed,2017-04-12,Bayern de Munique,Real Madrid,1-2,1-0,
Quarterfinals,Tue,2017-04-18,Leicester,Atlético de Madrid,1-1,0-1,
Quarterfinals,Tue,2017-04-18,Real Madrid,Bayern de Munique,4-2,,
Quarterfinals,Wed,2017-04-19,Barcelona,Juventus FC,0-0,,
Quarterfinals,Wed,2017-04-19,Monaco,Borussia Dortmund,3-1,2-0,
Semifinals,Tue,2017-05-02,Real Madrid,Atlético de Madrid,3-0,1-0,
Semifinals,Wed,2017-05-03,Monaco,Juventus FC,0-2,0-1,
Semifinals,Tue,2017-05-09,Juventus FC,Monaco,2-1,2-0,
Semifinals,Wed,2017-05-10,Atlético de Madrid,Real Madrid,2-1,2-1,
Final,Sat,2017-06-03,Juventus FC,Real Madrid,1-4,1-1,
