Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Tue,2016-02-02,Huracán (ARG),Caracas FC (VEN),1-0,0-0,
Round 1,Tue,2016-02-02,River Plate (URU),Universidad de Chile (CHI),2-0,0-0,
Round 1,Wed,2016-02-03,Universidad Cesar Vallejo (PER),São Paulo,1-1,1-0,
Round 1,Thu,2016-02-04,Puebla FC (MEX),Racing Club (ARG),2-2,1-1,
Round 1,Thu,2016-02-04,Independiente del Valle (ECU),Guaraní (PAR),1-0,1-0,
Round 1,Thu,2016-02-04,Oriente Petrolero (BOL),Santa Fe (COL),1-3,0-2,
Round 1,Tue,2016-02-09,Universidad de Chile (CHI),River Plate (URU),0-0,,
Round 1,Tue,2016-02-09,Caracas FC (VEN),Huracán (ARG),2-1,1-0,
Round 1,Wed,2016-02-10,São Paulo,Universidad Cesar Vallejo (PER),1-0,0-0,
Round 1,Wed,2016-02-10,Racing Club (ARG),Puebla FC (MEX),1-0,0-0,
Round 1,Thu,2016-02-11,Guaraní (PAR),Independiente del Valle (ECU),2-1,0-0,
Round 1,Thu,2016-02-11,Santa Fe (COL),Oriente Petrolero (BOL),3-0,2-0,
1,Wed,2016-02-17,São Paulo,The Strongest (BOL),0-1,0-0,
2,Thu,2016-02-25,Trujillanos FC (VEN),River Plate (URU),0-4,0-0,
3,Wed,2016-03-02,The Strongest (BOL),Trujillanos FC (VEN),2-1,2-1,
5,Thu,2016-03-10,River Plate (URU),São Paulo,1-1,1-1,
6,Wed,2016-03-16,The Strongest (BOL),River Plate (URU),1-1,0-1,
6,Wed,2016-03-16,Trujillanos FC (VEN),São Paulo,1-1,1-1,
7,Tue,2016-04-05,São Paulo,Trujillanos FC (VEN),6-0,3-0,
8,Wed,2016-04-06,River Plate (URU),The Strongest (BOL),6-0,5-0,
9,Tue,2016-04-12,Trujillanos FC (VEN),The Strongest (BOL),2-1,1-0,
10,Wed,2016-04-13,São Paulo,River Plate (URU),2-1,1-0,
12,Thu,2016-04-21,River Plate (URU),Trujillanos FC (VEN),4-3,2-1,
12,Thu,2016-04-21,The Strongest (BOL),São Paulo,1-1,1-1,
1,Tue,2016-02-16,River Plate (URU),Palmeiras,2-2,0-1,
2,Thu,2016-02-25,Rosario Central (ARG),Nacional (URU),1-1,0-0,
3,Wed,2016-03-02,Nacional (URU),River Plate (URU),0-0,,
3,Thu,2016-03-03,Palmeiras,Rosario Central (ARG),2-0,1-0,
4,Wed,2016-03-09,Rosario Central (ARG),River Plate (URU),4-1,1-0,
4,Wed,2016-03-09,Palmeiras,Nacional (URU),1-2,1-2,
7,Thu,2016-03-17,River Plate (URU),Rosario Central (ARG),1-3,1-1,
7,Thu,2016-03-17,Nacional (URU),Palmeiras,1-0,0-0,
8,Wed,2016-04-06,Rosario Central (ARG),Palmeiras,3-3,1-2,
9,Thu,2016-04-07,River Plate (URU),Nacional (URU),2-2,1-1,
10,Thu,2016-04-14,Nacional (URU),Rosario Central (ARG),0-2,0-1,
11,Thu,2016-04-14,Palmeiras,River Plate (URU),4-0,2-0,
1,Wed,2016-02-24,Racing Club (ARG),Bolívar (BOL),4-1,3-0,
1,Wed,2016-02-24,Deportivo Cali (COL),Boca Juniors (ARG),0-0,,
3,Thu,2016-03-03,Boca Juniors (ARG),Racing Club (ARG),0-0,,
3,Thu,2016-03-03,Bolívar (BOL),Deportivo Cali (COL),5-0,3-0,
5,Thu,2016-03-10,Bolívar (BOL),Boca Juniors (ARG),1-1,1-0,
7,Thu,2016-03-17,Deportivo Cali (COL),Racing Club (ARG),2-2,2-0,
9,Thu,2016-04-07,Boca Juniors (ARG),Bolívar (BOL),3-1,2-0,
9,Thu,2016-04-07,Racing Club (ARG),Deportivo Cali (COL),4-2,3-0,
10,Wed,2016-04-13,Racing Club (ARG),Boca Juniors (ARG),0-1,0-0,
11,Thu,2016-04-14,Deportivo Cali (COL),Bolívar (BOL),1-1,1-0,
12,Wed,2016-04-20,Boca Juniors (ARG),Deportivo Cali (COL),6-2,2-2,
12,Wed,2016-04-20,Bolívar (BOL),Racing Club (ARG),1-1,0-0,
1,Thu,2016-02-18,Sporting Cristal (PER),Peñarol (URU),1-1,0-1,
1,Tue,2016-02-23,Huracán (ARG),Atlético Nacional (COL),0-2,0-1,
2,Tue,2016-03-01,Atlético Nacional (COL),Sporting Cristal (PER),3-0,2-0,
2,Tue,2016-03-01,Peñarol (URU),Huracán (ARG),0-1,0-1,
3,Tue,2016-03-08,Atlético Nacional (COL),Peñarol (URU),2-0,0-0,
