Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Tue,2015-02-03,Alianza Lima (PER),Huracán (ARG),0-4,0-2,
Round 1,Wed,2015-02-04,Monarcas Morelia (MEX),The Strongest (BOL),1-1,1-1,
Round 1,Wed,2015-02-04,Corinthians,Once Caldas (COL),4-0,1-0,
Round 1,Thu,2015-02-05,Deportivo Táchira (VEN),Cerro Porteño (PAR),2-1,2-0,
Round 1,Thu,2015-02-05,Palestino (CHI),Nacional (URU),1-0,0-0,
Round 1,Thu,2015-02-05,Independiente del Valle (ECU),Estudiantes (ARG),1-0,0-0,
Round 1,Tue,2015-02-10,Huracán (ARG),Alianza Lima (PER),0-0,,
Round 1,Tue,2015-02-10,The Strongest (BOL),Monarcas Morelia (MEX),2-0,0-0,
Round 1,Wed,2015-02-11,Cerro Porteño (PAR),Deportivo Táchira (VEN),2-2,1-0,
Round 1,Wed,2015-02-11,Once Caldas (COL),Corinthians,1-1,0-1,
Round 1,Thu,2015-02-12,Nacional (URU),Palestino (CHI),2-1,2-1,
Round 1,Thu,2015-02-12,Estudiantes (ARG),Independiente del Valle (ECU),4-0,2-0,
1,Wed,2015-02-18,Atlas Guadalajara (MEX),Santa Fe (COL),0-1,0-0,
1,Wed,2015-02-18,Colo-Colo (CHI),Atlético-MG,2-0,1-0,
2,Wed,2015-02-25,Atlético-MG,Atlas Guadalajara (MEX),0-1,0-0,
2,Thu,2015-02-26,Santa Fe (COL),Colo-Colo (CHI),3-1,2-0,
3,Wed,2015-03-04,Colo-Colo (CHI),Atlas Guadalajara (MEX),2-0,0-0,
5,Wed,2015-03-18,Santa Fe (COL),Atlético-MG,0-1,0-0,
6,Tue,2015-04-07,Atlas Guadalajara (MEX),Colo-Colo (CHI),1-3,1-1,
6,Thu,2015-04-09,Atlético-MG,Santa Fe (COL),2-0,1-0,
7,Wed,2015-04-15,Atlas Guadalajara (MEX),Atlético-MG,1-0,1-0,
7,Wed,2015-04-15,Colo-Colo (CHI),Santa Fe (COL),0-3,0-1,
8,Wed,2015-04-22,Santa Fe (COL),Atlas Guadalajara (MEX),3-1,2-0,
8,Wed,2015-04-22,Atlético-MG,Colo-Colo (CHI),2-0,1-0,
1,Wed,2015-02-18,Corinthians,São Paulo,2-0,1-0,
1,Thu,2015-02-19,Danubio (URU),San Lorenzo (ARG),1-2,1-0,
2,Wed,2015-02-25,São Paulo,Danubio (URU),4-0,2-0,
3,Wed,2015-03-04,San Lorenzo (ARG),Corinthians,0-1,0-0,
4,Tue,2015-03-17,Danubio (URU),Corinthians,1-2,0-0,
5,Wed,2015-03-18,São Paulo,San Lorenzo (ARG),1-0,0-0,
6,Wed,2015-04-01,San Lorenzo (ARG),São Paulo,1-0,0-0,
6,Wed,2015-04-01,Corinthians,Danubio (URU),4-0,2-0,
7,Wed,2015-04-15,Danubio (URU),São Paulo,1-2,0-0,
7,Thu,2015-04-16,Corinthians,San Lorenzo (ARG),0-0,,
8,Wed,2015-04-22,São Paulo,Corinthians,2-0,2-0,
8,Wed,2015-04-22,San Lorenzo (ARG),Danubio (URU),0-1,0-0,
1,Tue,2015-02-24,Huracán (ARG),Mineros de Guayana (VEN),2-2,1-1,
2,Wed,2015-02-25,Universitario de Sucre (BOL),Cruzeiro,0-0,,
3,Tue,2015-03-03,Mineros de Guayana (VEN),Universitario de Sucre (BOL),0-1,0-0,
3,Tue,2015-03-03,Cruzeiro,Huracán (ARG),0-0,,
4,Tue,2015-03-10,Universitario de Sucre (BOL),Huracán (ARG),0-0,,
5,Thu,2015-03-19,Mineros de Guayana (VEN),Cruzeiro,0-2,0-1,
6,Wed,2015-04-08,Huracán (ARG),Universitario de Sucre (BOL),1-1,1-1,
6,Wed,2015-04-08,Cruzeiro,Mineros de Guayana (VEN),3-0,2-0,
7,Tue,2015-04-14,Huracán (ARG),Cruzeiro,3-1,2-0,
7,Tue,2015-04-14,Universitario de Sucre (BOL),Mineros de Guayana (VEN),2-0,1-0,
8,Tue,2015-04-21,Cruzeiro,Universitario de Sucre (BOL),2-0,1-0,
8,Tue,2015-04-21,Mineros de Guayana (VEN),Huracán (ARG),3-0,2-0,
1,Tue,2015-02-17,Universidad de Chile (CHI),Emelec (ECU),0-1,0-0,
1,Tue,2015-02-17,The Strongest (BOL),Internacional,3-1,2-0,
2,Tue,2015-02-24,Emelec (ECU),The Strongest (BOL),3-0,2-0,
2,Thu,2015-02-26,Internacional,Universidad de Chile (CHI),3-1,1-0,
3,Wed,2015-03-04,Internacional,Emelec (ECU),3-2,1-2,
3,Thu,2015-03-05,Universidad de Chile (CHI),The Strongest (BOL),3-1,1-1,
