Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Tue,2014-01-28,Oriente Petrolero (BOL),Nacional (URU),1-0,1-0,
Round 1,Tue,2014-01-28,Monarcas Morelia (MEX),Santa Fe (COL),2-1,1-0,
Round 1,Wed,2014-01-29,Sporting Cristal (PER),Athletico-PR,2-1,1-0,
Round 1,Wed,2014-01-29,Deportivo Quito (ECU),Botafogo-RJ,1-0,1-0,
Round 1,Thu,2014-01-30,Universidad de Chile (CHI),Guaraní (PAR),1-0,0-0,
Round 1,Thu,2014-01-30,Caracas FC (VEN),Lanús (ARG),0-2,0-1,
Round 1,Tue,2014-02-04,Nacional (URU),Oriente Petrolero (BOL),2-0,1-0,
Round 1,Tue,2014-02-04,Santa Fe (COL),Monarcas Morelia (MEX),1-0,0-0,
Round 1,Wed,2014-02-05,Athletico-PR,Sporting Cristal (PER),2-1,2-1,5-4
Round 1,Wed,2014-02-05,Botafogo-RJ,Deportivo Quito (ECU),4-0,1-0,
Round 1,Thu,2014-02-06,Guaraní (PAR),Universidad de Chile (CHI),2-3,1-0,
Round 1,Thu,2014-02-06,Lanús (ARG),Caracas FC (VEN),1-0,0-0,
1,Wed,2014-02-12,Universitario de Deportes (PER),Vélez Sarsfield (ARG),0-1,0-0,
1,Thu,2014-02-13,Athletico-PR,The Strongest (BOL),1-0,1-0,
2,Thu,2014-02-20,The Strongest (BOL),Universitario de Deportes (PER),1-0,0-0,
2,Tue,2014-02-25,Vélez Sarsfield (ARG),Athletico-PR,2-0,1-0,
3,Tue,2014-03-11,The Strongest (BOL),Vélez Sarsfield (ARG),2-0,0-0,
3,Thu,2014-03-13,Universitario de Deportes (PER),Athletico-PR,0-1,0-0,
4,Tue,2014-03-18,Vélez Sarsfield (ARG),The Strongest (BOL),2-0,0-0,
4,Thu,2014-03-20,Athletico-PR,Universitario de Deportes (PER),3-0,1-0,
5,Wed,2014-03-26,Athletico-PR,Vélez Sarsfield (ARG),1-3,0-1,
5,Thu,2014-03-27,Universitario de Deportes (PER),The Strongest (BOL),3-3,2-1,
6,Tue,2014-04-08,Vélez Sarsfield (ARG),Universitario de Deportes (PER),1-0,0-0,
6,Tue,2014-04-08,The Strongest (BOL),Athletico-PR,2-1,1-1,
1,Tue,2014-02-11,Botafogo-RJ,San Lorenzo (ARG),2-0,1-0,
1,Tue,2014-02-18,Club Social y Deportivo Independiente José Terán (ECU),Unión Española (CHI),2-2,1-0,
2,Wed,2014-02-26,Unión Española (CHI),Botafogo-RJ,1-1,0-0,
2,Thu,2014-02-27,San Lorenzo (ARG),Club Social y Deportivo Independiente José Terán (ECU),1-0,0-0,
3,Wed,2014-03-12,San Lorenzo (ARG),Unión Española (CHI),1-1,1-0,
3,Wed,2014-03-12,Club Social y Deportivo Independiente José Terán (ECU),Botafogo-RJ,2-1,1-0,
4,Tue,2014-03-18,Botafogo-RJ,Club Social y Deportivo Independiente José Terán (ECU),1-0,1-0,
4,Thu,2014-03-20,Unión Española (CHI),San Lorenzo (ARG),1-0,0-0,
5,Thu,2014-03-27,Club Social y Deportivo Independiente José Terán (ECU),San Lorenzo (ARG),1-1,0-0,
5,Wed,2014-04-02,Botafogo-RJ,Unión Española (CHI),0-1,0-0,
6,Wed,2014-04-09,Unión Española (CHI),Club Social y Deportivo Independiente José Terán (ECU),4-5,1-1,
6,Wed,2014-04-09,San Lorenzo (ARG),Botafogo-RJ,3-0,1-0,
1,Thu,2014-02-13,Deportivo Cali (COL),Cerro Porteño (PAR),1-0,0-0,
1,Thu,2014-02-13,Lanús (ARG),O'Higgins (CHI),0-0,,
2,Wed,2014-02-19,O'Higgins (CHI),Deportivo Cali (COL),1-0,0-0,
2,Wed,2014-02-26,Cerro Porteño (PAR),Lanús (ARG),3-1,0-0,
3,Thu,2014-03-13,O'Higgins (CHI),Cerro Porteño (PAR),2-2,1-0,
3,Thu,2014-03-13,Deportivo Cali (COL),Lanús (ARG),2-1,0-1,
4,Thu,2014-03-20,Cerro Porteño (PAR),O'Higgins (CHI),2-1,2-1,
4,Thu,2014-03-20,Lanús (ARG),Deportivo Cali (COL),2-0,2-0,
5,Wed,2014-03-26,Deportivo Cali (COL),O'Higgins (CHI),1-1,0-0,
5,Thu,2014-03-27,Lanús (ARG),Cerro Porteño (PAR),2-0,0-0,
6,Tue,2014-04-08,Cerro Porteño (PAR),Deportivo Cali (COL),3-2,2-1,
6,Tue,2014-04-08,O'Higgins (CHI),Lanús (ARG),0-0,,
1,Tue,2014-02-11,Zamora FC (VEN),Atlético-MG,0-1,0-0,
1,Wed,2014-02-12,Santa Fe (COL),Club Nacional (PAR),3-1,0-0,
2,Thu,2014-02-20,Club Nacional (PAR),Zamora FC (VEN),1-0,1-0,
2,Wed,2014-02-26,Atlético-MG,Santa Fe (COL),2-1,0-0,
3,Wed,2014-03-12,Club Nacional (PAR),Atlético-MG,2-2,1-2,
3,Wed,2014-03-12,Zamora FC (VEN),Santa Fe (COL),2-1,0-0,
4,Tue,2014-03-18,Santa Fe (COL),Zamora FC (VEN),2-2,1-1,
4,Wed,2014-03-19,Atlético-MG,Club Nacional (PAR),1-1,1-1,
5,Tue,2014-03-25,Zamora FC (VEN),Club Nacional (PAR),2-0,0-0,
5,Thu,2014-04-03,Santa Fe (COL),Atlético-MG,1-1,0-1,
6,Thu,2014-04-10,Atlético-MG,Zamora FC (VEN),1-0,1-0,
6,Thu,2014-04-10,Club Nacional (PAR),Santa Fe (COL),3-2,1-1,
1,Wed,2014-02-12,Real Garcilaso (PER),Cruzeiro,2-1,0-1,
1,Thu,2014-02-13,Universidad de Chile (CHI),Defensor Sporting (URU),1-0,0-0,
2,Wed,2014-02-19,Defensor Sporting (URU),Real Garcilaso (PER),4-1,1-1,
2,Tue,2014-02-25,Cruzeiro,Universidad de Chile (CHI),5-1,3-0,
3,Tue,2014-03-11,Defensor Sporting (URU),Cruzeiro,2-0,0-0,
3,Tue,2014-03-11,Real Garcilaso (PER),Universidad de Chile (CHI),1-2,1-1,
4,Tue,2014-03-18,Universidad de Chile (CHI),Real Garcilaso (PER),1-0,0-0,
4,Thu,2014-03-20,Cruzeiro,Defensor Sporting (URU),2-2,1-0,
5,Tue,2014-04-01,Real Garcilaso (PER),Defensor Sporting (URU),0-2,0-0,
5,Thu,2014-04-03,Universidad de Chile (CHI),Cruzeiro,0-2,0-2,
6,Wed,2014-04-09,Cruzeiro,Real Garcilaso (PER),3-0,3-0,
6,Wed,2014-04-09,Defensor Sporting (URU),Universidad de Chile (CHI),1-1,0-1,
1,Thu,2014-02-13,Nacional (URU),Grêmio,0-1,0-0,
1,Fri,2014-02-14,Atlético Nacional (COL),Newell's Old Boys (ARG),1-0,0-0,
2,Tue,2014-02-25,Grêmio,Atlético Nacional (COL),3-0,1-0,
2,Thu,2014-02-27,Newell's Old Boys (ARG),Nacional (URU),4-0,2-0,
3,Tue,2014-03-11,Atlético Nacional (COL),Nacional (URU),2-2,0-2,
3,Thu,2014-03-13,Grêmio,Newell's Old Boys (ARG),0-0,,
4,Tue,2014-03-18,Nacional (URU),Atlético Nacional (COL),0-1,0-0,
4,Wed,2014-03-19,Newell's Old Boys (ARG),Grêmio,1-1,0-0,
5,Wed,2014-03-26,Nacional (URU),Newell's Old Boys (ARG),2-4,1-1,
5,Wed,2014-04-02,Atlético Nacional (COL),Grêmio,0-2,0-0,
6,Thu,2014-04-10,Newell's Old Boys (ARG),Atlético Nacional (COL),1-3,1-2,
6,Thu,2014-04-10,Grêmio,Nacional (URU),1-0,1-0,
1,Wed,2014-02-12,Club León (MEX),Flamengo,2-1,1-1,
1,Fri,2014-02-14,Emelec (ECU),Bolívar (BOL),2-1,1-1,
2,Wed,2014-02-19,Bolívar (BOL),Club León (MEX),1-1,0-1,
2,Wed,2014-02-26,Flamengo,Emelec (ECU),3-1,1-0,
3,Tue,2014-03-11,Emelec (ECU),Club León (MEX),2-1,1-1,
