Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Tue,2019-01-22,Delfín SC (ECU),Club Nacional (PAR),3-0,2-0,
Round 1,Wed,2019-01-23,Deportivo La Guaira (VEN),Real Garcilaso (PER),1-0,0-0,
Round 1,Wed,2019-01-23,Bolívar (BOL),Defensor Sporting (URU),2-4,0-1,
Round 1,Tue,2019-01-29,Real Garcilaso (PER),Deportivo La Guaira (VEN),2-1,1-0,
Round 1,Wed,2019-01-30,Club Nacional (PAR),Delfín SC (ECU),1-2,1-2,
Round 1,Wed,2019-01-30,Defensor Sporting (URU),Bolívar (BOL),2-3,1-3,
Round 2,Tue,2019-02-05,Danubio (URU),Atlético-MG,2-2,1-1,
Round 2,Tue,2019-02-05,FBC Melgar (PER),Universidad de Chile (CHI),1-0,0-0,
Round 2,Tue,2019-02-05,The Strongest (BOL),Libertad (PAR),1-1,0-0,
Round 2,Wed,2019-02-06,Delfín SC (ECU),Caracas FC (VEN),1-1,1-1,
Round 2,Wed,2019-02-06,Defensor Sporting (URU),Barcelona (ECU),3-0,0-0,
Round 2,Wed,2019-02-06,Palestino (CHI),Independiente Medellín (COL),1-1,0-0,
Round 2,Wed,2019-02-06,Talleres de Córdoba (ARG),São Paulo,2-0,0-0,
Round 2,Thu,2019-02-07,Deportivo La Guaira (VEN),Atlético Nacional (COL),0-1,0-0,
Round 2,Tue,2019-02-12,Atlético-MG,Danubio (URU),3-2,3-1,
Round 2,Tue,2019-02-12,Independiente Medellín (COL),Palestino (CHI),,1-1,1-4
Round 2,Tue,2019-02-12,Barcelona (ECU),Defensor Sporting (URU),1-0,1-0,
Round 2,Wed,2019-02-13,Universidad de Chile (CHI),FBC Melgar (PER),0-0,,
Round 2,Wed,2019-02-13,Libertad (PAR),The Strongest (BOL),5-1,1-1,
Round 2,Wed,2019-02-13,São Paulo,Talleres de Córdoba (ARG),0-0,,
Round 2,Wed,2019-02-13,Caracas FC (VEN),Delfín SC (ECU),0-0,,
Round 2,Thu,2019-02-14,Atlético Nacional (COL),Deportivo La Guaira (VEN),0-0,,
Round 3,Tue,2019-02-19,FBC Melgar (PER),Caracas FC (VEN),2-0,1-0,
Round 3,Wed,2019-02-20,Talleres de Córdoba (ARG),Palestino (CHI),1-2,1-0,
Round 3,Wed,2019-02-20,Defensor Sporting (URU),Atlético-MG,0-2,0-1,
Round 3,Thu,2019-02-21,Libertad (PAR),Atlético Nacional (COL),1-0,0-0,
Round 3,Tue,2019-02-26,Caracas FC (VEN),FBC Melgar (PER),2-1,1-0,
Round 3,Wed,2019-02-27,Palestino (CHI),Talleres de Córdoba (ARG),2-2,1-2,
Round 3,Wed,2019-02-27,Atlético-MG,Defensor Sporting (URU),0-0,,
Round 3,Thu,2019-02-28,Atlético Nacional (COL),Libertad (PAR),1-0,1-0,4-5
1,Wed,2019-03-06,Palestino (CHI),Internacional,0-1,0-0,
1,Wed,2019-03-06,Alianza Lima (PER),River Plate (ARG),1-1,1-0,
2,Wed,2019-03-13,River Plate (ARG),Palestino (CHI),0-0,,
2,Wed,2019-03-13,Internacional,Alianza Lima (PER),2-0,2-0,
3,Tue,2019-04-02,Palestino (CHI),Alianza Lima (PER),3-0,1-0,
3,Wed,2019-04-03,Internacional,River Plate (ARG),2-2,2-1,
4,Tue,2019-04-09,Internacional,Palestino (CHI),3-2,2-1,
4,Thu,2019-04-11,River Plate (ARG),Alianza Lima (PER),3-0,1-0,
5,Wed,2019-04-24,Palestino (CHI),River Plate (ARG),0-2,0-1,
5,Wed,2019-04-24,Alianza Lima (PER),Internacional,0-1,0-0,
6,Tue,2019-05-07,Alianza Lima (PER),Palestino (CHI),1-2,1-1,
6,Tue,2019-05-07,River Plate (ARG),Internacional,2-2,1-1,
1,Thu,2019-03-07,Huracán (ARG),Cruzeiro,0-1,0-1,
1,Fri,2019-03-08,Deportivo Lara (VEN),Emelec (ECU),0-0,,
2,Thu,2019-03-14,Emelec (ECU),Huracán (ARG),0-0,,
2,Wed,2019-03-27,Cruzeiro,Deportivo Lara (VEN),2-0,1-0,
3,Wed,2019-04-03,Emelec (ECU),Cruzeiro,0-1,0-1,
3,Wed,2019-04-03,Deportivo Lara (VEN),Huracán (ARG),2-1,2-0,
4,Wed,2019-04-10,Cruzeiro,Huracán (ARG),4-0,3-0,
4,Thu,2019-04-11,Emelec (ECU),Deportivo Lara (VEN),2-2,0-0,
5,Tue,2019-04-23,Deportivo Lara (VEN),Cruzeiro,0-2,0-1,
5,Tue,2019-04-23,Huracán (ARG),Emelec (ECU),1-2,0-1,
6,Wed,2019-05-08,Cruzeiro,Emelec (ECU),1-2,0-1,
6,Wed,2019-05-08,Huracán (ARG),Deportivo Lara (VEN),3-0,2-0,
1,Tue,2019-03-05,Godoy Cruz (ARG),Club Olimpia (PAR),0-0,,
1,Wed,2019-03-06,Universidad de Concepción (CHI),Sporting Cristal (PER),5-4,1-0,
2,Tue,2019-03-12,Club Olimpia (PAR),Universidad de Concepción (CHI),1-1,1-1,
2,Tue,2019-03-12,Sporting Cristal (PER),Godoy Cruz (ARG),1-1,1-1,
3,Wed,2019-04-03,Universidad de Concepción (CHI),Godoy Cruz (ARG),0-0,,
3,Thu,2019-04-04,Sporting Cristal (PER),Club Olimpia (PAR),0-3,0-0,
4,Tue,2019-04-09,Club Olimpia (PAR),Godoy Cruz (ARG),2-1,2-0,
4,Wed,2019-04-10,Sporting Cristal (PER),Universidad de Concepción (CHI),2-0,2-0,
5,Tue,2019-04-23,Universidad de Concepción (CHI),Club Olimpia (PAR),3-3,2-0,
5,Tue,2019-04-23,Godoy Cruz (ARG),Sporting Cristal (PER),2-0,1-0,
6,Thu,2019-05-09,Club Olimpia (PAR),Sporting Cristal (PER),0-1,0-1,
6,Thu,2019-05-09,Godoy Cruz (ARG),Universidad de Concepción (CHI),1-0,1-0,
1,Tue,2019-03-05,Club San José (BOL),Flamengo,0-1,0-0,
1,Thu,2019-03-07,LDU Quito (ECU),Peñarol (URU),2-0,1-0,
2,Wed,2019-03-13,Flamengo,LDU Quito (ECU),3-1,1-0,
2,Thu,2019-03-14,Peñarol (URU),Club San José (BOL),4-0,3-0,
3,Tue,2019-04-02,Club San José (BOL),LDU Quito (ECU),3-3,1-2,
3,Wed,2019-04-03,Flamengo,Peñarol (URU),0-1,0-0,
4,Tue,2019-04-09,Peñarol (URU),LDU Quito (ECU),1-0,0-0,
4,Thu,2019-04-11,Flamengo,Club San José (BOL),6-1,2-1,
5,Wed,2019-04-24,Club San José (BOL),Peñarol (URU),3-1,0-0,
5,Wed,2019-04-24,LDU Quito (ECU),Flamengo,2-1,1-1,
6,Wed,2019-05-08,LDU Quito (ECU),Club San José (BOL),4-0,0-0,
6,Wed,2019-05-08,Peñarol (URU),Flamengo,0-0,,
1,Wed,2019-03-06,Atlético-MG,Cerro Porteño (PAR),0-1,0-0,
1,Wed,2019-03-06,Zamora FC (VEN),Nacional (URU),0-1,0-1,
2,Tue,2019-03-12,Nacional (URU),Atlético-MG,1-0,0-0,
2,Wed,2019-03-13,Cerro Porteño (PAR),Zamora FC (VEN),2-1,1-0,
3,Tue,2019-04-02,Cerro Porteño (PAR),Nacional (URU),1-0,1-0,
3,Wed,2019-04-03,Atlético-MG,Zamora FC (VEN),3-2,0-2,
4,Wed,2019-04-10,Cerro Porteño (PAR),Atlético-MG,4-1,4-1,
