Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Tue,2021-02-23,Liverpool (URU),Universidad Catolica (ECU),2-1,0-1,
Round 1,Wed,2021-02-24,Universidad Cesar Vallejo (PER),Caracas FC (VEN),0-0,,
Round 1,Wed,2021-02-24,Royal Pari (BOL),Guaraní (PAR),1-4,0-3,
Round 1,Tue,2021-03-02,Universidad Catolica (ECU),Liverpool (URU),3-0,2-0,
Round 1,Wed,2021-03-03,Caracas FC (VEN),Universidad Cesar Vallejo (PER),2-0,1-0,
Round 1,Wed,2021-03-03,Guaraní (PAR),Royal Pari (BOL),1-1,0-0,
Round 2,Tue,2021-03-09,Montevideo Wanderers (URU),Bolívar (BOL),1-0,0-0,
Round 2,Tue,2021-03-09,Santos,Deportivo Lara (VEN),2-1,0-0,
Round 2,Tue,2021-03-09,Unión Española (CHI),Independiente del Valle (ECU),1-0,0-0,
Round 2,Wed,2021-03-10,Universidad Catolica (ECU),Libertad (PAR),0-1,0-1,
Round 2,Wed,2021-03-10,Grêmio,Ayacucho FC (PER),6-1,4-0,
Round 2,Wed,2021-03-10,Universidad de Chile (CHI),San Lorenzo (ARG),1-1,0-0,
Round 2,Wed,2021-03-10,Caracas FC (VEN),Atlético Junior (COL),1-2,1-0,
Round 2,Thu,2021-03-11,Guaraní (PAR),Atlético Nacional (COL),0-2,0-1,
Round 2,Tue,2021-03-16,Bolívar (BOL),Montevideo Wanderers (URU),5-0,2-0,
Round 2,Tue,2021-03-16,Deportivo Lara (VEN),Santos,1-1,0-1,
Round 2,Tue,2021-03-16,Ayacucho FC (PER),Grêmio,1-2,1-1,
Round 2,Tue,2021-03-16,Independiente del Valle (ECU),Unión Española (CHI),6-2,4-0,
Round 2,Wed,2021-03-17,Libertad (PAR),Universidad Catolica (ECU),2-2,1-0,
Round 2,Wed,2021-03-17,San Lorenzo (ARG),Universidad de Chile (CHI),2-0,1-0,
Round 2,Wed,2021-03-17,Atlético Junior (COL),Caracas FC (VEN),3-1,1-0,
Round 2,Thu,2021-03-18,Atlético Nacional (COL),Guaraní (PAR),3-0,2-0,
Round 3,Tue,2021-04-06,San Lorenzo (ARG),Santos,1-3,0-2,
Round 3,Wed,2021-04-07,Libertad (PAR),Atlético Nacional (COL),1-0,0-0,
Round 3,Thu,2021-04-08,Bolívar (BOL),Atlético Junior (COL),2-1,1-1,
Round 3,Fri,2021-04-09,Independiente del Valle (ECU),Grêmio,2-1,0-1,
Round 3,Tue,2021-04-13,Santos,San Lorenzo (ARG),2-2,1-0,
Round 3,Wed,2021-04-14,Grêmio,Independiente del Valle (ECU),1-2,1-1,
Round 3,Wed,2021-04-14,Atlético Nacional (COL),Libertad (PAR),4-1,1-1,
Round 3,Thu,2021-04-15,Atlético Junior (COL),Bolívar (BOL),3-0,1-0,
1,Wed,2021-04-21,Universitario de Deportes (PER),Palmeiras,2-3,0-1,
1,Wed,2021-04-21,Independiente del Valle (ECU),Defensa y Justicia (ARG),1-1,1-1,
2,Tue,2021-04-27,Palmeiras,Independiente del Valle (ECU),5-0,2-0,
2,Wed,2021-04-28,Defensa y Justicia (ARG),Universitario de Deportes (PER),3-0,1-0,
3,Tue,2021-05-04,Defensa y Justicia (ARG),Palmeiras,1-2,0-0,
3,Wed,2021-05-05,Independiente del Valle (ECU),Universitario de Deportes (PER),4-0,1-0,
4,Tue,2021-05-11,Independiente del Valle (ECU),Palmeiras,0-1,0-1,
4,Wed,2021-05-12,Universitario de Deportes (PER),Defensa y Justicia (ARG),1-1,1-0,
5,Tue,2021-05-18,Palmeiras,Defensa y Justicia (ARG),3-4,2-2,
5,Tue,2021-05-18,Universitario de Deportes (PER),Independiente del Valle (ECU),3-2,1-1,
6,Thu,2021-05-27,Palmeiras,Universitario de Deportes (PER),6-0,2-0,
6,Thu,2021-05-27,Defensa y Justicia (ARG),Independiente del Valle (ECU),1-1,1-1,
1,Tue,2021-04-20,Deportivo Táchira (VEN),Club Olimpia (PAR),3-2,1-1,
1,Tue,2021-04-20,Always Ready (BOL),Internacional,2-0,0-0,
2,Tue,2021-04-27,Internacional,Deportivo Táchira (VEN),4-0,3-0,
2,Wed,2021-04-28,Club Olimpia (PAR),Always Ready (BOL),2-1,0-0,
3,Wed,2021-05-05,Internacional,Club Olimpia (PAR),6-1,1-0,
3,Thu,2021-05-06,Always Ready (BOL),Deportivo Táchira (VEN),2-0,1-0,
4,Tue,2021-05-11,Deportivo Táchira (VEN),Internacional,2-1,0-0,
4,Thu,2021-05-13,Always Ready (BOL),Club Olimpia (PAR),1-2,1-1,
5,Wed,2021-05-19,Deportivo Táchira (VEN),Always Ready (BOL),7-2,4-0,
5,Thu,2021-05-20,Club Olimpia (PAR),Internacional,0-1,0-0,
6,Wed,2021-05-26,Club Olimpia (PAR),Deportivo Táchira (VEN),6-2,2-0,
6,Wed,2021-05-26,Internacional,Always Ready (BOL),0-0,,
1,Tue,2021-04-20,Santos,Barcelona (ECU),0-2,0-0,
1,Wed,2021-04-21,The Strongest (BOL),Boca Juniors (ARG),0-1,0-1,
2,Tue,2021-04-27,Boca Juniors (ARG),Santos,2-0,0-0,
2,Wed,2021-04-28,Barcelona (ECU),The Strongest (BOL),4-0,0-0,
3,Tue,2021-05-04,Santos,The Strongest (BOL),5-0,3-0,
3,Tue,2021-05-04,Barcelona (ECU),Boca Juniors (ARG),1-0,0-0,
4,Tue,2021-05-11,The Strongest (BOL),Barcelona (ECU),2-0,1-0,
4,Tue,2021-05-11,Santos,Boca Juniors (ARG),1-0,1-0,
5,Tue,2021-05-18,The Strongest (BOL),Santos,2-1,2-0,
5,Thu,2021-05-20,Boca Juniors (ARG),Barcelona (ECU),0-0,,
6,Wed,2021-05-26,Boca Juniors (ARG),The Strongest (BOL),3-0,2-0,
6,Wed,2021-05-26,Barcelona (ECU),Santos,3-1,1-1,
1,Thu,2021-04-22,Fluminense,River Plate (ARG),1-1,0-1,
1,Thu,2021-04-22,Atlético Junior (COL),Santa Fe (COL),1-1,1-1,
2,Wed,2021-04-28,River Plate (ARG),Atlético Junior (COL),2-1,1-0,
2,Wed,2021-04-28,Santa Fe (COL),Fluminense,1-2,0-1,
3,Thu,2021-05-06,Santa Fe (COL),River Plate (ARG),0-0,,
3,Thu,2021-05-06,Atlético Junior (COL),Fluminense,1-1,1-1,
4,Wed,2021-05-12,Atlético Junior (COL),River Plate (ARG),1-1,1-0,
4,Wed,2021-05-12,Fluminense,Santa Fe (COL),2-1,0-0,
5,Tue,2021-05-18,Fluminense,Atlético Junior (COL),1-2,0-1,
5,Wed,2021-05-19,River Plate (ARG),Santa Fe (COL),2-1,2-0,
6,Tue,2021-05-25,River Plate (ARG),Fluminense,1-3,0-2,
6,Tue,2021-05-25,Santa Fe (COL),Atlético Junior (COL),0-0,,
1,Tue,2021-04-20,Sporting Cristal (PER),São Paulo,0-3,0-1,
1,Wed,2021-04-21,Rentistas (URU),Racing Club (ARG),1-1,1-0,
2,Thu,2021-04-29,Racing Club (ARG),Sporting Cristal (PER),2-1,1-0,
2,Thu,2021-04-29,São Paulo,Rentistas (URU),2-0,1-0,
3,Wed,2021-05-05,Racing Club (ARG),São Paulo,0-0,,
3,Wed,2021-05-05,Rentistas (URU),Sporting Cristal (PER),0-0,,
4,Tue,2021-05-11,Sporting Cristal (PER),Racing Club (ARG),0-2,0-0,
4,Wed,2021-05-12,Rentistas (URU),São Paulo,1-1,1-1,
5,Tue,2021-05-18,São Paulo,Racing Club (ARG),0-1,0-1,
5,Wed,2021-05-19,Sporting Cristal (PER),Rentistas (URU),2-0,1-0,
6,Tue,2021-05-25,Racing Club (ARG),Rentistas (URU),3-0,1-0,
6,Tue,2021-05-25,São Paulo,Sporting Cristal (PER),3-0,1-0,
1,Tue,2021-04-20,Argentinos Juniors (ARG),Nacional (URU),2-0,1-0,
1,Thu,2021-04-22,Atlético Nacional (COL),Universidad Católica (CHI),2-0,2-0,
2,Wed,2021-04-28,Nacional (URU),Atlético Nacional (COL),4-4,2-2,
2,Thu,2021-04-29,Universidad Católica (CHI),Argentinos Juniors (ARG),0-2,0-1,
3,Wed,2021-05-05,Universidad Católica (CHI),Nacional (URU),3-1,1-1,
3,Thu,2021-05-06,Atlético Nacional (COL),Argentinos Juniors (ARG),0-2,0-1,
4,Wed,2021-05-12,Argentinos Juniors (ARG),Universidad Católica (CHI),0-1,0-0,
4,Thu,2021-05-13,Atlético Nacional (COL),Nacional (URU),0-0,,
5,Tue,2021-05-18,Nacional (URU),Universidad Católica (CHI),1-0,1-0,
5,Thu,2021-05-20,Argentinos Juniors (ARG),Atlético Nacional (COL),1-0,0-0,
6,Wed,2021-05-26,Nacional (URU),Argentinos Juniors (ARG),2-0,0-0,
6,Wed,2021-05-26,Universidad Católica (CHI),Atlético Nacional (COL),2-0,1-0,
1,Tue,2021-04-20,Vélez Sarsfield (ARG),Flamengo,2-3,1-1,
1,Wed,2021-04-21,Unión La Calera (CHI),LDU Quito (ECU),2-2,1-0,
