Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Mon,2017-01-23,Universitario de Sucre (BOL),Montevideo Wanderers (URU),3-2,2-1,
Round 1,Mon,2017-01-23,Deportivo Capiatá (PAR),Deportivo Táchira (VEN),1-0,1-0,
Round 1,Mon,2017-01-23,Deportivo Municipal (PER),Independiente del Valle (ECU),0-1,0-1,
Round 1,Fri,2017-01-27,Montevideo Wanderers (URU),Universitario de Sucre (BOL),5-2,2-1,
Round 1,Fri,2017-01-27,Independiente del Valle (ECU),Deportivo Municipal (PER),2-2,0-1,
Round 1,Fri,2017-01-27,Deportivo Táchira (VEN),Deportivo Capiatá (PAR),0-0,,
Round 2,Tue,2017-01-31,CA Cerro (URU),Unión Española (CHI),2-3,1-2,
Round 2,Tue,2017-01-31,Carabobo FC (VEN),Atlético Junior (COL),0-1,0-1,
Round 2,Tue,2017-01-31,Atlético Tucumán (ARG),El Nacional (ECU),2-2,1-1,
Round 2,Wed,2017-02-01,Athletico-PR,Millonarios (COL),1-0,0-0,
Round 2,Wed,2017-02-01,Botafogo-RJ,Colo-Colo (CHI),2-1,2-0,
Round 2,Thu,2017-02-02,Montevideo Wanderers (URU),The Strongest (BOL),0-2,0-1,
Round 2,Thu,2017-02-02,Independiente del Valle (ECU),Club Olimpia (PAR),1-0,1-0,
Round 2,Thu,2017-02-02,Deportivo Capiatá (PAR),Universitario de Deportes (PER),1-3,0-2,
Round 2,Tue,2017-02-07,Atlético Junior (COL),Carabobo FC (VEN),3-0,2-0,
Round 2,Tue,2017-02-07,Unión Española (CHI),CA Cerro (URU),2-0,1-0,
Round 2,Tue,2017-02-07,El Nacional (ECU),Atlético Tucumán (ARG),0-1,0-0,
Round 2,Wed,2017-02-08,Millonarios (COL),Athletico-PR,1-0,1-0,2-4
Round 2,Wed,2017-02-08,Colo-Colo (CHI),Botafogo-RJ,1-1,1-0,
Round 2,Thu,2017-02-09,The Strongest (BOL),Montevideo Wanderers (URU),4-0,2-0,
Round 2,Thu,2017-02-09,Club Olimpia (PAR),Independiente del Valle (ECU),3-1,2-1,
Round 2,Thu,2017-02-09,Universitario de Deportes (PER),Deportivo Capiatá (PAR),0-3,0-2,
Round 3,Wed,2017-02-15,Athletico-PR,Deportivo Capiatá (PAR),3-3,1-1,
Round 3,Wed,2017-02-15,Botafogo-RJ,Club Olimpia (PAR),1-0,1-0,
Round 3,Thu,2017-02-16,Atlético Junior (COL),Atlético Tucumán (ARG),1-0,0-0,
Round 3,Thu,2017-02-16,Unión Española (CHI),The Strongest (BOL),1-1,0-1,
Round 3,Wed,2017-02-22,Deportivo Capiatá (PAR),Athletico-PR,0-1,0-1,
Round 3,Wed,2017-02-22,Club Olimpia (PAR),Botafogo-RJ,1-0,1-0,1-3
Round 3,Thu,2017-02-23,Atlético Tucumán (ARG),Atlético Junior (COL),3-1,3-0,
Round 3,Thu,2017-02-23,The Strongest (BOL),Unión Española (CHI),5-0,2-0,
1,Tue,2017-03-14,Botafogo-RJ,Estudiantes (ARG),2-1,1-0,
1,Tue,2017-03-14,Barcelona (ECU),Atlético Nacional (COL),2-1,2-1,
2,Tue,2017-04-11,Estudiantes (ARG),Barcelona (ECU),0-2,0-0,
3,Thu,2017-04-13,Atlético Nacional (COL),Botafogo-RJ,0-2,0-1,
4,Wed,2017-04-19,Estudiantes (ARG),Atlético Nacional (COL),1-0,1-0,
4,Thu,2017-04-20,Barcelona (ECU),Botafogo-RJ,1-1,1-0,
