Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Tue,2023-02-07,CSD Sport Huancayo (PER),Club Nacional (PAR),2-1,0-0,
Round 1,Wed,2023-02-08,Club Nacional Potosí (BOL),CSCyD El Nacional (ECU),1-6,1-5,
Round 1,Thu,2023-02-09,CA Boston River (URU),Zamora FC (VEN),3-1,1-0,
Round 1,Tue,2023-02-14,Club Nacional (PAR),CSD Sport Huancayo (PER),3-1,0-1,
Round 1,Wed,2023-02-15,CSCyD El Nacional (ECU),Club Nacional Potosí (BOL),3-1,2-0,
Round 1,Thu,2023-02-16,Zamora FC (VEN),CA Boston River (URU),0-1,0-1,
Round 2,Tue,2023-02-21,Club Nacional (PAR),CS Cristal (PER),2-0,0-0,
Round 2,Tue,2023-02-21,CDP Curicó Unido (CHI),Club Cerro Porteño (PAR),0-1,0-0,
Round 2,Wed,2023-02-22,CSCyD El Nacional (ECU),CD Independiente Medellín (COL),2-2,0-1,
Round 2,Wed,2023-02-22,CA Boston River (URU),CA Huracán (ARG),0-0,,
Round 2,Wed,2023-02-22,Carabobo FC (VEN),Atlético-MG,0-0,,
Round 2,Thu,2023-02-23,Magallanes (CHI),Club Always Ready (BOL),3-0,1-0,
Round 2,Thu,2023-02-23,Universidad Catolica (ECU),Millonarios FC (COL),0-0,,
Round 2,Thu,2023-02-23,CD Maldonado (URU),Fortaleza,0-0,,
Round 2,Tue,2023-02-28,Club Cerro Porteño (PAR),CDP Curicó Unido (CHI),1-0,0-0,
Round 2,Tue,2023-02-28,CS Cristal (PER),Club Nacional (PAR),5-1,0-0,
Round 2,Wed,2023-03-01,CA Huracán (ARG),CA Boston River (URU),1-0,1-0,
Round 2,Wed,2023-03-01,CD Independiente Medellín (COL),CSCyD El Nacional (ECU),2-1,0-0,
Round 2,Wed,2023-03-01,Atlético-MG,Carabobo FC (VEN),3-1,2-1,
Round 2,Thu,2023-03-02,Club Always Ready (BOL),Magallanes (CHI),1-3,0-1,
Round 2,Thu,2023-03-02,Millonarios FC (COL),Universidad Catolica (ECU),2-1,0-1,
Round 2,Thu,2023-03-02,Fortaleza,CD Maldonado (URU),4-0,1-0,
Round 3,Wed,2023-03-08,Magallanes (CHI),CD Independiente Medellín (COL),1-1,0-0,
Round 3,Wed,2023-03-08,Millonarios FC (COL),Atlético-MG,1-1,1-0,
Round 3,Thu,2023-03-09,Fortaleza,Club Cerro Porteño (PAR),0-1,0-1,
Round 3,Thu,2023-03-09,CA Huracán (ARG),CS Cristal (PER),0-0,,
Round 3,Wed,2023-03-15,CD Independiente Medellín (COL),Magallanes (CHI),2-0,2-0,
Round 3,Wed,2023-03-15,Atlético-MG,Millonarios FC (COL),3-1,0-0,
Round 3,Thu,2023-03-16,Club Cerro Porteño (PAR),Fortaleza,2-1,1-0,
Round 3,Thu,2023-03-16,CS Cristal (PER),CA Huracán (ARG),1-0,0-0,
1,Tue,2023-04-04,Club The Strongest (BOL),CA River Plate (ARG),3-1,2-0,
1,Tue,2023-04-04,AA Argentinos Juniors (ARG),CAR Independiente del Valle (ECU),1-0,0-0,
1,Tue,2023-04-04,Club Alianza Lima (PER),Athletico-PR,0-0,,
1,Tue,2023-04-04,CD Independiente Medellín (COL),Internacional,1-1,0-0,
1,Tue,2023-04-04,Metropolitanos FC (VEN),Club Nacional de Football (URU),1-2,0-1,
1,Wed,2023-04-05,CA Patronato (ARG),CDC Atlético Nacional (COL),1-2,1-0,
1,Wed,2023-04-05,SD Aucas (ECU),Flamengo,2-1,0-1,
1,Wed,2023-04-05,Club Cerro Porteño (PAR),Barcelona SC (ECU),2-1,1-0,
1,Wed,2023-04-05,CD Nublense (CHI),Racing Club (ARG),0-2,0-1,
1,Wed,2023-04-05,Club Bolívar (BOL),Palmeiras,3-1,2-1,
1,Wed,2023-04-05,CS Cristal (PER),Fluminense,1-3,1-1,
1,Wed,2023-04-05,Deportivo Pereira (COL),CSD Colo-Colo (CHI),1-1,0-1,
1,Thu,2023-04-06,Liverpool FC (URU),Corinthians,0-3,0-1,
1,Thu,2023-04-06,Atlético-MG,Club Libertad Asuncion (PAR),0-1,0-1,
1,Thu,2023-04-06,Monagas SC (VEN),CA Boca Juniors (ARG),0-0,,
1,Thu,2023-04-06,FBC Melgar (PER),Olimpia Asuncion (PAR),1-1,1-1,
2,Tue,2023-04-18,Internacional,Metropolitanos FC (VEN),1-0,0-0,
2,Tue,2023-04-18,Fluminense,Club The Strongest (BOL),1-0,1-0,
2,Tue,2023-04-18,CA Boca Juniors (ARG),Deportivo Pereira (COL),2-1,0-0,
2,Tue,2023-04-18,Athletico-PR,Atlético-MG,2-1,2-0,
2,Tue,2023-04-18,Olimpia Asuncion (PAR),CA Patronato (ARG),1-0,1-0,
2,Tue,2023-04-18,CAR Independiente del Valle (ECU),Liverpool FC (URU),2-0,1-0,
2,Wed,2023-04-19,Club Nacional de Football (URU),CD Independiente Medellín (COL),2-1,1-0,
2,Wed,2023-04-19,CA River Plate (ARG),CS Cristal (PER),4-2,2-2,
2,Wed,2023-04-19,Corinthians,AA Argentinos Juniors (ARG),0-1,0-1,
2,Wed,2023-04-19,Flamengo,CD Nublense (CHI),2-0,2-0,
2,Wed,2023-04-19,CSD Colo-Colo (CHI),Monagas SC (VEN),1-0,1-0,
2,Wed,2023-04-19,Barcelona SC (ECU),Club Bolívar (BOL),2-1,1-0,
2,Thu,2023-04-20,Racing Club (ARG),SD Aucas (ECU),3-2,2-0,
2,Thu,2023-04-20,Palmeiras,Club Cerro Porteño (PAR),2-1,0-1,
2,Thu,2023-04-20,CDC Atlético Nacional (COL),FBC Melgar (PER),3-1,2-0,
2,Thu,2023-04-20,Club Libertad Asuncion (PAR),Club Alianza Lima (PER),1-2,0-0,
3,Tue,2023-05-02,Liverpool FC (URU),AA Argentinos Juniors (ARG),2-2,0-1,
3,Tue,2023-05-02,CD Nublense (CHI),SD Aucas (ECU),2-1,0-1,
3,Tue,2023-05-02,Fluminense,CA River Plate (ARG),5-1,1-1,
3,Tue,2023-05-02,Corinthians,CAR Independiente del Valle (ECU),1-2,1-1,
3,Tue,2023-05-02,CDC Atlético Nacional (COL),Olimpia Asuncion (PAR),2-2,1-0,
3,Tue,2023-05-02,CS Cristal (PER),Club The Strongest (BOL),1-0,0-0,
3,Wed,2023-05-03,Club Cerro Porteño (PAR),Club Bolívar (BOL),0-4,0-3,
3,Wed,2023-05-03,Internacional,Club Nacional de Football (URU),2-2,1-1,
