Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Tue,2024-02-06,Academia Puerto Cabello (VEN),Defensor SC (URU),3-2,2-1,
Round 1,Wed,2024-02-07,Club Aurora (BOL),FBC Melgar (PER),1-0,1-0,
Round 1,Thu,2024-02-08,SD Aucas (ECU),Club Nacional (PAR),1-0,0-0,
Round 1,Tue,2024-02-13,Defensor SC (URU),Academia Puerto Cabello (VEN),2-4,1-0,
Round 1,Wed,2024-02-14,FBC Melgar (PER),Club Aurora (BOL),1-1,1-1,
Round 1,Thu,2024-02-15,Club Nacional (PAR),SD Aucas (ECU),3-0,2-0,
Round 2,Tue,2024-02-20,Portuguesa FC (VEN),CD Palestino (CHI),1-2,1-2,
Round 2,Tue,2024-02-20,Rionegro Águilas (COL),Bragantino,0-0,,
Round 2,Tue,2024-02-20,Club Always Ready (BOL),CS Cristal (PER),6-1,1-1,
Round 2,Wed,2024-02-21,Academia Puerto Cabello (VEN),Club Nacional de Football (URU),0-2,0-2,
Round 2,Wed,2024-02-21,Club Nacional (PAR),CDC Atlético Nacional (COL),1-0,0-0,
Round 2,Wed,2024-02-21,Club Aurora (BOL),Botafogo-RJ,1-1,0-1,
Round 2,Thu,2024-02-22,Sportivo Trinidense (PAR),CSCyD El Nacional (ECU),1-1,1-0,
Round 2,Thu,2024-02-22,CD Godoy Cruz Antonio Tomba (ARG),CSD Colo-Colo (CHI),0-1,0-0,
Round 2,Tue,2024-02-27,CD Palestino (CHI),Portuguesa FC (VEN),2-1,1-0,
Round 2,Tue,2024-02-27,Bragantino,Rionegro Águilas (COL),4-3,0-0,
Round 2,Tue,2024-02-27,CS Cristal (PER),Club Always Ready (BOL),3-1,1-1,
Round 2,Wed,2024-02-28,Club Nacional de Football (URU),Academia Puerto Cabello (VEN),2-0,0-0,
Round 2,Wed,2024-02-28,CDC Atlético Nacional (COL),Club Nacional (PAR),0-3,0-1,
Round 2,Wed,2024-02-28,Botafogo-RJ,Club Aurora (BOL),6-0,3-0,
Round 2,Thu,2024-02-29,CSCyD El Nacional (ECU),Sportivo Trinidense (PAR),0-1,0-0,
Round 2,Thu,2024-02-29,CSD Colo-Colo (CHI),CD Godoy Cruz Antonio Tomba (ARG),0-0,,
Round 3,Tue,2024-03-05,Club Nacional (PAR),CD Palestino (CHI),0-2,0-0,
Round 3,Wed,2024-03-06,Botafogo-RJ,Bragantino,2-1,1-1,
Round 3,Wed,2024-03-06,Sportivo Trinidense (PAR),CSD Colo-Colo (CHI),1-1,1-0,
Round 3,Thu,2024-03-07,Club Always Ready (BOL),Club Nacional de Football (URU),1-0,1-0,
Round 3,Tue,2024-03-12,CD Palestino (CHI),Club Nacional (PAR),3-1,0-1,
