Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
4,Thu,2018-04-19,Emelec (ECU),River Plate (ARG),0-1,0-1,
5,Wed,2018-04-25,Santa Fe (COL),Flamengo,0-0,,
5,Thu,2018-04-26,River Plate (ARG),Emelec (ECU),2-1,0-0,
6,Thu,2018-05-03,Santa Fe (COL),River Plate (ARG),0-1,0-1,
7,Wed,2018-05-16,Flamengo,Emelec (ECU),2-0,0-0,
8,Wed,2018-05-23,Emelec (ECU),Santa Fe (COL),0-3,0-1,
8,Wed,2018-05-23,River Plate (ARG),Flamengo,0-0,,
1,Tue,2018-02-27,Racing Club (ARG),Cruzeiro,4-2,2-1,
2,Tue,2018-03-13,Vasco da Gama,Universidad de Chile (CHI),0-1,0-0,
3,Tue,2018-04-03,Universidad de Chile (CHI),Racing Club (ARG),1-1,1-1,
3,Wed,2018-04-04,Cruzeiro,Vasco da Gama,0-0,,
4,Thu,2018-04-19,Racing Club (ARG),Vasco da Gama,4-0,2-0,
4,Thu,2018-04-19,Universidad de Chile (CHI),Cruzeiro,0-0,,
5,Thu,2018-04-26,Cruzeiro,Universidad de Chile (CHI),7-0,3-0,
5,Thu,2018-04-26,Vasco da Gama,Racing Club (ARG),1-1,0-1,
6,Wed,2018-05-02,Vasco da Gama,Cruzeiro,0-4,0-3,
6,Thu,2018-05-03,Racing Club (ARG),Universidad de Chile (CHI),1-0,0-0,
7,Tue,2018-05-22,Universidad de Chile (CHI),Vasco da Gama,0-2,0-1,
7,Tue,2018-05-22,Cruzeiro,Racing Club (ARG),2-1,2-1,
1,Wed,2018-02-28,Nacional (URU),Estudiantes (ARG),0-0,,
1,Thu,2018-03-01,Real Garcilaso (PER),Santos,2-0,1-0,
2,Wed,2018-03-14,Estudiantes (ARG),Real Garcilaso (PER),3-0,0-0,
2,Thu,2018-03-15,Santos,Nacional (URU),3-1,1-0,
3,Tue,2018-04-03,Real Garcilaso (PER),Nacional (URU),0-0,,
3,Thu,2018-04-05,Estudiantes (ARG),Santos,0-1,0-1,
4,Tue,2018-04-24,Santos,Estudiantes (ARG),2-0,1-0,
5,Wed,2018-04-25,Nacional (URU),Real Garcilaso (PER),4-0,1-0,
