Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Tue,2022-02-08,Montevideo City Torque (URU),Barcelona (ECU),1-1,0-1,
Round 1,Wed,2022-02-09,Deportivo Lara (VEN),Bolívar (BOL),2-3,2-3,
Round 1,Wed,2022-02-09,Universidad Cesar Vallejo (PER),Club Olimpia (PAR),0-1,0-1,
Round 1,Tue,2022-02-15,Barcelona (ECU),Montevideo City Torque (URU),0-0,0-0,8-7
Round 1,Wed,2022-02-16,Bolívar (BOL),Deportivo Lara (VEN),4-0,1-0,
Round 1,Wed,2022-02-16,Club Olimpia (PAR),Universidad Cesar Vallejo (PER),2-0,1-0,
Round 2,Tue,2022-02-22,Everton (CHI),Monagas (VEN),3-0,2-0,
Round 2,Tue,2022-02-22,Millonarios (COL),Fluminense,1-2,1-1,
Round 2,Tue,2022-02-22,Plaza Colonia (URU),The Strongest (BOL),2-0,2-0,
Round 2,Wed,2022-02-23,Bolívar (BOL),Universidad Catolica (ECU),1-1,1-1,
Round 2,Wed,2022-02-23,América-MG,Guaraní (PAR),0-1,0-0,
Round 2,Wed,2022-02-23,Audax Italiano (CHI),Estudiantes (ARG),1-0,1-0,
Round 2,Wed,2022-02-23,Barcelona (ECU),Universitario de Deportes (PER),2-0,0-0,
Round 2,Thu,2022-02-24,Club Olimpia (PAR),Atlético Nacional (COL),3-1,1-0,
Round 2,Tue,2022-03-01,Monagas (VEN),Everton (CHI),1-0,0-0,
Round 2,Tue,2022-03-01,Fluminense,Millonarios (COL),2-0,0-0,
Round 2,Tue,2022-03-01,The Strongest (BOL),Plaza Colonia (URU),3-0,2-0,
Round 2,Wed,2022-03-02,Universidad Catolica (ECU),Bolívar (BOL),2-0,2-0,
Round 2,Wed,2022-03-02,Guaraní (PAR),América-MG,2-3,2-3,4-5
Round 2,Wed,2022-03-02,Estudiantes (ARG),Audax Italiano (CHI),2-0,1-0,
Round 2,Wed,2022-03-02,Universitario de Deportes (PER),Barcelona (ECU),0-1,0-0,
Round 2,Thu,2022-03-03,Atlético Nacional (COL),Club Olimpia (PAR),1-1,0-0,
Round 3,Tue,2022-03-08,América-MG,Barcelona (ECU),0-0,,
Round 3,Wed,2022-03-09,Everton (CHI),Estudiantes (ARG),0-1,0-0,
Round 3,Wed,2022-03-09,Fluminense,Club Olimpia (PAR),3-1,1-1,
Round 3,Thu,2022-03-10,Universidad Catolica (ECU),The Strongest (BOL),0-0,,
Round 3,Tue,2022-03-15,Barcelona (ECU),América-MG,0-0,0-0,4-5
Round 3,Wed,2022-03-16,Estudiantes (ARG),Everton (CHI),1-0,1-0,
Round 3,Wed,2022-03-16,Club Olimpia (PAR),Fluminense,2-0,1-0,
Round 3,Thu,2022-03-17,The Strongest (BOL),Universidad Catolica (ECU),2-1,1-1,
1,Wed,2022-04-06,Deportivo Táchira (VEN),Palmeiras,0-4,0-2,
1,Wed,2022-04-06,Independiente Petrolero (BOL),Emelec (ECU),1-1,0-0,
2,Tue,2022-04-12,Palmeiras,Independiente Petrolero (BOL),8-1,1-1,
2,Thu,2022-04-14,Emelec (ECU),Deportivo Táchira (VEN),1-1,1-1,
3,Tue,2022-04-26,Independiente Petrolero (BOL),Deportivo Táchira (VEN),1-2,1-1,
3,Wed,2022-04-27,Emelec (ECU),Palmeiras,1-3,0-2,
4,Tue,2022-05-03,Deportivo Táchira (VEN),Emelec (ECU),1-4,1-2,
4,Tue,2022-05-03,Independiente Petrolero (BOL),Palmeiras,0-5,0-2,
5,Wed,2022-05-18,Palmeiras,Emelec (ECU),1-0,0-0,
5,Wed,2022-05-18,Deportivo Táchira (VEN),Independiente Petrolero (BOL),3-0,2-0,
6,Tue,2022-05-24,Palmeiras,Deportivo Táchira (VEN),4-1,2-0,
6,Tue,2022-05-24,Emelec (ECU),Independiente Petrolero (BOL),7-0,4-0,
1,Tue,2022-04-05,Caracas FC (VEN),Athletico-PR,0-0,,
1,Thu,2022-04-07,The Strongest (BOL),Libertad (PAR),1-1,1-1,
2,Wed,2022-04-13,Libertad (PAR),Caracas FC (VEN),2-1,2-1,
2,Thu,2022-04-14,Athletico-PR,The Strongest (BOL),1-0,0-0,
3,Tue,2022-04-26,Libertad (PAR),Athletico-PR,1-0,0-0,
3,Wed,2022-04-27,The Strongest (BOL),Caracas FC (VEN),1-1,1-0,
4,Tue,2022-05-03,The Strongest (BOL),Athletico-PR,5-0,1-0,
4,Tue,2022-05-03,Caracas FC (VEN),Libertad (PAR),1-0,0-0,
5,Tue,2022-05-17,Caracas FC (VEN),The Strongest (BOL),0-0,,
5,Wed,2022-05-18,Athletico-PR,Libertad (PAR),2-0,0-0,
6,Thu,2022-05-26,Athletico-PR,Caracas FC (VEN),5-1,3-0,
6,Thu,2022-05-26,Libertad (PAR),The Strongest (BOL),4-1,1-1,
1,Wed,2022-04-06,Bragantino,Nacional (URU),2-0,1-0,
1,Thu,2022-04-07,Estudiantes (ARG),Vélez Sarsfield (ARG),4-1,2-1,
2,Wed,2022-04-13,Nacional (URU),Estudiantes (ARG),0-0,,
2,Thu,2022-04-14,Vélez Sarsfield (ARG),Bragantino,2-2,1-1,
3,Tue,2022-04-26,Estudiantes (ARG),Bragantino,2-0,0-0,
3,Tue,2022-04-26,Vélez Sarsfield (ARG),Nacional (URU),1-2,1-1,
4,Tue,2022-05-03,Estudiantes (ARG),Nacional (URU),1-0,1-0,
4,Thu,2022-05-05,Bragantino,Vélez Sarsfield (ARG),1-1,0-1,
