Matchday,Date,Home,Away,FullTime
World Cup and CONCACAF Ch q,1980-11-16,Honduras,Costa Rica,1-1
World Cup and CONCACAF Ch q,1980-11-16,Guatemala,Panama,5-0
World Cup and CONCACAF Ch q,1980-11-23,United States,Mexico,2-1
World Cup and CONCACAF Ch q,1980-11-23,El Salvador,Honduras,2-1
World Cup and CONCACAF Ch q,1980-11-26,Costa Rica,Guatemala,0-3
World Cup and CONCACAF Ch q,1980-11-29,Netherlands Antilles,Trinidad and Tobago,0-0
World Cup and CONCACAF Ch q,1980-11-30,Honduras,El Salvador,2-0
World Cup and CONCACAF Ch q,1980-11-30,Guyana,Cuba,0-3
World Cup and CONCACAF Ch q,1980-12-07,Guatemala,Honduras,0-1
World Cup and CONCACAF Ch q,1980-12-10,Costa Rica,El Salvador,0-0
World Cup and CONCACAF Ch q,1980-12-12,Netherlands Antilles,Haiti,1-1
World Cup and CONCACAF Ch q,1980-12-14,Honduras,Panama,5-0
World Cup and CONCACAF Ch q,1980-12-21,El Salvador,Guatemala,1-0
World Cup and CONCACAF Ch q,1984-06-15,Panama,Honduras,0-3
World Cup and CONCACAF Ch q,1984-06-24,Honduras,Panama,1-0
World Cup and CONCACAF Ch q,1984-07-29,El Salvador,Puerto Rico,5-0
World Cup and CONCACAF Ch q,1984-08-04,Haiti,Antigua and Barbuda,4-0
World Cup and CONCACAF Ch q,1984-08-05,Puerto Rico,El Salvador,0-3
World Cup and CONCACAF Ch q,1984-08-07,Haiti,Antigua and Barbuda,1-2
World Cup and CONCACAF Ch q,1984-08-15,Suriname,Guyana,1-0
World Cup and CONCACAF Ch q,1984-08-29,Guyana,Suriname,1-1
World Cup and CONCACAF Ch q,1984-09-29,Netherlands Antilles,United States,0-0
World Cup and CONCACAF Ch q,1984-10-06,United States,Netherlands Antilles,4-0
World Cup and CONCACAF Ch q,1988-04-17,Guyana,Trinidad and Tobago,0-4
World Cup and CONCACAF Ch q,1988-04-30,Cuba,Guatemala,0-1
World Cup and CONCACAF Ch q,1988-05-08,Trinidad and Tobago,Guyana,1-0
World Cup and CONCACAF Ch q,1988-05-12,Jamaica,Puerto Rico,1-0
World Cup and CONCACAF Ch q,1988-05-15,Guatemala,Cuba,1-1
World Cup and CONCACAF Ch q,1988-05-29,Puerto Rico,Jamaica,1-2
World Cup and CONCACAF Ch q,1988-06-19,Antigua and Barbuda,Netherlands Antilles,0-1
World Cup and CONCACAF Ch q,1988-07-17,Costa Rica,Panama,1-1
World Cup and CONCACAF Ch q,1988-07-24,Jamaica,United States,0-0
World Cup and CONCACAF Ch q,1988-07-29,Netherlands Antilles,Antigua and Barbuda,3-1
World Cup and CONCACAF Ch q,1988-07-31,Panama,Costa Rica,0-2
World Cup and CONCACAF Ch q,1988-08-13,United States,Jamaica,5-1
World Cup and CONCACAF Ch q,1988-10-01,Netherlands Antilles,El Salvador,0-1
World Cup and CONCACAF Ch q,1988-10-09,Guatemala,Canada,1-0
World Cup and CONCACAF Ch q,1988-10-15,Canada,Guatemala,3-2
World Cup and CONCACAF Ch q,1988-10-16,El Salvador,Netherlands Antilles,5-0
World Cup and CONCACAF Ch q,1988-10-30,Trinidad and Tobago,Honduras,0-0
World Cup and CONCACAF Ch q,1988-11-13,Honduras,Trinidad and Tobago,1-1
