Matchday,Date,Home,Away,FullTime
CONCACAF Ch & Car Cup q,1997-04-02,Barbados,Grenada,1-1
CONCACAF Ch & Car Cup q,1997-04-02,Dominica,British Virgin Islands,6-1
CONCACAF Ch & Car Cup q,1997-04-02,Sint Maarten,Anguilla,3-0
CONCACAF Ch & Car Cup q,1997-04-04,Grenada,Guyana,5-1
CONCACAF Ch & Car Cup q,1997-04-04,Dominica,Sint Maarten,1-0
CONCACAF Ch & Car Cup q,1997-04-04,British Virgin Islands,Anguilla,4-1
CONCACAF Ch & Car Cup q,1997-04-06,Barbados,Guyana,2-0
CONCACAF Ch & Car Cup q,1997-04-06,Dominica,Anguilla,5-0
CONCACAF Ch & Car Cup q,1997-04-06,Sint Maarten,British Virgin Islands,3-2
CONCACAF Ch & Car Cup q,1997-04-27,Dominica,Martinique,1-2
CONCACAF Ch & Car Cup q,1997-05-04,Aruba,Jamaica,0-6
CONCACAF Ch & Car Cup q,1997-05-04,Martinique,Dominica,7-0
CONCACAF Ch & Car Cup q,1998-03-03,Aruba,French Guiana,1-0
CONCACAF Ch & Car Cup q,1998-03-03,Netherlands Antilles,Suriname,3-3
CONCACAF Ch & Car Cup q,1998-03-05,Aruba,Netherlands Antilles,0-1
CONCACAF Ch & Car Cup q,1998-03-05,French Guiana,Suriname,2-2
CONCACAF Ch & Car Cup q,1998-03-07,Aruba,Suriname,3-3
CONCACAF Ch & Car Cup q,1998-03-07,Netherlands Antilles,French Guiana,2-1
CONCACAF Ch & Car Cup q,1998-03-11,Haiti,Puerto Rico,4-0
CONCACAF Ch & Car Cup q,1998-03-13,Dominican Republic,Puerto Rico,3-1
CONCACAF Ch & Car Cup q,1998-03-15,Haiti,Dominican Republic,5-0
CONCACAF Ch & Car Cup q,1998-03-18,Saint Lucia,Barbados,2-1
CONCACAF Ch & Car Cup q,1998-03-18,St Vincent & Grenadines,Martinique,4-1
CONCACAF Ch & Car Cup q,1998-03-20,Martinique,Barbados,4-1
CONCACAF Ch & Car Cup q,1998-03-20,Saint Lucia,St Vincent & Grenadines,3-2
CONCACAF Ch & Car Cup q,1998-03-22,Barbados,St Vincent & Grenadines,4-3
CONCACAF Ch & Car Cup q,1998-03-22,Saint Lucia,Martinique,1-2
CONCACAF Ch & Car Cup q,1998-04-01,Dominica,Guadeloupe,1-1
CONCACAF Ch & Car Cup q,1998-04-01,Saint Kitts and Nevis,British Virgin Islands,4-0
CONCACAF Ch & Car Cup q,1998-04-03,Saint Kitts and Nevis,Dominica,1-2
CONCACAF Ch & Car Cup q,1998-04-03,Guadeloupe,British Virgin Islands,3-0
CONCACAF Ch & Car Cup q,1998-04-05,Dominica,British Virgin Islands,4-1
CONCACAF Ch & Car Cup q,1998-04-05,Saint Kitts and Nevis,Guadeloupe,2-1
CONCACAF Ch & Car Cup q,1998-04-15,Antigua and Barbuda,Guyana,2-2
CONCACAF Ch & Car Cup q,1998-04-15,Grenada,Anguilla,14-1
CONCACAF Ch & Car Cup q,1998-04-17,Grenada,Guyana,2-1
CONCACAF Ch & Car Cup q,1998-04-17,Antigua and Barbuda,Anguilla,7-0
CONCACAF Ch & Car Cup q,1998-04-19,Guyana,Anguilla,14-0
CONCACAF Ch & Car Cup q,1998-04-19,Antigua and Barbuda,Grenada,2-1
CONCACAF Ch & Car Cup q,1998-05-06,Cayman Islands,Cuba,2-2
CONCACAF Ch & Car Cup q,1998-05-08,Cuba,Bermuda,2-1
CONCACAF Ch & Car Cup q,1998-05-10,Cayman Islands,Bermuda,2-0
CONCACAF Ch & Car Cup q,1999-02-03,Martinique,French Guiana,3-1
CONCACAF Ch & Car Cup q,1999-02-05,British Virgin Islands,Montserrat,3-1
CONCACAF Ch & Car Cup q,1999-02-07,British Virgin Islands,Montserrat,3-0
CONCACAF Ch & Car Cup q,1999-02-24,Bahamas,Turks and Caicos Islands,3-0
CONCACAF Ch & Car Cup q,1999-02-26,Turks and Caicos Islands,US Virgin Islands,2-2
CONCACAF Ch & Car Cup q,1999-02-28,Guyana,Barbados,2-2
CONCACAF Ch & Car Cup q,1999-02-28,Bahamas,US Virgin Islands,0-0
CONCACAF Ch & Car Cup q,1999-03-06,Barbados,Guyana,2-0
CONCACAF Ch & Car Cup q,1999-03-10,Barbados,Antigua and Barbuda,2-0
CONCACAF Ch & Car Cup q,1999-03-10,Guadeloupe,Dominica,1-0
CONCACAF Ch & Car Cup q,1999-03-12,Barbados,Dominica,3-1
CONCACAF Ch & Car Cup q,1999-03-12,Guadeloupe,Antigua and Barbuda,2-1
CONCACAF Ch & Car Cup q,1999-03-14,Guadeloupe,Barbados,1-0
CONCACAF Ch & Car Cup q,1999-03-14,Antigua and Barbuda,Dominica,1-1
CONCACAF Ch & Car Cup q,1999-03-17,Haiti,Puerto Rico,2-0
CONCACAF Ch & Car Cup q,1999-03-17,British Virgin Islands,Dominican Republic,0-0
CONCACAF Ch & Car Cup q,1999-03-19,Haiti,Dominican Republic,4-0
CONCACAF Ch & Car Cup q,1999-03-19,British Virgin Islands,Puerto Rico,5-0
CONCACAF Ch & Car Cup q,1999-03-21,Haiti,British Virgin Islands,6-0
CONCACAF Ch & Car Cup q,1999-03-21,Dominican Republic,Puerto Rico,2-0
CONCACAF Ch & Car Cup q,1999-04-17,Saint Lucia,Martinique,3-1
CONCACAF Ch & Car Cup q,1999-04-17,St Vincent & Grenadines,Saint Kitts and Nevis,3-4
CONCACAF Ch & Car Cup q,1999-04-18,Martinique,Saint Kitts and Nevis,2-1
CONCACAF Ch & Car Cup q,1999-04-18,St Vincent & Grenadines,Saint Lucia,2-2
CONCACAF Ch & Car Cup q,1999-04-20,Saint Kitts and Nevis,Saint Lucia,4-3
CONCACAF Ch & Car Cup q,1999-04-21,St Vincent & Grenadines,Martinique,2-1
CONCACAF Ch & Car Cup q,1999-05-04,Netherlands Antilles,Grenada,1-3
CONCACAF Ch & Car Cup q,1999-05-05,Cuba,Cayman Islands,4-1
CONCACAF Ch & Car Cup q,1999-05-05,Bermuda,Bahamas,6-0
CONCACAF Ch & Car Cup q,1999-05-06,Grenada,Suriname,0-0
CONCACAF Ch & Car Cup q,1999-05-07,Cuba,Bahamas,7-0
CONCACAF Ch & Car Cup q,1999-05-07,Bermuda,Cayman Islands,4-1
CONCACAF Ch & Car Cup q,1999-05-08,Netherlands Antilles,Suriname,1-1
CONCACAF Ch & Car Cup q,1999-05-09,Bermuda,Cuba,1-2
CONCACAF Ch & Car Cup q,1999-05-09,Cayman Islands,Bahamas,4-1
CONCACAF Ch & Car Cup q,2001-02-03,Puerto Rico,British Virgin Islands,1-2
CONCACAF Ch & Car Cup q,2001-02-06,Saint Martin,Montserrat,3-1
CONCACAF Ch & Car Cup q,2001-02-08,Anguilla,Montserrat,4-1
CONCACAF Ch & Car Cup q,2001-02-10,Saint Martin,Anguilla,3-1
CONCACAF Ch & Car Cup q,2001-02-11,British Virgin Islands,Puerto Rico,0-0
CONCACAF Ch & Car Cup q,2001-03-01,Saint Kitts and Nevis,Dominican Republic,2-1
CONCACAF Ch & Car Cup q,2001-03-03,Antigua and Barbuda,Dominican Republic,2-3
CONCACAF Ch & Car Cup q,2001-03-04,Antigua and Barbuda,Saint Kitts and Nevis,2-2
CONCACAF Ch & Car Cup q,2001-04-04,Suriname,Aruba,5-0
CONCACAF Ch & Car Cup q,2001-04-04,Guyana,Saint Martin,2-0
CONCACAF Ch & Car Cup q,2001-04-04,Barbados,Grenada,2-1
CONCACAF Ch & Car Cup q,2001-04-04,Martinique,St Vincent & Grenadines,3-0
CONCACAF Ch & Car Cup q,2001-04-04,Cuba,Dominica,3-1
CONCACAF Ch & Car Cup q,2001-04-04,British Virgin Islands,Cayman Islands,2-2
CONCACAF Ch & Car Cup q,2001-04-06,Grenada,Aruba,4-2
CONCACAF Ch & Car Cup q,2001-04-06,Guyana,Dominica,2-0
