Matchday,Date,Home,Away,FullTime
CONCACAF Champ qual,2017-03-28,Nicaragua,Haiti,3-0
CONCACAF Champ qual,2021-07-02,Haiti,St Vincent & Grenadines,6-1
CONCACAF Champ qual,2021-07-02,Trinidad and Tobago,Montserrat,6-1
CONCACAF Champ qual,2021-07-02,Bermuda,Barbados,8-1
CONCACAF Champ qual,2021-07-03,Guatemala,Guyana,4-0
CONCACAF Champ qual,2021-07-03,Guadeloupe,Bahamas,2-0
CONCACAF Champ qual,2021-07-06,Guadeloupe,Guatemala,1-1
CONCACAF Champ qual,2021-07-06,Haiti,Bermuda,4-1
CONCACAF Champ qual,2021-07-06,French Guiana,Trinidad and Tobago,1-1
CONCACAF Champ qual,2023-06-16,Curaçao,Saint Kitts and Nevis,1-1
CONCACAF Champ qual,2023-06-16,Martinique,Saint Lucia,3-1
CONCACAF Champ qual,2023-06-16,Guadeloupe,Antigua and Barbuda,5-0
CONCACAF Champ qual,2023-06-17,Grenada,Guyana,1-1
CONCACAF Champ qual,2023-06-17,Puerto Rico,Suriname,0-0
CONCACAF Champ qual,2023-06-17,French Guiana,Sint Maarten,4-1
CONCACAF Champ qual,2023-06-20,Guadeloupe,Guyana,2-0
CONCACAF Champ qual,2023-06-20,Martinique,Puerto Rico,2-0
CONCACAF Champ qual,2023-06-20,French Guiana,Saint Kitts and Nevis,1-1
