Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Fri,2018-04-13,Fortaleza,Guarani SP,2-1,0-0
1,Fri,2018-04-13,Oeste SP,CRB,2-0,1-0
1,Fri,2018-04-13,Atlético-GO,Criciúma,3-2,1-1
1,Fri,2018-04-13,Figueirense SC,Juventude-RS,2-1,2-0
1,Sat,2018-04-14,Brasil de Pelotas RS,São Bento SP,1-1,1-1
1,Sat,2018-04-14,Vila Nova,Avaí,1-0,0-0
1,Sat,2018-04-14,CSA AL,Goiás,2-1,0-0
1,Sat,2018-04-14,Londrina PR,Boa Esporte MG,1-0,0-0
1,Sat,2018-04-14,Sampaio Corrêa MA,Coritiba,2-0,1-0
1,Sat,2018-04-14,Ponte Preta,Paysandu,0-1,0-1
2,Tue,2018-04-17,Boa Esporte MG,Fortaleza,0-2,0-0
2,Tue,2018-04-17,Coritiba,Atlético-GO,1-0,0-0
2,Fri,2018-04-20,Juventude-RS,Oeste SP,1-1,1-0
2,Fri,2018-04-20,São Bento SP,CSA AL,2-1,0-1
2,Fri,2018-04-20,Paysandu,Londrina PR,1-0,1-0
2,Sat,2018-04-21,Guarani SP,Sampaio Corrêa MA,2-0,1-0
2,Sat,2018-04-21,Avaí,Brasil de Pelotas RS,2-2,1-1
2,Sat,2018-04-21,Goiás,Figueirense SC,0-2,0-1
2,Sat,2018-04-21,CRB,Vila Nova,0-1,0-1
2,Sat,2018-04-21,Criciúma,Ponte Preta,0-1,0-1
3,Tue,2018-04-24,Atlético-GO,Guarani SP,3-2,2-0
3,Tue,2018-04-24,Fortaleza,CRB,3-1,1-0
3,Fri,2018-04-27,Figueirense SC,Boa Esporte MG,2-0,1-0
3,Fri,2018-04-27,CSA AL,Oeste SP,5-1,3-1
3,Fri,2018-04-27,Coritiba,Criciúma,2-1,1-1
3,Sat,2018-04-28,Juventude-RS,Avaí,1-3,1-1
3,Sat,2018-04-28,Vila Nova,Sampaio Corrêa MA,3-1,1-1
3,Sat,2018-04-28,Paysandu,Brasil de Pelotas RS,2-1,2-1
3,Sat,2018-04-28,Ponte Preta,Londrina PR,0-1,0-0
3,Sat,2018-04-28,São Bento SP,Goiás,1-1,0-1
4,Tue,2018-05-01,Criciúma,CSA AL,1-3,0-1
