Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Fri,2022-04-08,Brusque SC,Guarani SP,1-0,0-0
1,Fri,2022-04-08,Vasco da Gama,Vila Nova,1-1,1-1
1,Fri,2022-04-08,Bahia,Cruzeiro,2-0,0-0
1,Sat,2022-04-09,Chapecoense,Ituano SP,1-1,0-0
1,Sat,2022-04-09,Ponte Preta,Grêmio,0-0,
1,Sat,2022-04-09,Sport Recife,Sampaio Corrêa MA,1-0,0-0
1,Sat,2022-04-09,Tombense MG,Operário-PR,1-1,0-0
1,Sun,2022-04-10,Londrina PR,Náutico PE,2-0,2-0
1,Wed,2022-05-04,Grêmio Novorizontino,CRB,3-1,1-1
1,Wed,2022-05-04,CSA AL,Criciúma,1-1,0-0
2,Tue,2022-04-12,Vila Nova,Grêmio Novorizontino,0-0,
2,Tue,2022-04-12,Cruzeiro,Brusque SC,1-0,0-0
2,Thu,2022-04-14,Criciúma,Londrina PR,1-0,1-0
2,Fri,2022-04-15,Grêmio,Chapecoense,0-1,0-0
2,Fri,2022-04-15,Náutico PE,Bahia,0-1,0-1
2,Sat,2022-04-16,Operário-PR,Ponte Preta,2-0,1-0
2,Sat,2022-04-16,Ituano SP,CSA AL,0-0,
2,Sat,2022-04-16,Sampaio Corrêa MA,Tombense MG,1-1,1-1
2,Sat,2022-04-16,Guarani SP,Sport Recife,0-0,
2,Sat,2022-04-16,CRB,Vasco da Gama,1-1,1-1
3,Thu,2022-04-21,Grêmio,Guarani SP,3-1,2-1
3,Thu,2022-04-21,Londrina PR,Grêmio Novorizontino,1-1,1-1
3,Fri,2022-04-22,CSA AL,Bahia,1-1,1-1
3,Fri,2022-04-22,Chapecoense,Vasco da Gama,0-0,
3,Sat,2022-04-23,Criciúma,Sport Recife,1-1,1-0
3,Sat,2022-04-23,Ponte Preta,CRB,1-0,1-0
3,Sat,2022-04-23,Sampaio Corrêa MA,Brusque SC,3-1,1-0
3,Sat,2022-04-23,Ituano SP,Vila Nova,3-1,2-0
3,Sat,2022-04-23,Tombense MG,Cruzeiro,1-1,0-0
3,Sun,2022-04-24,Náutico PE,Operário-PR,2-0,1-0
4,Tue,2022-04-26,Grêmio Novorizontino,Chapecoense,0-3,0-2
4,Tue,2022-04-26,Sport Recife,Ituano SP,1-0,0-0
4,Tue,2022-04-26,Brusque SC,CSA AL,2-0,0-0
4,Tue,2022-04-26,Vila Nova,Tombense MG,1-1,1-0
4,Tue,2022-04-26,Bahia,Sampaio Corrêa MA,1-0,1-0
4,Tue,2022-04-26,Cruzeiro,Londrina PR,1-0,0-0
4,Wed,2022-04-27,CRB,Náutico PE,1-2,0-0
4,Wed,2022-04-27,Operário-PR,Grêmio,0-1,0-0
4,Wed,2022-04-27,Guarani SP,Criciúma,1-0,0-0
4,Wed,2022-04-27,Vasco da Gama,Ponte Preta,1-0,1-0
5,Fri,2022-04-29,Londrina PR,Vila Nova,2-2,1-0
5,Fri,2022-04-29,Ituano SP,Bahia,1-0,1-0
5,Sat,2022-04-30,CSA AL,Sport Recife,1-0,0-0
5,Sat,2022-04-30,Grêmio,CRB,2-0,2-0
5,Sat,2022-04-30,Sampaio Corrêa MA,Operário-PR,1-1,0-1
5,Sat,2022-04-30,Chapecoense,Cruzeiro,0-2,0-0
5,Sat,2022-04-30,Ponte Preta,Brusque SC,2-0,1-0
5,Sun,2022-05-01,Criciúma,Grêmio Novorizontino,1-1,0-0
5,Sun,2022-05-01,Tombense MG,Vasco da Gama,1-1,1-0
5,Tue,2022-05-03,Náutico PE,Guarani SP,1-1,0-1
6,Tue,2022-05-03,Bahia,Londrina PR,4-0,3-0
6,Thu,2022-05-05,Brusque SC,Chapecoense,0-0,
6,Fri,2022-05-06,Vila Nova,Náutico PE,2-0,2-0
6,Fri,2022-05-06,Sport Recife,Tombense MG,2-0,0-0
6,Sat,2022-05-07,Operário-PR,Criciúma,2-0,2-0
6,Sat,2022-05-07,Grêmio Novorizontino,Ituano SP,2-1,1-1
6,Sat,2022-05-07,Vasco da Gama,CSA AL,1-0,0-0
6,Sun,2022-05-08,Cruzeiro,Grêmio,1-0,1-0
6,Sun,2022-05-08,Guarani SP,Ponte Preta,0-0,
6,Mon,2022-05-09,CRB,Sampaio Corrêa MA,2-1,2-0
7,Fri,2022-05-13,Ponte Preta,Grêmio Novorizontino,0-1,0-0
7,Fri,2022-05-13,Chapecoense,Sport Recife,0-1,0-1
7,Sat,2022-05-14,Criciúma,CRB,3-0,1-0
7,Sat,2022-05-14,Londrina PR,Brusque SC,2-1,1-0
7,Sat,2022-05-14,Tombense MG,Guarani SP,1-1,1-1
7,Sat,2022-05-14,Sampaio Corrêa MA,Vila Nova,2-0,1-0
7,Sat,2022-05-14,CSA AL,Operário-PR,0-0,
7,Sun,2022-05-15,Náutico PE,Cruzeiro,0-1,0-1
7,Sun,2022-05-15,Vasco da Gama,Bahia,1-0,1-0
7,Mon,2022-05-16,Ituano SP,Grêmio,1-1,0-0
8,Tue,2022-05-17,Grêmio Novorizontino,Sport Recife,0-0,
