Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Fri,2021-05-28,Brasil de Pelotas RS,Londrina PR,0-0,
1,Fri,2021-05-28,Guarani SP,Vitória,1-1,1-1
1,Fri,2021-05-28,Náutico PE,CSA AL,1-0,1-0
1,Fri,2021-05-28,Vila Nova,Botafogo-RJ,1-1,0-0
1,Sat,2021-05-29,Vasco da Gama,Operário-PR,0-2,0-2
1,Sat,2021-05-29,CRB,Remo,2-2,1-2
1,Sat,2021-05-29,Confiança SE,Cruzeiro,3-1,1-0
1,Sat,2021-05-29,Coritiba,Avaí,2-0,1-0
1,Sun,2021-05-30,Brusque SC,Ponte Preta,2-1,1-0
1,Mon,2021-05-31,Sampaio Corrêa MA,Goiás,0-0,
2,Tue,2021-06-01,Operário-PR,Guarani SP,2-5,1-3
2,Fri,2021-06-04,Goiás,Confiança SE,2-0,1-0
2,Sat,2021-06-05,Londrina PR,Brusque SC,0-1,0-1
2,Sat,2021-06-05,CSA AL,Sampaio Corrêa MA,0-0,
2,Sat,2021-06-05,Remo,Brasil de Pelotas RS,1-0,1-0
2,Sat,2021-06-05,Botafogo-RJ,Coritiba,2-0,0-0
2,Sun,2021-06-06,Ponte Preta,Vasco da Gama,1-1,0-0
2,Sun,2021-06-06,Cruzeiro,CRB,3-4,1-2
2,Sun,2021-06-06,Avaí,Vila Nova,1-1,0-0
2,Mon,2021-06-07,Vitória,Náutico PE,0-1,0-0
3,Fri,2021-06-11,Sampaio Corrêa MA,Ponte Preta,1-0,0-0
3,Fri,2021-06-11,Guarani SP,Náutico PE,1-3,0-0
3,Sat,2021-06-12,CRB,Confiança SE,3-2,2-2
3,Sat,2021-06-12,Brasil de Pelotas RS,Vasco da Gama,1-2,1-0
3,Sat,2021-06-12,Vila Nova,CSA AL,1-0,1-0
3,Sat,2021-06-12,Cruzeiro,Goiás,1-1,0-1
3,Sun,2021-06-13,Avaí,Brusque SC,1-2,0-0
3,Sun,2021-06-13,Botafogo-RJ,Remo,3-0,1-0
3,Sun,2021-06-13,Coritiba,Londrina PR,1-1,1-0
3,Sun,2021-06-13,Vitória,Operário-PR,0-0,
4,Tue,2021-06-15,CSA AL,Guarani SP,1-1,0-0
4,Tue,2021-06-15,Náutico PE,Vila Nova,2-0,1-0
4,Tue,2021-06-15,Confiança SE,Brasil de Pelotas RS,1-1,1-1
4,Tue,2021-06-15,Goiás,CRB,1-0,1-0
4,Wed,2021-06-16,Remo,Vitória,0-0,
4,Wed,2021-06-16,Operário-PR,Sampaio Corrêa MA,1-0,0-0
4,Wed,2021-06-16,Vasco da Gama,Avaí,0-2,0-2
4,Wed,2021-06-16,Ponte Preta,Cruzeiro,0-1,0-0
4,Thu,2021-06-17,Londrina PR,Botafogo-RJ,2-2,0-1
4,Tue,2021-08-03,Brusque SC,Coritiba,0-0,
5,Fri,2021-06-18,Brasil de Pelotas RS,Goiás,2-1,1-1
5,Sat,2021-06-19,Vasco da Gama,CRB,3-0,1-0
5,Sat,2021-06-19,Guarani SP,Ponte Preta,1-0,1-0
5,Sat,2021-06-19,Operário-PR,Cruzeiro,2-1,1-1
5,Sat,2021-06-19,Vitória,Brusque SC,3-1,0-1
5,Sat,2021-06-19,Sampaio Corrêa MA,Confiança SE,3-1,0-1
5,Sat,2021-06-19,Vila Nova,Coritiba,0-1,0-0
5,Sun,2021-06-20,Náutico PE,Botafogo-RJ,3-1,1-0
5,Sun,2021-06-20,CSA AL,Londrina PR,1-0,1-0
5,Wed,2021-07-28,Avaí,Remo,1-0,0-0
6,Tue,2021-06-22,Brusque SC,Sampaio Corrêa MA,0-0,
6,Tue,2021-06-22,Confiança SE,Vila Nova,1-0,1-0
6,Tue,2021-06-22,Goiás,Avaí,3-0,2-0
6,Tue,2021-06-22,Ponte Preta,Operário-PR,0-0,
6,Tue,2021-06-22,Coritiba,Vitória,1-0,1-0
6,Tue,2021-06-22,CRB,Brasil de Pelotas RS,2-1,1-0
6,Tue,2021-06-22,Remo,Guarani SP,0-0,
6,Wed,2021-06-23,Londrina PR,Náutico PE,0-0,
6,Thu,2021-06-24,Cruzeiro,Vasco da Gama,2-1,2-1
6,Tue,2021-07-27,Botafogo-RJ,CSA AL,2-0,1-0
7,Fri,2021-06-25,Avaí,CRB,1-0,1-0
7,Fri,2021-06-25,Brasil de Pelotas RS,Ponte Preta,1-1,0-0
7,Fri,2021-06-25,Guarani SP,Coritiba,0-2,0-1
7,Fri,2021-06-25,Operário-PR,Confiança SE,0-0,
7,Fri,2021-06-25,Vila Nova,Goiás,0-0,
7,Sat,2021-06-26,Sampaio Corrêa MA,Botafogo-RJ,2-0,1-0
7,Sat,2021-06-26,Vitória,Londrina PR,1-2,1-0
