Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Fri,2019-04-26,Operário-PR,América-MG,1-0,0-0
1,Fri,2019-04-26,Brasil de Pelotas RS,Bragantino,0-1,0-1
1,Fri,2019-04-26,São Bento SP,Atlético-GO,1-3,0-1
1,Fri,2019-04-26,Sport Recife,Oeste SP,1-1,0-0
1,Sat,2019-04-27,Botafogo-SP,Vitória,3-1,0-0
1,Sat,2019-04-27,Guarani SP,Figueirense SC,0-0,
1,Sat,2019-04-27,Criciúma,Cuiabá,0-1,0-0
1,Sat,2019-04-27,Vila Nova,Paraná Clube,1-1,1-0
1,Sun,2019-04-28,CRB,Londrina PR,1-2,1-2
1,Mon,2019-04-29,Coritiba,Ponte Preta,2-0,2-0
2,Tue,2019-04-30,América-MG,Botafogo-SP,0-1,0-0
2,Wed,2019-05-01,Oeste SP,Guarani SP,2-0,1-0
2,Thu,2019-05-02,Ponte Preta,Criciúma,1-1,1-0
2,Fri,2019-05-03,Londrina PR,Brasil de Pelotas RS,1-0,1-0
2,Fri,2019-05-03,Atlético-GO,Coritiba,1-1,1-1
2,Sat,2019-05-04,Figueirense SC,São Bento SP,2-2,0-1
2,Sat,2019-05-04,Vitória,Vila Nova,2-1,1-1
2,Sat,2019-05-04,Paraná Clube,CRB,1-0,1-0
2,Sat,2019-05-04,Cuiabá,Operário-PR,2-1,2-1
2,Mon,2019-05-06,Bragantino,Sport Recife,1-1,1-1
3,Thu,2019-05-09,São Bento SP,Botafogo-SP,0-1,0-0
3,Thu,2019-05-09,Coritiba,Londrina PR,0-0,
3,Fri,2019-05-10,Bragantino,Atlético-GO,3-0,1-0
3,Fri,2019-05-10,Vila Nova,Ponte Preta,0-0,
3,Sat,2019-05-11,Criciúma,América-MG,0-0,
3,Sat,2019-05-11,Sport Recife,Figueirense SC,0-0,
3,Sat,2019-05-11,Operário-PR,Oeste SP,0-0,
3,Sat,2019-05-11,Brasil de Pelotas RS,CRB,0-2,0-1
3,Sat,2019-05-11,Cuiabá,Paraná Clube,1-1,0-1
