Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Fri,2020-08-07,Cuiabá,Brasil de Pelotas RS,0-0,
1,Fri,2020-08-07,Confiança SE,Paraná Clube,2-2,0-1
1,Sat,2020-08-08,Juventude-RS,CRB,2-1,1-1
1,Sat,2020-08-08,Operário-PR,Figueirense SC,3-1,1-0
1,Sat,2020-08-08,Cruzeiro,Botafogo-SP,2-1,0-0
1,Sat,2020-08-08,Avaí,Náutico PE,3-1,2-0
1,Sat,2020-08-08,Vitória,Sampaio Corrêa MA,1-0,1-0
1,Sat,2020-08-08,CSA AL,Guarani SP,1-0,1-0
1,Sat,2020-08-08,Ponte Preta,América-MG,0-1,0-1
1,Sun,2020-08-09,Oeste SP,Chapecoense,0-0,
2,Tue,2020-08-11,Botafogo-SP,Confiança SE,2-0,1-0
2,Tue,2020-08-11,Brasil de Pelotas RS,Ponte Preta,1-1,0-0
2,Tue,2020-08-11,Sampaio Corrêa MA,Juventude-RS,0-1,0-0
2,Tue,2020-08-11,Guarani SP,Cruzeiro,2-3,1-2
2,Tue,2020-08-11,Paraná Clube,Avaí,1-0,0-0
2,Tue,2020-08-11,América-MG,Cuiabá,0-1,0-0
2,Tue,2020-08-11,Figueirense SC,Vitória,0-0,
2,Tue,2020-08-11,Náutico PE,Operário-PR,0-0,
2,Wed,2020-08-12,CRB,Oeste SP,1-0,0-0
2,Tue,2020-10-27,Chapecoense,CSA AL,0-0,
3,Fri,2020-08-14,América-MG,Operário-PR,1-1,1-0
3,Fri,2020-08-14,Ponte Preta,Vitória,3-3,2-2
3,Fri,2020-08-14,Paraná Clube,Juventude-RS,3-1,2-1
3,Sat,2020-08-15,Botafogo-SP,Guarani SP,0-1,0-1
3,Sat,2020-08-15,Brasil de Pelotas RS,Oeste SP,1-1,0-0
3,Sat,2020-08-15,Náutico PE,CRB,1-1,1-0
3,Sun,2020-08-16,Chapecoense,Sampaio Corrêa MA,1-0,1-0
3,Sun,2020-08-16,Figueirense SC,Cruzeiro,0-1,0-1
3,Tue,2020-09-15,Confiança SE,Avaí,2-2,0-1
3,Wed,2020-09-16,CSA AL,Cuiabá,1-2,1-1
4,Mon,2020-08-17,Juventude-RS,América-MG,0-0,
