competition_folder,rows_read,rows_with_odds,rows_with_result,house_correct,mean_odd_home,mean_odd_draw,mean_odd_away,mean_odd_universe,mean_odd_favorite,mean_imp_prob_home_raw,mean_imp_prob_draw_raw,mean_imp_prob_away_raw,mean_imp_prob_universe_raw,mean_prob_home_norm,mean_prob_draw_norm,mean_prob_away_norm,mean_overround,house_accuracy
__ALL__,89960,27000,27000,14502,2.814588888888904,4.131635185185189,4.890110370370376,3.9454448148148114,1.9543051851851792,0.4593257789720303,0.26011367532013047,0.3062965035859215,0.34191198595934674,0.4476812367841012,0.25362612488080233,0.2986926383350956,0.025735957878039024,0.5371111111111111
brasileirao-serie-a,5339,3755,3755,1936,2.3531504660452733,3.6117336884154474,4.69443941411451,3.553107856191755,2.022146471371509,0.48116934155006014,0.2844570762321154,0.26735331610510515,0.3443265779624283,0.46570238625998805,0.275424648184431,0.2588729655555812,0.0329797338872837,0.5155792276964047
bundesliga,7702,4126,4126,2158,2.877004362578775,4.407954435288423,4.736815317498793,4.007258038455321,1.9405889481337826,0.45809052483445717,0.24466695245140488,0.3218191945567525,0.3415255572808731,0.44698827851528167,0.23888601243609886,0.31412570904862075,0.02457667184261938,0.5230247212796898
laliga,7819,5127,5127,2806,2.8588745855275954,4.283192900331597,5.346943631753465,4.163003705870876,1.9428398673688319,0.4662823667326343,0.25971158172675946,0.2984827569792138,0.34149223514620436,0.4550445197554827,0.253535740854452,0.29141973939006593,0.024476705438611312,0.547298615174566
ligue1,4111,4084,4084,2125,2.7730803134182236,3.9877056807051883,4.621209598432909,3.7939985308521003,2.0083398628795286,0.45077609888132014,0.26748704817225843,0.30668400003325513,0.34164904902894677,0.4397071912758635,0.26106310999935506,0.29922969872478145,0.02494714708683938,0.5203232125367288
premier-league,9740,5150,5150,2844,2.9682388349514643,4.3127864077669935,4.938190291262133,4.073071844660199,1.9064970873786473,0.4539498169230897,0.2492027880936862,0.3208617861013217,0.3413381303726998,0.44319437886849794,0.24344577035991058,0.313359850771593,0.024014391118103162,0.5522330097087379
serie-a-tim,4790,4758,4758,2633,2.9462295081967276,4.066477511559471,4.863972257250944,3.9588930923357104,1.9303804119377943,0.4488194220331069,0.26021108105206375,0.31589137211301954,0.3416406250660652,0.43782657050875884,0.2539379841500922,0.30823544534114994,0.02492187519819472,0.5533837746952501
