Matchday,Date,Home,Away,FullTime,HalfTime
1,2000-08-18,SV Werder Bremen,FC Bayern München,0-4,0-1
1,2000-08-19,Bayer 04 Leverkusen,RB Leipzig,3-2,2-1
1,2000-08-19,VfL Wolfsburg,1. FC Heidenheim 1846,2-0,2-0
1,2000-08-19,TSG 1899 Hoffenheim,SC Freiburg,1-2,0-2
1,2000-08-19,FC Augsburg,Borussia Mönchengladbach,4-4,3-3
1,2000-08-19,VfB Stuttgart,VfL Bochum 1848,5-0,2-0
1,2000-08-19,Borussia Dortmund,1. FC Köln,1-0,0-0
1,2000-08-20,1. FC Union Berlin,1. FSV Mainz 05,4-1,2-0
1,2000-08-20,Eintracht Frankfurt,SV Darmstadt 98,1-0,1-0
2,2000-08-25,RB Leipzig,VfB Stuttgart,5-1,0-1
2,2000-08-26,SC Freiburg,SV Werder Bremen,1-0,0-0
2,2000-08-26,1. FC Köln,VfL Wolfsburg,1-2,0-0
2,2000-08-26,VfL Bochum 1848,Borussia Dortmund,1-1,1-0
2,2000-08-26,1. FC Heidenheim 1846,TSG 1899 Hoffenheim,2-3,1-0
2,2000-08-26,SV Darmstadt 98,1. FC Union Berlin,1-4,1-3
2,2000-08-26,Borussia Mönchengladbach,Bayer 04 Leverkusen,0-3,0-2
2,2000-08-27,1. FSV Mainz 05,Eintracht Frankfurt,1-1,1-0
2,2000-08-27,FC Bayern München,FC Augsburg,3-1,2-0
3,2000-09-01,Borussia Dortmund,1. FC Heidenheim 1846,2-2,2-0
3,2000-09-02,Bayer 04 Leverkusen,SV Darmstadt 98,5-1,1-1
3,2000-09-02,TSG 1899 Hoffenheim,VfL Wolfsburg,3-1,1-1
3,2000-09-02,SV Werder Bremen,1. FSV Mainz 05,4-0,1-0
3,2000-09-02,FC Augsburg,VfL Bochum 1848,2-2,1-1
3,2000-09-02,VfB Stuttgart,SC Freiburg,5-0,3-0
3,2000-09-02,Borussia Mönchengladbach,FC Bayern München,1-2,1-0
3,2000-09-03,Eintracht Frankfurt,1. FC Köln,1-1,0-1
3,2000-09-03,1. FC Union Berlin,RB Leipzig,0-3,0-0
4,2000-09-15,FC Bayern München,Bayer 04 Leverkusen,2-2,1-1
4,2000-09-16,RB Leipzig,FC Augsburg,3-0,3-0
4,2000-09-16,SC Freiburg,Borussia Dortmund,2-4,2-1
4,2000-09-16,VfL Wolfsburg,1. FC Union Berlin,2-1,2-1
4,2000-09-16,1. FSV Mainz 05,VfB Stuttgart,1-3,0-0
4,2000-09-16,1. FC Köln,TSG 1899 Hoffenheim,1-3,0-2
4,2000-09-16,VfL Bochum 1848,Eintracht Frankfurt,1-1,0-0
4,2000-09-17,1. FC Heidenheim 1846,SV Werder Bremen,4-2,2-0
4,2000-09-17,SV Darmstadt 98,Borussia Mönchengladbach,3-3,3-0
5,2000-09-22,VfB Stuttgart,SV Darmstadt 98,3-1,2-1
5,2000-09-23,FC Bayern München,VfL Bochum 1848,7-0,4-0
5,2000-09-23,Borussia Dortmund,VfL Wolfsburg,1-0,0-0
5,2000-09-23,1. FC Union Berlin,TSG 1899 Hoffenheim,0-2,0-2
5,2000-09-23,Borussia Mönchengladbach,RB Leipzig,0-1,0-0
5,2000-09-23,FC Augsburg,1. FSV Mainz 05,2-1,2-1
5,2000-09-23,SV Werder Bremen,1. FC Köln,2-1,1-1
