Matchday,Date,Home,Away,FullTime,HalfTime
1,2000-08-05,Eintracht Frankfurt,FC Bayern München,1-6,0-5
1,2000-08-06,FC Augsburg,SC Freiburg,0-4,0-0
1,2000-08-06,VfL Bochum 1848,1. FSV Mainz 05,1-2,1-1
1,2000-08-06,VfL Wolfsburg,SV Werder Bremen,2-2,1-2
1,2000-08-06,Borussia Mönchengladbach,TSG 1899 Hoffenheim,3-1,1-1
1,2000-08-06,1. FC Union Berlin,Hertha BSC,3-1,1-0
1,2000-08-06,Borussia Dortmund,Bayer 04 Leverkusen,1-0,1-0
1,2000-08-07,VfB Stuttgart,RB Leipzig,1-1,1-1
1,2000-08-07,1. FC Köln,FC Schalke 04,3-1,0-0
2,2000-08-12,SC Freiburg,Borussia Dortmund,1-3,1-0
2,2000-08-13,SV Werder Bremen,VfB Stuttgart,2-2,1-1
2,2000-08-13,Hertha BSC,Eintracht Frankfurt,1-1,1-0
2,2000-08-13,TSG 1899 Hoffenheim,VfL Bochum 1848,3-2,2-2
2,2000-08-13,RB Leipzig,1. FC Köln,2-2,1-1
2,2000-08-13,Bayer 04 Leverkusen,FC Augsburg,1-2,1-1
2,2000-08-13,FC Schalke 04,Borussia Mönchengladbach,2-2,1-0
2,2000-08-14,1. FSV Mainz 05,1. FC Union Berlin,0-0,
2,2000-08-14,FC Bayern München,VfL Wolfsburg,2-0,2-0
3,2000-08-19,Borussia Mönchengladbach,Hertha BSC,1-0,1-0
3,2000-08-20,VfB Stuttgart,SC Freiburg,0-1,0-1
3,2000-08-20,FC Augsburg,1. FSV Mainz 05,1-2,1-1
3,2000-08-20,VfL Wolfsburg,FC Schalke 04,0-0,
3,2000-08-20,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,0-3,0-2
3,2000-08-20,Borussia Dortmund,SV Werder Bremen,2-3,1-0
3,2000-08-20,1. FC Union Berlin,RB Leipzig,2-1,2-0
3,2000-08-21,Eintracht Frankfurt,1. FC Köln,1-1,0-0
3,2000-08-21,VfL Bochum 1848,FC Bayern München,0-7,0-4
4,2000-08-26,SC Freiburg,VfL Bochum 1848,1-0,0-0
4,2000-08-27,FC Schalke 04,1. FC Union Berlin,1-6,1-3
4,2000-08-27,Hertha BSC,Borussia Dortmund,0-1,0-1
4,2000-08-27,TSG 1899 Hoffenheim,FC Augsburg,1-0,1-0
4,2000-08-27,1. FSV Mainz 05,Bayer 04 Leverkusen,0-3,0-3
4,2000-08-27,RB Leipzig,VfL Wolfsburg,2-0,1-0
4,2000-08-27,FC Bayern München,Borussia Mönchengladbach,1-1,0-1
4,2000-08-28,1. FC Köln,VfB Stuttgart,0-0,
4,2000-08-28,SV Werder Bremen,Eintracht Frankfurt,3-4,2-3
5,2000-09-02,Borussia Dortmund,TSG 1899 Hoffenheim,1-0,1-0
5,2000-09-03,VfB Stuttgart,FC Schalke 04,1-1,1-1
5,2000-09-03,VfL Bochum 1848,SV Werder Bremen,0-2,0-0
5,2000-09-03,VfL Wolfsburg,1. FC Köln,2-4,1-3
5,2000-09-03,1. FC Union Berlin,FC Bayern München,1-1,1-1
5,2000-09-03,Bayer 04 Leverkusen,SC Freiburg,2-3,1-0
5,2000-09-03,Eintracht Frankfurt,RB Leipzig,4-0,2-0
5,2000-09-04,FC Augsburg,Hertha BSC,0-2,0-0
5,2000-09-04,Borussia Mönchengladbach,1. FSV Mainz 05,0-1,0-0
6,2000-09-09,SV Werder Bremen,FC Augsburg,0-1,0-0
