Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PinnacleHomeOpen,PinnacleDrawOpen,PinnacleAwayOpen,AvgHomeOpen,AvgDrawOpen,AvgAwayOpen,MaxHomeOpen,MaxDrawOpen,MaxAwayOpen,Bet365HomeOpen,Bet365DrawOpen,Bet365AwayOpen,Bet365Over25Open,Bet365Under25Open,PinnacleOver25Open,PinnacleUnder25Open,AvgOver25Open,AvgUnder25Open,PinnacleHomeClose,PinnacleDrawClose,PinnacleAwayClose,AvgHomeClose,AvgDrawClose,AvgAwayClose,MaxHomeClose,MaxDrawClose,MaxAwayClose,Bet365HomeClose,Bet365DrawClose,Bet365AwayClose
1,Fri,2009-08-07,Wolfsburg,VfB Stuttgart,2-0,0-0,,2,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1.95,3.5,3.75,,,,,,,,,,,,,,,,,,
1,Sat,2009-08-08,1. FC Nurnberg,FC Schalke 04,1-2,0-1,,1,2,A,0,1,A,,,,,,,,,,,,,,,,,,,,,,3.5,3.3,2.1,,,,,,,,,,,,,,,,,,
1,Sat,2009-08-08,Borussia Dortmund,1. FC Köln,1-0,0-0,,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1.62,3.75,5.5,,,,,,,,,,,,,,,,,,
1,Sat,2009-08-08,Hertha Berlin,Hannover 96,1-0,0-0,,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1.8,3.5,4.5,,,,,,,,,,,,,,,,,,
1,Sat,2009-08-08,Hoffenheim,Bayern de Munique,1-1,1-1,,1,1,D,1,1,D,,,,,,,,,,,,,,,,,,,,,,4.2,3.4,1.91,,,,,,,,,,,,,,,,,,
1,Sat,2009-08-08,Mainz 05,Bayer Leverkusen,2-2,1-2,,2,2,D,1,2,A,,,,,,,,,,,,,,,,,,,,,,3.8,3.4,2.0,,,,,,,,,,,,,,,,,,
1,Sat,2009-08-08,Werder Bremen,Eintracht Frankfurt,2-3,2-2,,2,3,A,2,2,D,,,,,,,,,,,,,,,,,,,,,,1.4,4.5,8.0,,,,,,,,,,,,,,,,,,
1,Sun,2009-08-09,Freiburg,Hamburgo,1-1,0-1,,1,1,D,0,1,A,,,,,,,,,,,,,,,,,,,,,,3.6,3.4,2.0,,,,,,,,,,,,,,,,,,
1,Sun,2009-08-09,VfL Bochum,Borussia Monchengladbach,3-3,0-3,,3,3,D,0,3,A,,,,,,,,,,,,,,,,,,,,,,2.2,3.3,3.25,,,,,,,,,,,,,,,,,,
2,Sat,2009-08-15,1. FC Köln,Wolfsburg,1-3,0-0,,1,3,A,0,0,D,,,,,,,,,,,,,,,,,,,,,,4.75,3.6,1.73,,,,,,,,,,,,,,,,,,
2,Sat,2009-08-15,Bayer Leverkusen,Hoffenheim,1-0,0-0,,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,2.0,3.5,3.6,,,,,,,,,,,,,,,,,,
2,Sat,2009-08-15,Bayern de Munique,Werder Bremen,1-1,0-1,,1,1,D,0,1,A,,,,,,,,,,,,,,,,,,,,,,1.62,3.75,5.5,,,,,,,,,,,,,,,,,,
2,Sat,2009-08-15,Eintracht Frankfurt,1. FC Nurnberg,1-1,1-0,,1,1,D,1,0,H,,,,,,,,,,,,,,,,,,,,,,2.05,3.4,3.6,,,,,,,,,,,,,,,,,,
2,Sat,2009-08-15,Hamburgo,Borussia Dortmund,4-1,3-1,,4,1,H,3,1,H,,,,,,,,,,,,,,,,,,,,,,2.05,3.4,3.6,,,,,,,,,,,,,,,,,,
2,Sat,2009-08-15,Hannover 96,Mainz 05,1-1,0-0,,1,1,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,1.83,3.5,4.33,,,,,,,,,,,,,,,,,,
2,Sat,2009-08-15,VfB Stuttgart,Freiburg,4-2,0-0,,4,2,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1.44,4.2,7.5,,,,,,,,,,,,,,,,,,
2,Sun,2009-08-16,Borussia Monchengladbach,Hertha Berlin,2-1,1-0,,2,1,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,2.3,3.3,3.1,,,,,,,,,,,,,,,,,,
2,Sun,2009-08-16,FC Schalke 04,VfL Bochum,3-0,2-0,,3,0,H,2,0,H,,,,,,,,,,,,,,,,,,,,,,1.44,4.2,7.5,,,,,,,,,,,,,,,,,,
