Matchday,Date,Home,Away,FullTime,HalfTime
1,2018-08-24,Werder Bremen,Hannover 96,1-1,0-0
1,2018-08-24,Freiburg,Eintracht Frankfurt,0-2,0-1
1,2018-08-24,Wolfsburg,FC Schalke 04,2-1,1-0
1,2018-08-24,Fortuna Dusseldorf,Augsburg,1-2,1-0
1,2018-08-24,Borussia Monchengladbach,Bayer Leverkusen,2-0,0-0
1,2018-08-24,Mainz 05,VfB Stuttgart,1-0,0-0
1,2018-08-24,Borussia Dortmund,RB Leipzig,4-1,3-1
2,2018-08-24,Hannover 96,Borussia Dortmund,0-0,
2,2018-08-24,Hoffenheim,Freiburg,3-1,0-1
2,2018-08-24,Bayer Leverkusen,Wolfsburg,1-3,1-1
2,2018-08-24,Eintracht Frankfurt,Werder Bremen,1-2,0-1
2,2018-08-24,Augsburg,Borussia Monchengladbach,1-1,1-0
2,2018-08-24,VfB Stuttgart,Bayern de Munique,0-3,0-1
2,2018-08-24,RB Leipzig,Fortuna Dusseldorf,1-1,0-0
2,2018-08-24,FC Schalke 04,Hertha Berlin,0-2,0-1
3,2018-08-24,Borussia Dortmund,Eintracht Frankfurt,3-1,1-0
3,2018-08-24,RB Leipzig,Hannover 96,3-2,2-1
3,2018-08-24,Mainz 05,Augsburg,2-1,0-0
3,2018-08-24,Wolfsburg,Hertha Berlin,2-2,0-0
3,2018-08-24,Bayern de Munique,Bayer Leverkusen,3-1,2-1
3,2018-08-24,Borussia Monchengladbach,FC Schalke 04,2-1,1-0
3,2018-08-24,Freiburg,VfB Stuttgart,3-3,1-1
4,2018-08-24,VfB Stuttgart,Fortuna Dusseldorf,0-0,
4,2018-08-24,Hoffenheim,Borussia Dortmund,1-1,1-0
4,2018-08-24,Hertha Berlin,Borussia Monchengladbach,4-2,2-1
4,2018-08-24,Augsburg,Werder Bremen,2-3,1-2
4,2018-08-24,Wolfsburg,Freiburg,1-3,0-2
4,2018-08-24,1. FC Nurnberg,Hannover 96,2-0,0-0
4,2018-08-24,FC Schalke 04,Bayern de Munique,0-2,0-1
4,2018-08-24,Eintracht Frankfurt,RB Leipzig,1-1,1-0
5,2018-08-24,Werder Bremen,Hertha Berlin,3-1,2-0
5,2018-08-24,Bayern de Munique,Augsburg,1-1,0-0
5,2018-08-24,Freiburg,FC Schalke 04,1-0,0-0
5,2018-08-24,Fortuna Dusseldorf,Bayer Leverkusen,1-2,0-0
5,2018-08-24,RB Leipzig,VfB Stuttgart,2-0,1-0
5,2018-08-24,Borussia Monchengladbach,Eintracht Frankfurt,3-1,0-0
5,2018-08-24,Mainz 05,Wolfsburg,0-0,
6,2018-08-24,Hertha Berlin,Bayern de Munique,2-0,2-0
6,2018-08-24,Hoffenheim,RB Leipzig,1-2,0-0
6,2018-08-24,VfB Stuttgart,Werder Bremen,2-1,1-0
6,2018-08-24,Wolfsburg,Borussia Monchengladbach,2-2,1-1
6,2018-08-24,1. FC Nurnberg,Fortuna Dusseldorf,3-0,1-0
6,2018-08-24,Bayer Leverkusen,Borussia Dortmund,2-4,2-0
6,2018-08-24,Eintracht Frankfurt,Hannover 96,4-1,2-0
6,2018-08-24,Augsburg,Freiburg,4-1,2-0
7,2018-08-24,Werder Bremen,Wolfsburg,2-0,1-0
7,2018-08-24,Borussia Dortmund,Augsburg,4-3,0-1
7,2018-08-24,Hannover 96,VfB Stuttgart,3-1,2-0
7,2018-08-24,Mainz 05,Hertha Berlin,0-0,
7,2018-08-24,Fortuna Dusseldorf,FC Schalke 04,0-2,0-0
7,2018-08-24,Bayern de Munique,Borussia Monchengladbach,0-3,0-2
7,2018-08-24,Freiburg,Bayer Leverkusen,0-0,
7,2018-08-24,Hoffenheim,Eintracht Frankfurt,1-2,0-1
8,2018-08-24,Eintracht Frankfurt,Fortuna Dusseldorf,7-1,3-0
8,2018-08-24,Bayer Leverkusen,Hannover 96,2-2,1-1
8,2018-08-24,VfB Stuttgart,Borussia Dortmund,0-4,0-3
8,2018-08-24,Augsburg,RB Leipzig,0-0,
8,2018-08-24,Wolfsburg,Bayern de Munique,1-3,0-1
8,2018-08-24,FC Schalke 04,Werder Bremen,0-2,0-1
8,2018-08-24,Hertha Berlin,Freiburg,1-1,1-1
9,2018-08-24,Freiburg,Borussia Monchengladbach,3-1,1-1
9,2018-08-24,Borussia Dortmund,Hertha Berlin,2-2,1-1
9,2018-08-24,Hannover 96,Augsburg,1-2,0-1
9,2018-08-24,Mainz 05,Bayern de Munique,1-2,0-1
9,2018-08-24,Fortuna Dusseldorf,Wolfsburg,0-3,0-1
9,2018-08-24,Hoffenheim,VfB Stuttgart,4-0,0-0
9,2018-08-24,1. FC Nurnberg,Eintracht Frankfurt,1-1,0-0
9,2018-08-24,RB Leipzig,FC Schalke 04,0-0,
9,2018-08-24,Werder Bremen,Bayer Leverkusen,2-6,0-3
10,2018-08-24,VfB Stuttgart,Eintracht Frankfurt,0-3,0-2
10,2018-08-24,Bayern de Munique,Freiburg,1-1,0-0
10,2018-08-24,FC Schalke 04,Hannover 96,3-1,0-0
10,2018-08-24,Wolfsburg,Borussia Dortmund,0-1,0-1
10,2018-08-24,Hertha Berlin,RB Leipzig,0-3,0-1
10,2018-08-24,Borussia Monchengladbach,Fortuna Dusseldorf,3-0,0-0
10,2018-08-24,Mainz 05,Werder Bremen,2-1,1-0
11,2018-08-24,Hannover 96,Wolfsburg,2-1,1-0
11,2018-08-24,Hoffenheim,Augsburg,2-1,0-0
11,2018-08-24,Werder Bremen,Borussia Monchengladbach,1-3,0-1
11,2018-08-24,Fortuna Dusseldorf,Hertha Berlin,4-1,0-0
11,2018-08-24,1. FC Nurnberg,VfB Stuttgart,0-2,0-0
11,2018-08-24,Borussia Dortmund,Bayern de Munique,3-2,0-1
11,2018-08-24,RB Leipzig,Bayer Leverkusen,3-0,1-0
11,2018-08-24,Eintracht Frankfurt,FC Schalke 04,3-0,0-0
12,2018-08-24,Bayer Leverkusen,VfB Stuttgart,2-0,0-0
12,2018-08-24,Bayern de Munique,Fortuna Dusseldorf,3-3,2-1
12,2018-08-24,Augsburg,Eintracht Frankfurt,1-3,0-1
12,2018-08-24,Mainz 05,Borussia Dortmund,1-2,0-0
12,2018-08-24,Wolfsburg,RB Leipzig,1-0,0-0
12,2018-08-24,Freiburg,Werder Bremen,1-1,1-0
12,2018-08-24,Borussia Monchengladbach,Hannover 96,4-1,2-1
13,2018-08-24,Borussia Dortmund,Freiburg,2-0,1-0
13,2018-08-24,VfB Stuttgart,Augsburg,1-0,1-0
13,2018-08-24,Werder Bremen,Bayern de Munique,1-2,1-1
13,2018-08-24,Hannover 96,Hertha Berlin,0-2,0-1
13,2018-08-24,Hoffenheim,FC Schalke 04,1-1,0-0
13,2018-08-24,RB Leipzig,Borussia Monchengladbach,2-0,2-0
13,2018-08-24,Eintracht Frankfurt,Wolfsburg,1-2,0-1
13,2018-08-24,1. FC Nurnberg,Bayer Leverkusen,1-1,0-1
14,2018-08-24,Werder Bremen,Fortuna Dusseldorf,3-1,1-1
14,2018-08-24,FC Schalke 04,Borussia Dortmund,1-2,0-1
14,2018-08-24,Bayer Leverkusen,Augsburg,1-0,0-0
14,2018-08-24,Freiburg,RB Leipzig,3-0,2-0
14,2018-08-24,Hertha Berlin,Eintracht Frankfurt,1-0,1-0
14,2018-08-24,Mainz 05,Hannover 96,1-1,0-1
14,2018-08-24,Borussia Monchengladbach,VfB Stuttgart,3-0,0-0
15,2018-08-24,1. FC Nurnberg,Wolfsburg,0-2,0-0
15,2018-08-24,Hoffenheim,Borussia Monchengladbach,0-0,
15,2018-08-24,VfB Stuttgart,Hertha Berlin,2-1,0-1
15,2018-08-24,Augsburg,FC Schalke 04,1-1,1-0
15,2018-08-24,Hannover 96,Bayern de Munique,0-4,0-2
15,2018-08-24,Fortuna Dusseldorf,Freiburg,2-0,0-0
15,2018-08-24,Borussia Dortmund,Werder Bremen,2-1,2-1
