Matchday,Date,Home,Away,FullTime,HalfTime
1,2024-08-23,Borussia Mönchengladbach,Bayer 04 Leverkusen,2-3,0-2
1,2024-08-24,RB Leipzig,VfL Bochum 1848,1-0,0-0
1,2024-08-24,TSG 1899 Hoffenheim,Holstein Kiel,3-2,2-0
1,2024-08-24,SC Freiburg,VfB Stuttgart,3-1,1-1
1,2024-08-24,FC Augsburg,SV Werder Bremen,2-2,2-1
1,2024-08-24,1. FSV Mainz 05,1. FC Union Berlin,1-1,0-0
1,2024-08-24,Borussia Dortmund,Eintracht Frankfurt,2-0,0-0
1,2024-08-25,VfL Wolfsburg,FC Bayern München,2-3,0-1
1,2024-08-25,FC St. Pauli 1910,1. FC Heidenheim 1846,0-2,0-0
2,2024-08-30,1. FC Union Berlin,FC St. Pauli 1910,1-0,1-0
2,2024-08-31,VfB Stuttgart,1. FSV Mainz 05,3-3,2-1
2,2024-08-31,Eintracht Frankfurt,TSG 1899 Hoffenheim,3-1,2-0
2,2024-08-31,SV Werder Bremen,Borussia Dortmund,0-0,
2,2024-08-31,VfL Bochum 1848,Borussia Mönchengladbach,0-2,0-0
2,2024-08-31,Holstein Kiel,VfL Wolfsburg,0-2,0-2
2,2024-08-31,Bayer 04 Leverkusen,RB Leipzig,2-3,2-1
2,2024-09-01,1. FC Heidenheim 1846,FC Augsburg,4-0,2-0
2,2024-09-01,FC Bayern München,SC Freiburg,2-0,1-0
3,2024-09-13,Borussia Dortmund,1. FC Heidenheim 1846,4-2,3-1
3,2024-09-14,RB Leipzig,1. FC Union Berlin,0-0,
3,2024-09-14,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,1-4,1-2
3,2024-09-14,SC Freiburg,VfL Bochum 1848,2-1,0-1
3,2024-09-14,VfL Wolfsburg,Eintracht Frankfurt,1-2,0-1
3,2024-09-14,Borussia Mönchengladbach,VfB Stuttgart,1-3,1-1
3,2024-09-14,Holstein Kiel,FC Bayern München,1-6,0-4
3,2024-09-15,FC Augsburg,FC St. Pauli 1910,3-1,0-0
3,2024-09-15,1. FSV Mainz 05,SV Werder Bremen,1-2,1-1
4,2024-09-20,FC Augsburg,1. FSV Mainz 05,2-3,1-2
4,2024-09-21,1. FC Heidenheim 1846,SC Freiburg,0-3,0-0
4,2024-09-21,SV Werder Bremen,FC Bayern München,0-5,0-2
4,2024-09-21,1. FC Union Berlin,TSG 1899 Hoffenheim,2-1,2-0
4,2024-09-21,VfL Bochum 1848,Holstein Kiel,2-2,2-1
4,2024-09-21,Eintracht Frankfurt,Borussia Mönchengladbach,2-0,1-0
4,2024-09-22,Bayer 04 Leverkusen,VfL Wolfsburg,4-3,2-3
4,2024-09-22,VfB Stuttgart,Borussia Dortmund,5-1,2-0
4,2024-09-22,FC St. Pauli 1910,RB Leipzig,0-0,
5,2024-09-27,Borussia Dortmund,VfL Bochum 1848,4-2,1-2
5,2024-09-28,RB Leipzig,FC Augsburg,4-0,2-0
5,2024-09-28,SC Freiburg,FC St. Pauli 1910,0-3,0-2
5,2024-09-28,VfL Wolfsburg,VfB Stuttgart,2-2,1-1
5,2024-09-28,1. FSV Mainz 05,1. FC Heidenheim 1846,0-2,0-1
