Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PinnacleHomeOpen,PinnacleDrawOpen,PinnacleAwayOpen,AvgHomeOpen,AvgDrawOpen,AvgAwayOpen,MaxHomeOpen,MaxDrawOpen,MaxAwayOpen,Bet365HomeOpen,Bet365DrawOpen,Bet365AwayOpen,Bet365Over25Open,Bet365Under25Open,PinnacleOver25Open,PinnacleUnder25Open,AvgOver25Open,AvgUnder25Open,PinnacleHomeClose,PinnacleDrawClose,PinnacleAwayClose,AvgHomeClose,AvgDrawClose,AvgAwayClose,MaxHomeClose,MaxDrawClose,MaxAwayClose,Bet365HomeClose,Bet365DrawClose,Bet365AwayClose
1,Sat,2014-08-23,1. FC Köln,Hamburgo,0-0,0-0,,0,0,D,0,0,D,10,19,3,4,23,16,3,6,2,2,0,0,2.04,3.67,3.89,,,,,,,2.0,3.5,3.6,,,,,,,2.06,3.62,3.86,,,,,,,,,
1,Sat,2014-08-23,Borussia Dortmund,Bayer Leverkusen,0-2,0-1,,0,2,A,0,1,A,11,11,4,2,13,28,8,4,1,2,0,0,1.63,4.39,5.56,,,,,,,1.57,4.33,5.0,,,,,,,1.75,4.18,4.77,,,,,,,,,
1,Sat,2014-08-23,Eintracht Frankfurt,Freiburg,1-0,1-0,,1,0,H,1,0,H,10,13,3,7,17,22,6,5,1,3,0,0,2.04,3.63,3.93,,,,,,,2.05,3.4,3.6,,,,,,,2.01,3.74,3.92,,,,,,,,,
1,Sat,2014-08-23,Hannover 96,FC Schalke 04,2-1,0-0,,2,1,H,0,0,D,8,12,3,5,12,15,2,4,2,1,0,0,3.15,3.58,2.37,,,,,,,2.9,3.5,2.3,,,,,,,3.1,3.6,2.37,,,,,,,,,
1,Sat,2014-08-23,Hertha Berlin,Werder Bremen,2-2,1-0,,2,2,D,1,0,H,19,9,5,5,17,18,9,5,1,2,0,0,1.97,3.67,4.16,,,,,,,1.95,3.5,3.75,,,,,,,2.01,3.53,4.18,,,,,,,,,
1,Sat,2014-08-23,Hoffenheim,Augsburg,2-0,2-0,,2,0,H,2,0,H,10,12,3,2,19,15,7,3,2,3,0,0,1.96,3.83,4.02,,,,,,,1.91,3.6,3.8,,,,,,,1.98,3.76,4.01,,,,,,,,,
1,Sun,2014-08-24,Borussia Monchengladbach,VfB Stuttgart,1-1,0-0,,1,1,D,0,0,D,19,7,6,3,8,16,6,3,2,1,0,0,1.94,3.73,4.22,,,,,,,1.95,3.5,3.75,,,,,,,1.98,3.75,4.0,,,,,,,,,
1,Sun,2014-08-24,SC Paderborn 07,Mainz 05,2-2,1-1,,2,2,D,1,1,D,10,14,3,4,16,14,4,3,2,2,0,0,3.15,3.43,2.43,,,,,,,3.1,3.4,2.25,,,,,,,3.39,3.51,2.28,,,,,,,,,
2,Fri,2014-08-29,Augsburg,Borussia Dortmund,2-3,0-2,,2,3,A,0,2,A,12,22,3,9,9,12,3,6,2,3,0,0,5.11,4.0,1.74,,,,,,,4.5,3.75,1.73,,,,,,,5.76,4.12,1.65,,,,,,,,,
2,Sat,2014-08-30,Bayer Leverkusen,Hertha Berlin,4-2,0-1,,4,2,H,0,1,A,21,3,7,1,11,20,5,6,0,1,0,0,1.45,4.86,8.15,,,,,,,1.44,4.5,6.5,,,,,,,1.39,5.28,8.84,,,,,,,,,
2,Sat,2014-08-30,FC Schalke 04,Bayern de Munique,1-1,0-1,,1,1,D,0,1,A,8,10,4,4,15,15,1,3,4,1,0,0,7.07,4.77,1.5,,,,,,,6.0,4.75,1.44,,,,,,,7.64,4.78,1.47,,,,,,,,,
2,Sat,2014-08-30,Hamburgo,SC Paderborn 07,0-3,0-1,,0,3,A,0,1,A,13,15,4,7,16,16,8,3,0,0,0,0,1.76,3.96,5.04,,,,,,,1.67,3.8,5.0,,,,,,,1.65,4.22,5.7,,,,,,,,,
2,Sat,2014-08-30,VfB Stuttgart,1. FC Köln,0-2,0-2,,0,2,A,0,2,A,14,10,5,4,11,11,7,4,1,2,0,0,1.98,3.65,4.14,,,,,,,2.0,3.5,3.6,,,,,,,2.22,3.61,3.42,,,,,,,,,
2,Sat,2014-08-30,Werder Bremen,Hoffenheim,1-1,0-1,,1,1,D,0,1,A,15,12,1,1,20,13,6,6,3,0,0,0,3.35,3.74,2.2,,,,,,,3.2,3.5,2.15,,,,,,,3.68,3.77,2.07,,,,,,,,,
2,Sat,2014-08-30,Wolfsburg,Eintracht Frankfurt,2-2,1-1,,2,2,D,1,1,D,14,9,11,4,19,11,4,3,3,1,0,0,1.62,4.34,5.84,,,,,,,1.57,4.33,5.0,,,,,,,1.67,4.31,5.27,,,,,,,,,
2,Sun,2014-08-31,Freiburg,Borussia Monchengladbach,0-0,0-0,,0,0,D,0,0,D,17,9,4,3,11,13,4,5,1,2,0,0,3.06,3.55,2.43,,,,,,,2.88,3.4,2.38,,,,,,,3.18,3.62,2.33,,,,,,,,,
2,Sun,2014-08-31,Mainz 05,Hannover 96,0-0,0-0,,0,0,D,0,0,D,14,11,2,6,12,14,4,2,0,1,0,0,2.18,3.61,3.52,,,,,,,2.2,3.3,3.3,,,,,,,2.17,3.62,3.53,,,,,,,,,
3,Fri,2014-09-12,Bayer Leverkusen,Werder Bremen,3-3,1-1,,3,3,D,1,1,D,26,8,9,5,14,20,6,4,4,2,0,0,1.37,5.47,9.29,,,,,,,1.3,5.5,9.0,,,,,,,1.36,5.67,9.13,,,,,,,,,
3,Sat,2014-09-13,Bayern de Munique,VfB Stuttgart,2-0,1-0,,2,0,H,1,0,H,14,7,8,0,16,18,2,4,1,2,0,0,1.17,8.95,19.5,,,,,,,1.17,7.5,15.0,,,,,,,1.18,8.97,16.14,,,,,,,,,
3,Sat,2014-09-13,Borussia Dortmund,Freiburg,3-1,2-0,,3,1,H,2,0,H,15,4,6,3,10,14,3,5,1,4,0,0,1.28,6.5,11.6,,,,,,,1.25,6.0,10.0,,,,,,,1.33,6.05,9.5,,,,,,,,,
3,Sat,2014-09-13,Borussia Monchengladbach,FC Schalke 04,4-1,1-0,,4,1,H,1,0,H,23,11,9,6,15,13,8,2,2,3,0,0,2.42,3.58,3.06,,,,,,,2.4,3.4,2.8,,,,,,,2.32,3.68,3.16,,,,,,,,,
3,Sat,2014-09-13,Hertha Berlin,Mainz 05,1-3,0-1,,1,3,A,0,1,A,17,7,3,6,21,20,4,1,3,3,0,0,2.29,3.42,3.45,,,,,,,2.25,3.3,3.2,,,,,,,2.22,3.5,3.52,,,,,,,,,
3,Sat,2014-09-13,Hoffenheim,Wolfsburg,1-1,0-0,,1,1,D,0,0,D,15,22,6,5,17,17,4,7,1,0,0,1,2.47,3.72,2.88,,,,,,,2.4,3.5,2.75,,,,,,,2.6,3.71,2.73,,,,,,,,,
3,Sat,2014-09-13,SC Paderborn 07,1. FC Köln,0-0,0-0,,0,0,D,0,0,D,8,4,4,1,13,18,5,1,0,2,0,0,3.1,3.35,2.5,,,,,,,2.9,3.2,2.45,,,,,,,2.88,3.45,2.61,,,,,,,,,
3,Sun,2014-09-14,Eintracht Frankfurt,Augsburg,0-1,0-0,,0,1,A,0,0,D,14,17,5,7,14,21,5,6,3,4,0,0,2.29,3.52,3.34,,,,,,,2.25,3.3,3.2,,,,,,,2.35,3.45,3.28,,,,,,,,,
3,Sun,2014-09-14,Hannover 96,Hamburgo,2-0,2-0,,2,0,H,2,0,H,11,11,4,0,18,16,4,2,3,3,0,0,2.19,3.6,3.5,,,,,,,2.2,3.4,3.2,,,,,,,2.11,3.74,3.58,,,,,,,,,
4,Fri,2014-09-19,Freiburg,Hertha Berlin,2-2,1-1,,2,2,D,1,1,D,15,7,5,2,16,26,7,6,0,4,0,1,2.56,3.41,2.97,,,,,,,2.5,3.3,2.8,,,,,,,2.72,3.43,2.76,,,,,,,,,
