Matchday,Date,Home,Away,FullTime,HalfTime
1,2000-09-18,FC Bayern München,FC Schalke 04,8-0,3-0
1,2000-09-19,1. FC Köln,TSG 1899 Hoffenheim,2-3,1-2
1,2000-09-19,Eintracht Frankfurt,Arminia Bielefeld,1-1,0-0
1,2000-09-19,VfB Stuttgart,SC Freiburg,2-3,0-2
1,2000-09-19,SV Werder Bremen,Hertha BSC,1-4,0-2
1,2000-09-19,1. FC Union Berlin,FC Augsburg,1-3,0-1
1,2000-09-19,Borussia Dortmund,Borussia Mönchengladbach,3-0,1-0
1,2000-09-20,RB Leipzig,1. FSV Mainz 05,3-1,2-0
1,2000-09-20,VfL Wolfsburg,Bayer 04 Leverkusen,0-0,
2,2000-09-25,Hertha BSC,Eintracht Frankfurt,1-3,0-2
2,2000-09-26,Borussia Mönchengladbach,1. FC Union Berlin,1-1,0-0
2,2000-09-26,Arminia Bielefeld,1. FC Köln,1-0,0-0
2,2000-09-26,Bayer 04 Leverkusen,RB Leipzig,1-1,1-1
2,2000-09-26,1. FSV Mainz 05,VfB Stuttgart,1-4,1-1
2,2000-09-26,FC Augsburg,Borussia Dortmund,2-0,1-0
2,2000-09-26,FC Schalke 04,SV Werder Bremen,1-3,0-2
2,2000-09-27,TSG 1899 Hoffenheim,FC Bayern München,4-1,2-1
2,2000-09-27,SC Freiburg,VfL Wolfsburg,1-1,1-1
3,2000-10-02,1. FC Union Berlin,1. FSV Mainz 05,4-0,1-0
3,2000-10-03,1. FC Köln,Borussia Mönchengladbach,1-3,0-2
3,2000-10-03,Eintracht Frankfurt,TSG 1899 Hoffenheim,2-1,0-1
3,2000-10-03,Borussia Dortmund,SC Freiburg,4-0,1-0
3,2000-10-03,VfB Stuttgart,Bayer 04 Leverkusen,1-1,0-1
3,2000-10-03,SV Werder Bremen,Arminia Bielefeld,1-0,1-0
3,2000-10-03,RB Leipzig,FC Schalke 04,4-0,3-0
3,2000-10-04,VfL Wolfsburg,FC Augsburg,0-0,
3,2000-10-04,FC Bayern München,Hertha BSC,4-3,1-0
4,2000-10-17,Hertha BSC,VfB Stuttgart,0-2,0-1
4,2000-10-17,SC Freiburg,SV Werder Bremen,1-1,1-1
4,2000-10-17,1. FSV Mainz 05,Bayer 04 Leverkusen,0-1,0-1
4,2000-10-17,TSG 1899 Hoffenheim,Borussia Dortmund,0-1,0-0
4,2000-10-17,FC Augsburg,RB Leipzig,0-2,0-1
4,2000-10-17,Arminia Bielefeld,FC Bayern München,1-4,0-3
4,2000-10-17,Borussia Mönchengladbach,VfL Wolfsburg,1-1,0-0
4,2000-10-18,1. FC Köln,Eintracht Frankfurt,1-1,0-1
4,2000-10-18,FC Schalke 04,1. FC Union Berlin,1-1,0-0
5,2000-10-23,VfB Stuttgart,1. FC Köln,1-1,1-1
5,2000-10-24,FC Bayern München,Eintracht Frankfurt,5-0,2-0
5,2000-10-24,1. FSV Mainz 05,Borussia Mönchengladbach,2-3,2-1
5,2000-10-24,1. FC Union Berlin,SC Freiburg,1-1,1-1
5,2000-10-24,RB Leipzig,Hertha BSC,2-1,1-1
5,2000-10-24,Borussia Dortmund,FC Schalke 04,3-0,0-0
5,2000-10-25,VfL Wolfsburg,Arminia Bielefeld,2-1,2-0
5,2000-10-25,SV Werder Bremen,TSG 1899 Hoffenheim,1-1,1-1
5,2000-10-26,Bayer 04 Leverkusen,FC Augsburg,3-1,1-0
6,2000-10-30,FC Schalke 04,VfB Stuttgart,1-1,1-0
6,2000-10-31,1. FC Köln,FC Bayern München,1-2,0-2
6,2000-10-31,Eintracht Frankfurt,SV Werder Bremen,1-1,0-0
6,2000-10-31,Arminia Bielefeld,Borussia Dortmund,0-2,0-0
6,2000-10-31,FC Augsburg,1. FSV Mainz 05,3-1,1-0
6,2000-10-31,Borussia Mönchengladbach,RB Leipzig,1-0,0-0
6,2000-11-01,SC Freiburg,Bayer 04 Leverkusen,2-4,1-2
6,2000-11-01,Hertha BSC,VfL Wolfsburg,1-1,1-1
6,2000-11-02,TSG 1899 Hoffenheim,1. FC Union Berlin,1-3,0-0
7,2000-11-06,SV Werder Bremen,1. FC Köln,1-1,0-0
7,2000-11-07,VfB Stuttgart,Eintracht Frankfurt,2-2,2-0
7,2000-11-07,1. FSV Mainz 05,FC Schalke 04,2-2,2-1
7,2000-11-07,FC Augsburg,Hertha BSC,0-3,0-1
7,2000-11-07,1. FC Union Berlin,Arminia Bielefeld,5-0,3-0
7,2000-11-07,RB Leipzig,SC Freiburg,3-0,1-0
7,2000-11-07,Borussia Dortmund,FC Bayern München,2-3,1-1
7,2000-11-08,VfL Wolfsburg,TSG 1899 Hoffenheim,2-1,2-0
7,2000-11-08,Bayer 04 Leverkusen,Borussia Mönchengladbach,4-3,2-2
8,2000-11-21,FC Schalke 04,VfL Wolfsburg,0-2,0-2
8,2000-11-21,Borussia Mönchengladbach,FC Augsburg,1-1,1-0
8,2000-11-21,FC Bayern München,SV Werder Bremen,1-1,0-1
8,2000-11-21,Arminia Bielefeld,Bayer 04 Leverkusen,1-2,0-1
8,2000-11-21,TSG 1899 Hoffenheim,VfB Stuttgart,3-3,1-2
8,2000-11-21,Eintracht Frankfurt,RB Leipzig,1-1,1-0
8,2000-11-21,Hertha BSC,Borussia Dortmund,2-5,1-0
8,2000-11-22,SC Freiburg,1. FSV Mainz 05,1-3,0-3
8,2000-11-22,1. FC Köln,1. FC Union Berlin,1-2,1-1
9,2000-11-27,VfL Wolfsburg,SV Werder Bremen,5-3,3-2
9,2000-11-28,Borussia Dortmund,1. FC Köln,1-2,0-1
9,2000-11-28,VfB Stuttgart,FC Bayern München,1-3,1-2
9,2000-11-28,FC Augsburg,SC Freiburg,1-1,0-0
9,2000-11-28,1. FC Union Berlin,Eintracht Frankfurt,3-3,2-2
9,2000-11-28,RB Leipzig,Arminia Bielefeld,2-1,1-0
9,2000-11-28,Borussia Mönchengladbach,FC Schalke 04,4-1,2-1
9,2000-11-29,Bayer 04 Leverkusen,Hertha BSC,0-0,
9,2000-11-29,1. FSV Mainz 05,TSG 1899 Hoffenheim,1-1,1-0
10,2000-12-04,Hertha BSC,1. FC Union Berlin,3-1,0-1
10,2000-12-05,1. FC Köln,VfL Wolfsburg,2-2,2-1
10,2000-12-05,Eintracht Frankfurt,Borussia Dortmund,1-1,1-0
10,2000-12-05,Arminia Bielefeld,1. FSV Mainz 05,2-1,2-0
10,2000-12-05,SC Freiburg,Borussia Mönchengladbach,2-2,1-1
10,2000-12-05,FC Bayern München,RB Leipzig,3-3,2-2
10,2000-12-06,SV Werder Bremen,VfB Stuttgart,1-2,0-1
10,2000-12-06,FC Schalke 04,Bayer 04 Leverkusen,0-3,0-1
10,2000-12-07,TSG 1899 Hoffenheim,FC Augsburg,3-1,1-1
11,2000-12-11,VfL Wolfsburg,Eintracht Frankfurt,2-1,0-0
11,2000-12-12,Borussia Dortmund,VfB Stuttgart,1-5,1-1
11,2000-12-12,Borussia Mönchengladbach,Hertha BSC,1-1,0-0
11,2000-12-12,SC Freiburg,Arminia Bielefeld,2-0,0-0
11,2000-12-12,1. FSV Mainz 05,1. FC Köln,0-1,0-0
11,2000-12-12,RB Leipzig,SV Werder Bremen,2-0,2-0
11,2000-12-12,1. FC Union Berlin,FC Bayern München,1-1,1-0
11,2000-12-13,FC Augsburg,FC Schalke 04,2-2,1-0
11,2000-12-13,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,4-1,2-0
12,2000-12-15,Eintracht Frankfurt,Borussia Mönchengladbach,3-3,3-1
12,2000-12-15,SV Werder Bremen,Borussia Dortmund,1-2,1-1
12,2000-12-15,Hertha BSC,1. FSV Mainz 05,0-0,
12,2000-12-15,VfB Stuttgart,1. FC Union Berlin,2-2,0-1
12,2000-12-16,FC Schalke 04,SC Freiburg,0-2,0-0
12,2000-12-16,FC Bayern München,VfL Wolfsburg,2-1,1-1
12,2000-12-16,Arminia Bielefeld,FC Augsburg,0-1,0-0
12,2000-12-16,TSG 1899 Hoffenheim,RB Leipzig,0-1,0-0
12,2000-12-16,1. FC Köln,Bayer 04 Leverkusen,0-4,0-2
13,2000-12-18,1. FC Union Berlin,Borussia Dortmund,2-1,0-0
13,2000-12-19,FC Schalke 04,Arminia Bielefeld,0-1,0-0
13,2000-12-19,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1-2,1-0
13,2000-12-19,1. FSV Mainz 05,SV Werder Bremen,0-1,0-0
13,2000-12-19,FC Augsburg,Eintracht Frankfurt,0-2,0-0
13,2000-12-19,RB Leipzig,1. FC Köln,0-0,
13,2000-12-19,Bayer 04 Leverkusen,FC Bayern München,1-2,1-1
13,2000-12-20,SC Freiburg,Hertha BSC,4-1,1-0
13,2000-12-20,VfL Wolfsburg,VfB Stuttgart,1-0,0-0
14,2001-01-02,1. FC Köln,FC Augsburg,0-1,0-0
14,2001-01-02,Eintracht Frankfurt,Bayer 04 Leverkusen,2-1,1-1
14,2001-01-02,SV Werder Bremen,1. FC Union Berlin,0-2,0-2
14,2001-01-02,Arminia Bielefeld,Borussia Mönchengladbach,0-1,0-0
14,2001-01-02,TSG 1899 Hoffenheim,SC Freiburg,1-3,0-3
14,2001-01-02,Hertha BSC,FC Schalke 04,3-0,1-0
14,2001-01-02,VfB Stuttgart,RB Leipzig,0-1,0-0
14,2001-01-03,Borussia Dortmund,VfL Wolfsburg,2-0,0-0
14,2001-01-03,FC Bayern München,1. FSV Mainz 05,5-2,0-2
15,2001-01-08,Borussia Mönchengladbach,FC Bayern München,3-2,2-2
15,2001-01-09,FC Schalke 04,TSG 1899 Hoffenheim,4-0,1-0
15,2001-01-09,Bayer 04 Leverkusen,SV Werder Bremen,1-1,0-0
15,2001-01-09,SC Freiburg,1. FC Köln,5-0,2-0
15,2001-01-09,1. FSV Mainz 05,Eintracht Frankfurt,0-2,0-1
15,2001-01-09,1. FC Union Berlin,VfL Wolfsburg,2-2,1-1
15,2001-01-09,RB Leipzig,Borussia Dortmund,1-3,0-0
15,2001-01-10,FC Augsburg,VfB Stuttgart,1-4,0-2
15,2001-01-10,Arminia Bielefeld,Hertha BSC,1-0,0-0
16,2001-01-15,1. FC Union Berlin,Bayer 04 Leverkusen,1-0,0-0
16,2001-01-16,1. FC Köln,Hertha BSC,0-0,
16,2001-01-16,Borussia Dortmund,1. FSV Mainz 05,1-1,0-0
16,2001-01-16,SV Werder Bremen,FC Augsburg,2-0,0-0
16,2001-01-16,VfL Wolfsburg,RB Leipzig,2-2,2-1
16,2001-01-16,TSG 1899 Hoffenheim,Arminia Bielefeld,0-0,
16,2001-01-16,VfB Stuttgart,Borussia Mönchengladbach,2-2,0-1
16,2001-01-17,FC Bayern München,SC Freiburg,2-1,1-0
16,2001-01-17,Eintracht Frankfurt,FC Schalke 04,3-1,1-1
17,2001-01-19,Borussia Mönchengladbach,SV Werder Bremen,1-0,0-0
17,2001-01-19,Hertha BSC,TSG 1899 Hoffenheim,0-3,0-1
17,2001-01-19,Bayer 04 Leverkusen,Borussia Dortmund,2-1,1-0
17,2001-01-19,1. FSV Mainz 05,VfL Wolfsburg,0-2,0-0
17,2001-01-20,FC Schalke 04,1. FC Köln,1-2,0-1
17,2001-01-20,Arminia Bielefeld,VfB Stuttgart,3-0,1-0
17,2001-01-20,SC Freiburg,Eintracht Frankfurt,2-2,1-1
17,2001-01-20,FC Augsburg,FC Bayern München,0-1,0-1
17,2001-01-20,RB Leipzig,1. FC Union Berlin,1-0,0-0
18,2001-01-22,Borussia Mönchengladbach,Borussia Dortmund,4-2,2-2
18,2001-01-23,Arminia Bielefeld,Eintracht Frankfurt,1-5,1-3
18,2001-01-23,Bayer 04 Leverkusen,VfL Wolfsburg,0-1,0-1
18,2001-01-23,SC Freiburg,VfB Stuttgart,2-1,2-1
18,2001-01-23,1. FSV Mainz 05,RB Leipzig,3-2,2-2
18,2001-01-23,FC Augsburg,1. FC Union Berlin,2-1,1-1
18,2001-01-23,Hertha BSC,SV Werder Bremen,1-4,1-2
18,2001-01-24,FC Schalke 04,FC Bayern München,0-4,0-1
18,2001-01-24,TSG 1899 Hoffenheim,1. FC Köln,3-0,2-0
19,2001-01-29,VfB Stuttgart,1. FSV Mainz 05,2-0,0-0
19,2001-01-30,Eintracht Frankfurt,Hertha BSC,3-1,0-0
19,2001-01-30,Borussia Dortmund,FC Augsburg,3-1,1-1
19,2001-01-30,SV Werder Bremen,FC Schalke 04,1-1,0-1
19,2001-01-30,FC Bayern München,TSG 1899 Hoffenheim,4-1,2-1
19,2001-01-30,1. FC Union Berlin,Borussia Mönchengladbach,1-1,1-0
19,2001-01-30,RB Leipzig,Bayer 04 Leverkusen,1-0,0-0
19,2001-01-31,1. FC Köln,Arminia Bielefeld,3-1,2-0
19,2001-01-31,VfL Wolfsburg,SC Freiburg,3-0,2-0
20,2001-02-05,Hertha BSC,FC Bayern München,0-1,0-1
20,2001-02-06,FC Schalke 04,RB Leipzig,0-3,0-1
20,2001-02-06,Bayer 04 Leverkusen,VfB Stuttgart,5-2,2-0
20,2001-02-06,SC Freiburg,Borussia Dortmund,2-1,0-0
20,2001-02-06,1. FSV Mainz 05,1. FC Union Berlin,1-0,1-0
20,2001-02-06,FC Augsburg,VfL Wolfsburg,0-2,0-1
20,2001-02-06,Borussia Mönchengladbach,1. FC Köln,1-2,1-1
20,2001-02-07,TSG 1899 Hoffenheim,Eintracht Frankfurt,1-3,0-1
21,2001-02-12,RB Leipzig,FC Augsburg,2-1,2-0
21,2001-02-13,Borussia Dortmund,TSG 1899 Hoffenheim,2-2,1-1
21,2001-02-13,VfB Stuttgart,Hertha BSC,1-1,1-0
21,2001-02-13,SV Werder Bremen,SC Freiburg,0-0,
21,2001-02-13,Bayer 04 Leverkusen,1. FSV Mainz 05,2-2,1-0
21,2001-02-13,1. FC Union Berlin,FC Schalke 04,0-0,
21,2001-02-14,Eintracht Frankfurt,1. FC Köln,2-0,0-0
21,2001-02-14,VfL Wolfsburg,Borussia Mönchengladbach,0-0,
21,2001-02-15,FC Bayern München,Arminia Bielefeld,3-3,0-2
22,2001-02-19,Arminia Bielefeld,VfL Wolfsburg,0-3,0-1
22,2001-02-20,1. FC Köln,VfB Stuttgart,0-1,0-0
22,2001-02-20,Eintracht Frankfurt,FC Bayern München,2-1,2-0
22,2001-02-20,Borussia Mönchengladbach,1. FSV Mainz 05,1-2,1-1
22,2001-02-20,SC Freiburg,1. FC Union Berlin,0-1,0-0
22,2001-02-20,FC Schalke 04,Borussia Dortmund,0-4,0-2
22,2001-02-21,FC Augsburg,Bayer 04 Leverkusen,1-1,1-0
22,2001-02-21,Hertha BSC,RB Leipzig,0-3,0-1
22,2001-02-21,TSG 1899 Hoffenheim,SV Werder Bremen,4-0,2-0
23,2001-02-26,SV Werder Bremen,Eintracht Frankfurt,2-1,0-1
23,2001-02-27,Borussia Dortmund,Arminia Bielefeld,3-0,0-0
23,2001-02-27,VfB Stuttgart,FC Schalke 04,5-1,3-1
23,2001-02-27,FC Bayern München,1. FC Köln,5-1,2-0
23,2001-02-27,VfL Wolfsburg,Hertha BSC,2-0,1-0
23,2001-02-27,RB Leipzig,Borussia Mönchengladbach,3-2,0-2
23,2001-02-28,1. FC Union Berlin,TSG 1899 Hoffenheim,1-1,1-1
23,2001-02-28,1. FSV Mainz 05,FC Augsburg,0-1,0-1
23,2001-02-28,Bayer 04 Leverkusen,SC Freiburg,1-2,0-0
24,2001-03-05,FC Schalke 04,1. FSV Mainz 05,0-0,
24,2001-03-06,Eintracht Frankfurt,VfB Stuttgart,1-1,0-0
24,2001-03-06,Hertha BSC,FC Augsburg,2-1,0-1
24,2001-03-06,Borussia Mönchengladbach,Bayer 04 Leverkusen,0-1,0-0
24,2001-03-06,SC Freiburg,RB Leipzig,0-3,0-1
24,2001-03-06,TSG 1899 Hoffenheim,VfL Wolfsburg,2-1,2-1
