Matchday,Date,Home,Away,FullTime,HalfTime
10,2000-10-30,Borussia Dortmund,1. FC Köln,2-0,1-0
10,2000-10-30,Bayer 04 Leverkusen,VfL Wolfsburg,0-2,0-0
10,2000-10-30,1. FC Union Berlin,FC Bayern München,2-5,1-3
10,2000-10-30,SC Freiburg,SpVgg Greuther Fürth 1903,3-1,2-0
10,2000-10-30,Arminia Bielefeld,1. FSV Mainz 05,1-2,1-1
10,2000-10-30,Eintracht Frankfurt,RB Leipzig,1-1,0-1
10,2000-10-31,FC Augsburg,VfB Stuttgart,4-1,1-1
10,2000-10-31,Borussia Mönchengladbach,VfL Bochum 1848,2-1,2-0
11,2000-11-05,1. FSV Mainz 05,Borussia Mönchengladbach,1-1,0-1
11,2000-11-06,FC Bayern München,SC Freiburg,2-1,1-0
11,2000-11-06,VfL Wolfsburg,FC Augsburg,1-0,1-0
11,2000-11-06,VfB Stuttgart,Arminia Bielefeld,0-1,0-1
11,2000-11-06,VfL Bochum 1848,TSG 1899 Hoffenheim,2-0,0-0
11,2000-11-06,RB Leipzig,Borussia Dortmund,2-1,1-0
11,2000-11-07,Hertha BSC,Bayer 04 Leverkusen,1-1,1-0
11,2000-11-07,1. FC Köln,1. FC Union Berlin,2-2,1-2
11,2000-11-07,SpVgg Greuther Fürth 1903,Eintracht Frankfurt,1-2,0-0
12,2000-11-19,FC Augsburg,FC Bayern München,2-1,2-1
12,2000-11-20,Borussia Dortmund,VfB Stuttgart,2-1,0-0
12,2000-11-20,Bayer 04 Leverkusen,VfL Bochum 1848,1-0,1-0
12,2000-11-20,Borussia Mönchengladbach,SpVgg Greuther Fürth 1903,4-0,3-0
12,2000-11-20,TSG 1899 Hoffenheim,RB Leipzig,2-0,1-0
12,2000-11-20,Arminia Bielefeld,VfL Wolfsburg,2-2,1-0
12,2000-11-20,1. FC Union Berlin,Hertha BSC,2-0,2-0
12,2000-11-21,SC Freiburg,Eintracht Frankfurt,0-2,0-2
12,2000-11-21,1. FSV Mainz 05,1. FC Köln,1-1,1-0
13,2000-11-26,VfB Stuttgart,1. FSV Mainz 05,2-1,1-1
13,2000-11-27,VfL Wolfsburg,Borussia Dortmund,1-3,1-1
13,2000-11-27,Hertha BSC,FC Augsburg,1-1,1-0
13,2000-11-27,1. FC Köln,Borussia Mönchengladbach,4-1,0-0
13,2000-11-27,VfL Bochum 1848,SC Freiburg,2-1,0-0
13,2000-11-27,SpVgg Greuther Fürth 1903,TSG 1899 Hoffenheim,3-6,1-2
13,2000-11-27,FC Bayern München,Arminia Bielefeld,1-0,0-0
13,2000-11-28,Eintracht Frankfurt,1. FC Union Berlin,2-1,1-0
13,2000-11-28,RB Leipzig,Bayer 04 Leverkusen,1-3,0-2
14,2000-12-03,1. FC Union Berlin,RB Leipzig,2-1,1-1
14,2000-12-04,Bayer 04 Leverkusen,SpVgg Greuther Fürth 1903,7-1,3-1
14,2000-12-04,TSG 1899 Hoffenheim,Eintracht Frankfurt,3-2,2-1
14,2000-12-04,1. FSV Mainz 05,VfL Wolfsburg,3-0,2-0
14,2000-12-04,FC Augsburg,VfL Bochum 1848,2-3,0-3
14,2000-12-04,Arminia Bielefeld,1. FC Köln,1-1,0-1
14,2000-12-04,Borussia Dortmund,FC Bayern München,2-3,1-2
14,2000-12-05,VfB Stuttgart,Hertha BSC,2-2,2-1
14,2000-12-05,Borussia Mönchengladbach,SC Freiburg,0-6,0-6
15,2000-12-10,1. FC Köln,FC Augsburg,0-2,0-0
15,2000-12-11,FC Bayern München,1. FSV Mainz 05,2-1,0-1
15,2000-12-11,RB Leipzig,Borussia Mönchengladbach,4-1,2-0
15,2000-12-11,SC Freiburg,TSG 1899 Hoffenheim,1-2,1-1
15,2000-12-11,Hertha BSC,Arminia Bielefeld,2-0,0-0
15,2000-12-11,VfL Bochum 1848,Borussia Dortmund,1-1,1-0
15,2000-12-11,VfL Wolfsburg,VfB Stuttgart,0-2,0-1
15,2000-12-12,SpVgg Greuther Fürth 1903,1. FC Union Berlin,1-0,0-0
15,2000-12-12,Eintracht Frankfurt,Bayer 04 Leverkusen,5-2,2-2
16,2000-12-14,VfB Stuttgart,FC Bayern München,0-5,0-1
16,2000-12-14,VfL Wolfsburg,1. FC Köln,2-3,1-1
16,2000-12-14,1. FSV Mainz 05,Hertha BSC,4-0,2-0
16,2000-12-14,Arminia Bielefeld,VfL Bochum 1848,2-0,0-0
16,2000-12-15,Borussia Mönchengladbach,Eintracht Frankfurt,2-3,1-1
16,2000-12-15,Borussia Dortmund,SpVgg Greuther Fürth 1903,3-0,1-0
16,2000-12-15,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,2-2,1-0
16,2000-12-15,1. FC Union Berlin,SC Freiburg,0-0,
16,2000-12-15,FC Augsburg,RB Leipzig,1-1,0-1
17,2000-12-17,FC Bayern München,VfL Wolfsburg,4-0,1-0
17,2000-12-18,RB Leipzig,Arminia Bielefeld,0-2,0-0
17,2000-12-18,Eintracht Frankfurt,1. FSV Mainz 05,1-0,1-0
17,2000-12-18,TSG 1899 Hoffenheim,Borussia Mönchengladbach,1-1,0-1
17,2000-12-18,VfL Bochum 1848,1. FC Union Berlin,0-1,0-1
17,2000-12-18,SpVgg Greuther Fürth 1903,FC Augsburg,0-0,
17,2000-12-18,Hertha BSC,Borussia Dortmund,3-2,0-1
17,2000-12-19,SC Freiburg,Bayer 04 Leverkusen,2-1,1-1
17,2000-12-19,1. FC Köln,VfB Stuttgart,1-0,0-0
18,2001-01-07,FC Bayern München,Borussia Mönchengladbach,1-2,1-2
18,2001-01-08,RB Leipzig,1. FSV Mainz 05,4-1,1-0
18,2001-01-08,Bayer 04 Leverkusen,1. FC Union Berlin,2-2,1-1
18,2001-01-08,SC Freiburg,Arminia Bielefeld,2-2,1-0
18,2001-01-08,TSG 1899 Hoffenheim,FC Augsburg,3-1,2-1
18,2001-01-08,SpVgg Greuther Fürth 1903,VfB Stuttgart,0-0,
18,2001-01-08,Eintracht Frankfurt,Borussia Dortmund,2-3,2-0
18,2001-01-09,Hertha BSC,1. FC Köln,1-3,0-2
18,2001-01-09,VfL Bochum 1848,VfL Wolfsburg,1-0,0-0
19,2001-01-14,Borussia Dortmund,SC Freiburg,5-1,3-0
19,2001-01-15,VfL Wolfsburg,Hertha BSC,0-0,
19,2001-01-15,1. FC Union Berlin,TSG 1899 Hoffenheim,2-1,1-1
19,2001-01-15,VfB Stuttgart,RB Leipzig,0-2,0-1
19,2001-01-15,1. FSV Mainz 05,VfL Bochum 1848,1-0,0-0
19,2001-01-15,1. FC Köln,FC Bayern München,0-4,0-2
19,2001-01-15,Borussia Mönchengladbach,Bayer 04 Leverkusen,1-2,0-0
19,2001-01-16,FC Augsburg,Eintracht Frankfurt,1-1,1-1
19,2001-01-16,Arminia Bielefeld,SpVgg Greuther Fürth 1903,2-2,1-1
20,2001-01-21,Eintracht Frankfurt,Arminia Bielefeld,0-2,0-2
20,2001-01-22,Bayer 04 Leverkusen,FC Augsburg,5-1,2-0
20,2001-01-22,Borussia Mönchengladbach,1. FC Union Berlin,1-2,1-1
20,2001-01-22,SC Freiburg,VfB Stuttgart,2-0,1-0
20,2001-01-22,TSG 1899 Hoffenheim,Borussia Dortmund,2-3,1-1
20,2001-01-22,SpVgg Greuther Fürth 1903,1. FSV Mainz 05,2-1,1-0
20,2001-01-22,VfL Bochum 1848,1. FC Köln,2-2,1-2
20,2001-01-23,RB Leipzig,VfL Wolfsburg,2-0,0-0
20,2001-01-23,Hertha BSC,FC Bayern München,1-4,0-2
21,2001-02-04,Hertha BSC,VfL Bochum 1848,1-1,1-0
21,2001-02-05,VfB Stuttgart,Eintracht Frankfurt,2-3,1-1
21,2001-02-05,1. FSV Mainz 05,TSG 1899 Hoffenheim,2-0,0-0
21,2001-02-05,FC Augsburg,1. FC Union Berlin,2-0,1-0
21,2001-02-05,Arminia Bielefeld,Borussia Mönchengladbach,1-1,1-1
21,2001-02-05,1. FC Köln,SC Freiburg,1-0,1-0
21,2001-02-05,FC Bayern München,RB Leipzig,3-2,2-1
21,2001-02-06,Borussia Dortmund,Bayer 04 Leverkusen,2-5,1-3
21,2001-02-06,VfL Wolfsburg,SpVgg Greuther Fürth 1903,4-1,1-1
22,2001-02-11,RB Leipzig,1. FC Köln,3-1,1-0
22,2001-02-12,Eintracht Frankfurt,VfL Wolfsburg,0-2,0-1
22,2001-02-12,Borussia Mönchengladbach,FC Augsburg,3-2,1-0
22,2001-02-12,SC Freiburg,1. FSV Mainz 05,1-1,0-1
22,2001-02-12,VfL Bochum 1848,FC Bayern München,4-2,4-1
22,2001-02-12,SpVgg Greuther Fürth 1903,Hertha BSC,2-1,1-0
22,2001-02-12,Bayer 04 Leverkusen,VfB Stuttgart,4-2,1-0
22,2001-02-13,1. FC Union Berlin,Borussia Dortmund,0-3,0-2
22,2001-02-13,TSG 1899 Hoffenheim,Arminia Bielefeld,2-0,1-0
23,2001-02-18,1. FSV Mainz 05,Bayer 04 Leverkusen,3-2,0-1
23,2001-02-19,VfL Wolfsburg,TSG 1899 Hoffenheim,1-2,1-0
23,2001-02-19,VfB Stuttgart,VfL Bochum 1848,1-1,0-0
23,2001-02-19,FC Augsburg,SC Freiburg,1-2,1-2
23,2001-02-19,Arminia Bielefeld,1. FC Union Berlin,1-0,0-0
23,2001-02-19,1. FC Köln,Eintracht Frankfurt,1-0,0-0
23,2001-02-20,FC Bayern München,SpVgg Greuther Fürth 1903,4-1,0-1
23,2001-02-20,Borussia Dortmund,Borussia Mönchengladbach,6-0,2-0
23,2001-02-20,Hertha BSC,RB Leipzig,1-6,0-1
24,2001-02-25,TSG 1899 Hoffenheim,VfB Stuttgart,2-1,0-0
24,2001-02-26,Bayer 04 Leverkusen,Arminia Bielefeld,3-0,1-0
24,2001-02-26,1. FC Union Berlin,1. FSV Mainz 05,3-1,1-0
24,2001-02-26,Borussia Mönchengladbach,VfL Wolfsburg,2-2,1-2
24,2001-02-26,SC Freiburg,Hertha BSC,3-0,1-0
24,2001-02-26,SpVgg Greuther Fürth 1903,1. FC Köln,1-1,0-0
24,2001-02-26,Eintracht Frankfurt,FC Bayern München,0-1,0-0
24,2001-02-27,VfL Bochum 1848,RB Leipzig,0-1,0-0
24,2001-02-27,FC Augsburg,Borussia Dortmund,1-1,0-1
25,2001-03-04,Arminia Bielefeld,FC Augsburg,0-1,0-0
25,2001-03-05,FC Bayern München,Bayer 04 Leverkusen,1-1,1-1
25,2001-03-05,RB Leipzig,SC Freiburg,1-1,0-1
25,2001-03-05,VfL Wolfsburg,1. FC Union Berlin,1-0,1-0
25,2001-03-05,Hertha BSC,Eintracht Frankfurt,1-4,0-1
25,2001-03-05,VfL Bochum 1848,SpVgg Greuther Fürth 1903,2-1,1-0
25,2001-03-05,VfB Stuttgart,Borussia Mönchengladbach,3-2,1-2
25,2001-03-06,1. FC Köln,TSG 1899 Hoffenheim,0-1,0-0
26,2001-03-12,1. FC Union Berlin,VfB Stuttgart,1-1,1-0
26,2001-03-12,SC Freiburg,VfL Wolfsburg,3-2,2-0
26,2001-03-12,TSG 1899 Hoffenheim,FC Bayern München,1-1,1-1
26,2001-03-12,Borussia Mönchengladbach,Hertha BSC,2-0,1-0
26,2001-03-13,Bayer 04 Leverkusen,1. FC Köln,0-1,0-0
26,2001-03-13,Borussia Dortmund,Arminia Bielefeld,1-0,1-0
26,2001-03-13,Eintracht Frankfurt,VfL Bochum 1848,2-1,0-1
26,2001-03-13,SpVgg Greuther Fürth 1903,RB Leipzig,1-6,1-4
25,2001-03-16,1. FSV Mainz 05,Borussia Dortmund,0-1,0-0
27,2001-03-18,VfL Bochum 1848,Borussia Mönchengladbach,0-2,0-0
27,2001-03-19,VfB Stuttgart,FC Augsburg,3-2,1-2
27,2001-03-19,1. FSV Mainz 05,Arminia Bielefeld,4-0,1-0
27,2001-03-19,Hertha BSC,TSG 1899 Hoffenheim,3-0,1-0
27,2001-03-19,SpVgg Greuther Fürth 1903,SC Freiburg,0-0,
27,2001-03-19,FC Bayern München,1. FC Union Berlin,4-0,3-0
27,2001-03-20,RB Leipzig,Eintracht Frankfurt,0-0,
27,2001-03-20,VfL Wolfsburg,Bayer 04 Leverkusen,0-2,0-0
27,2001-03-20,1. FC Köln,Borussia Dortmund,1-1,1-1
28,2001-04-01,1. FC Union Berlin,1. FC Köln,1-0,0-0
28,2001-04-02,Eintracht Frankfurt,SpVgg Greuther Fürth 1903,0-0,
28,2001-04-02,Bayer 04 Leverkusen,Hertha BSC,2-1,2-1
28,2001-04-02,SC Freiburg,FC Bayern München,1-4,0-0
28,2001-04-02,TSG 1899 Hoffenheim,VfL Bochum 1848,1-2,0-1
28,2001-04-02,Arminia Bielefeld,VfB Stuttgart,1-1,0-1
28,2001-04-02,Borussia Dortmund,RB Leipzig,1-4,0-2
28,2001-04-03,FC Augsburg,VfL Wolfsburg,3-0,1-0
28,2001-04-03,Borussia Mönchengladbach,1. FSV Mainz 05,1-1,1-0
26,2001-04-06,FC Augsburg,1. FSV Mainz 05,2-1,1-0
29,2001-04-08,VfB Stuttgart,Borussia Dortmund,0-2,0-1
29,2001-04-09,FC Bayern München,FC Augsburg,1-0,0-0
29,2001-04-09,VfL Wolfsburg,Arminia Bielefeld,4-0,2-0
29,2001-04-09,1. FC Köln,1. FSV Mainz 05,3-2,0-1
29,2001-04-09,SpVgg Greuther Fürth 1903,Borussia Mönchengladbach,0-2,0-2
29,2001-04-09,Hertha BSC,1. FC Union Berlin,1-4,0-1
29,2001-04-10,VfL Bochum 1848,Bayer 04 Leverkusen,0-0,
29,2001-04-10,Eintracht Frankfurt,SC Freiburg,1-2,0-1
29,2001-04-10,RB Leipzig,TSG 1899 Hoffenheim,3-0,3-0
30,2001-04-16,Borussia Dortmund,VfL Wolfsburg,6-1,5-0
30,2001-04-16,SC Freiburg,VfL Bochum 1848,3-0,2-0
30,2001-04-16,1. FSV Mainz 05,VfB Stuttgart,0-0,
30,2001-04-16,FC Augsburg,Hertha BSC,0-1,0-0
30,2001-04-16,Borussia Mönchengladbach,1. FC Köln,1-3,0-3
30,2001-04-17,Arminia Bielefeld,FC Bayern München,0-3,0-2
30,2001-04-17,1. FC Union Berlin,Eintracht Frankfurt,2-0,2-0
30,2001-04-17,TSG 1899 Hoffenheim,SpVgg Greuther Fürth 1903,0-0,
30,2001-04-17,Bayer 04 Leverkusen,RB Leipzig,0-1,0-0
31,2001-04-22,VfL Wolfsburg,1. FSV Mainz 05,5-0,5-0
31,2001-04-23,RB Leipzig,1. FC Union Berlin,1-2,0-0
31,2001-04-23,Eintracht Frankfurt,TSG 1899 Hoffenheim,2-2,1-1
31,2001-04-23,SC Freiburg,Borussia Mönchengladbach,3-3,0-2
31,2001-04-23,1. FC Köln,Arminia Bielefeld,3-1,2-1
31,2001-04-23,SpVgg Greuther Fürth 1903,Bayer 04 Leverkusen,1-4,1-2
31,2001-04-23,FC Bayern München,Borussia Dortmund,3-1,2-0
31,2001-04-24,VfL Bochum 1848,FC Augsburg,0-2,0-2
31,2001-04-24,Hertha BSC,VfB Stuttgart,2-0,1-0
32,2001-04-29,1. FC Union Berlin,SpVgg Greuther Fürth 1903,1-1,0-1
32,2001-04-30,Borussia Dortmund,VfL Bochum 1848,3-4,2-2
32,2001-04-30,VfB Stuttgart,VfL Wolfsburg,1-1,0-1
32,2001-04-30,1. FSV Mainz 05,FC Bayern München,3-1,2-1
32,2001-04-30,FC Augsburg,1. FC Köln,1-4,0-2
32,2001-04-30,Arminia Bielefeld,Hertha BSC,1-1,0-0
32,2001-04-30,TSG 1899 Hoffenheim,SC Freiburg,3-4,1-1
32,2001-05-02,Bayer 04 Leverkusen,Eintracht Frankfurt,2-0,1-0
32,2001-05-02,Borussia Mönchengladbach,RB Leipzig,3-1,2-1
33,2001-05-06,VfL Bochum 1848,Arminia Bielefeld,2-1,1-1
33,2001-05-07,SC Freiburg,1. FC Union Berlin,1-4,0-3
33,2001-05-07,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,2-4,2-1
33,2001-05-07,1. FC Köln,VfL Wolfsburg,0-1,0-1
33,2001-05-07,SpVgg Greuther Fürth 1903,Borussia Dortmund,1-3,0-1
33,2001-05-07,Hertha BSC,1. FSV Mainz 05,1-2,1-1
33,2001-05-08,Eintracht Frankfurt,Borussia Mönchengladbach,1-1,0-1
33,2001-05-08,FC Bayern München,VfB Stuttgart,2-2,2-1
33,2001-05-08,RB Leipzig,FC Augsburg,4-0,1-0
34,2001-05-14,Borussia Dortmund,Hertha BSC,2-1,0-1
34,2001-05-14,Bayer 04 Leverkusen,SC Freiburg,2-1,0-0
34,2001-05-14,1. FC Union Berlin,VfL Bochum 1848,3-2,2-0
34,2001-05-14,Borussia Mönchengladbach,TSG 1899 Hoffenheim,5-1,3-1
34,2001-05-14,VfB Stuttgart,1. FC Köln,2-1,1-0
34,2001-05-14,1. FSV Mainz 05,Eintracht Frankfurt,2-2,1-2
34,2001-05-14,FC Augsburg,SpVgg Greuther Fürth 1903,2-1,1-1
34,2001-05-14,Arminia Bielefeld,RB Leipzig,1-1,0-0
34,2001-05-14,VfL Wolfsburg,FC Bayern München,2-2,1-2
