Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Sat,2018-04-14,Cruzeiro EC,Grêmio FBPA,0-1,0-0
1,Sat,2018-04-14,EC Vitória,CR Flamengo,2-2,1-1
1,Sat,2018-04-14,Santos FC,Ceará SC,2-0,1-0
1,Sun,2025-04-15,América MG,SC Recife,3-0,3-0
1,Sun,2025-04-15,CR Vasco da Gama,CA Mineiro,2-1,0-1
1,Sun,2025-04-15,SC Corinthians Paulista,Fluminense FC,2-1,1-0
1,Sun,2025-04-15,SC Internacional,EC Bahia,2-0,1-0
1,Sun,2025-04-15,Athletico Paranaense,Chapecoense AF,5-1,0-0
1,Mon,2025-04-16,Botafogo FR,SE Palmeiras,1-1,0-0
1,Mon,2025-04-16,São Paulo FC,Paraná Clube,1-0,1-0
2,Sat,2025-04-21,EC Bahia,Santos FC,1-0,0-0
2,Sat,2025-04-21,CR Flamengo,América MG,2-0,2-0
2,Sun,2025-04-22,Paraná Clube,SC Corinthians Paulista,0-4,0-2
2,Sun,2025-04-22,CA Mineiro,EC Vitória,2-1,1-0
2,Sun,2025-04-22,Chapecoense AF,CR Vasco da Gama,1-1,1-0
2,Sun,2025-04-22,Fluminense FC,Cruzeiro EC,1-0,0-0
2,Sun,2025-04-22,Ceará SC,São Paulo FC,0-0,
2,Sun,2025-04-22,SE Palmeiras,SC Internacional,1-0,1-0
2,Sun,2025-04-22,Grêmio FBPA,Athletico Paranaense,0-0,
2,Mon,2025-04-23,SC Recife,Botafogo FR,1-1,0-0
3,Sat,2025-04-28,Botafogo FR,Grêmio FBPA,2-1,1-1
3,Sun,2025-04-29,CA Mineiro,SC Corinthians Paulista,1-0,0-0
3,Sun,2025-04-29,Paraná Clube,SC Recife,1-2,0-1
3,Sun,2025-04-29,EC Bahia,Athletico Paranaense,0-0,
3,Sun,2025-04-29,Fluminense FC,São Paulo FC,1-1,0-1
3,Sun,2025-04-29,Ceará SC,CR Flamengo,0-3,0-1
3,Sun,2025-04-29,SE Palmeiras,Chapecoense AF,0-0,
3,Sun,2025-04-29,SC Internacional,Cruzeiro EC,0-0,
3,Mon,2025-04-30,América MG,EC Vitória,2-1,2-0
3,Thu,2025-09-27,Santos FC,CR Vasco da Gama,1-1,1-0
4,Sat,2025-05-05,CR Vasco da Gama,América MG,4-1,0-1
4,Sat,2025-05-05,São Paulo FC,CA Mineiro,2-2,1-0
4,Sun,2025-05-06,SC Corinthians Paulista,Ceará SC,1-1,1-1
4,Sun,2025-05-06,Cruzeiro EC,Botafogo FR,1-0,0-0
4,Sun,2025-05-06,Athletico Paranaense,SE Palmeiras,1-3,0-1
4,Sun,2025-05-06,EC Vitória,Fluminense FC,1-2,1-0
4,Sun,2025-05-06,CR Flamengo,SC Internacional,2-0,0-0
4,Sun,2025-05-06,SC Recife,EC Bahia,2-0,1-0
4,Sun,2025-05-06,Grêmio FBPA,Santos FC,5-1,2-1
4,Mon,2025-05-07,Chapecoense AF,Paraná Clube,1-1,0-0
5,Sat,2025-05-12,Grêmio FBPA,SC Internacional,0-0,
5,Sun,2025-05-13,Cruzeiro EC,SC Recife,2-0,1-0
5,Sun,2025-05-13,Athletico Paranaense,CA Mineiro,1-2,1-0
