Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Sat,2021-08-21,Inter de Milão,Genoa CFC,4-0,2-0
1,Sat,2021-08-21,Hellas Verona,Sassuolo,2-3,0-1
1,Sat,2021-08-21,Torino,Atalanta,1-2,0-1
1,Sat,2021-08-21,FC Empoli,Lazio,1-3,1-3
1,Sun,2021-08-22,Udinese,Juventus FC,2-2,0-2
1,Sun,2021-08-22,Bologna FC,Salernitana,3-2,0-0
1,Sun,2021-08-22,Roma,Fiorentina,3-1,1-0
1,Sun,2021-08-22,Napoli,Venezia,2-0,0-0
1,Mon,2021-08-23,Cagliari,Spezia,2-2,0-1
1,Mon,2021-08-23,Sampdoria,AC Milan,0-1,0-1
2,Fri,2021-08-27,Udinese,Venezia,3-0,1-0
2,Fri,2021-08-27,Hellas Verona,Inter de Milão,1-3,1-0
2,Sat,2021-08-28,Lazio,Spezia,6-1,3-1
2,Sat,2021-08-28,Atalanta,Bologna FC,0-0,
2,Sat,2021-08-28,Juventus FC,FC Empoli,0-1,0-1
2,Sat,2021-08-28,Fiorentina,Torino,2-1,1-0
2,Sun,2021-08-29,Sassuolo,Sampdoria,0-0,
2,Sun,2021-08-29,Genoa CFC,Napoli,1-2,0-1
2,Sun,2021-08-29,Salernitana,Roma,0-4,0-0
2,Sun,2021-08-29,AC Milan,Cagliari,4-1,4-1
3,Sat,2021-09-11,FC Empoli,Venezia,1-2,0-1
3,Sat,2021-09-11,Napoli,Juventus FC,2-1,0-1
3,Sat,2021-09-11,Atalanta,Fiorentina,1-2,0-1
3,Sun,2021-09-12,Sampdoria,Inter de Milão,2-2,1-2
3,Sun,2021-09-12,Torino,Salernitana,4-0,1-0
3,Sun,2021-09-12,Spezia,Udinese,0-1,0-0
3,Sun,2021-09-12,Cagliari,Genoa CFC,2-3,1-0
3,Sun,2021-09-12,AC Milan,Lazio,2-0,1-0
3,Sun,2021-09-12,Roma,Sassuolo,2-1,1-0
3,Mon,2021-09-13,Bologna FC,Hellas Verona,1-0,0-0
4,Fri,2021-09-17,Sassuolo,Torino,0-1,0-0
4,Sat,2021-09-18,Genoa CFC,Fiorentina,1-2,0-0
4,Sat,2021-09-18,Inter de Milão,Bologna FC,6-1,3-0
4,Sat,2021-09-18,Salernitana,Atalanta,0-1,0-0
4,Sun,2021-09-19,FC Empoli,Sampdoria,0-3,0-1
4,Sun,2021-09-19,Venezia,Spezia,1-2,0-1
4,Sun,2021-09-19,Lazio,Cagliari,2-2,1-0
4,Sun,2021-09-19,Hellas Verona,Roma,3-2,0-1
4,Sun,2021-09-19,Juventus FC,AC Milan,1-1,1-0
4,Mon,2021-09-20,Udinese,Napoli,0-4,0-2
5,Tue,2021-09-21,Bologna FC,Genoa CFC,2-2,0-0
5,Tue,2021-09-21,Fiorentina,Inter de Milão,1-3,1-0
5,Tue,2021-09-21,Atalanta,Sassuolo,2-1,2-1
5,Wed,2021-09-22,Spezia,Juventus FC,2-3,1-1
5,Wed,2021-09-22,Salernitana,Hellas Verona,2-2,1-2
5,Wed,2021-09-22,AC Milan,Venezia,2-0,0-0
5,Wed,2021-09-22,Cagliari,FC Empoli,0-2,0-1
5,Thu,2021-09-23,Torino,Lazio,1-1,0-0
5,Thu,2021-09-23,Sampdoria,Napoli,0-4,0-2
5,Thu,2021-09-23,Roma,Udinese,1-0,1-0
6,Sat,2021-09-25,Spezia,AC Milan,1-2,0-0
6,Sat,2021-09-25,Inter de Milão,Atalanta,2-2,1-2
6,Sat,2021-09-25,Genoa CFC,Hellas Verona,3-3,0-1
6,Sun,2021-09-26,Juventus FC,Sampdoria,3-2,2-1
6,Sun,2021-09-26,FC Empoli,Bologna FC,4-2,2-1
6,Sun,2021-09-26,Udinese,Fiorentina,0-1,0-1
6,Sun,2021-09-26,Sassuolo,Salernitana,1-0,0-0
6,Sun,2021-09-26,Lazio,Roma,3-2,2-1
6,Sun,2021-09-26,Napoli,Cagliari,2-0,1-0
6,Mon,2021-09-27,Venezia,Torino,1-1,0-0
7,Fri,2021-10-01,Cagliari,Venezia,1-1,1-0
7,Sat,2021-10-02,Salernitana,Genoa CFC,1-0,0-0
7,Sat,2021-10-02,Torino,Juventus FC,0-1,0-0
7,Sat,2021-10-02,Sassuolo,Inter de Milão,1-2,1-0
7,Sun,2021-10-03,Bologna FC,Lazio,3-0,2-0
7,Sun,2021-10-03,Sampdoria,Udinese,3-3,1-2
7,Sun,2021-10-03,Hellas Verona,Spezia,4-0,3-0
7,Sun,2021-10-03,Roma,FC Empoli,2-0,1-0
7,Sun,2021-10-03,Fiorentina,Napoli,1-2,1-1
7,Sun,2021-10-03,Atalanta,AC Milan,2-3,0-2
8,Sat,2021-10-16,Spezia,Salernitana,2-1,0-1
8,Sat,2021-10-16,Lazio,Inter de Milão,3-1,0-1
8,Sat,2021-10-16,AC Milan,Hellas Verona,3-2,0-2
8,Sun,2021-10-17,Cagliari,Sampdoria,3-1,1-0
8,Sun,2021-10-17,Udinese,Bologna FC,1-1,0-0
8,Sun,2021-10-17,Genoa CFC,Sassuolo,2-2,1-2
8,Sun,2021-10-17,FC Empoli,Atalanta,1-4,1-2
8,Sun,2021-10-17,Napoli,Torino,1-0,0-0
8,Sun,2021-10-17,Juventus FC,Roma,1-0,1-0
8,Mon,2021-10-18,Venezia,Fiorentina,1-0,1-0
9,Fri,2021-10-22,Torino,Genoa CFC,3-2,2-0
9,Fri,2021-10-22,Sampdoria,Spezia,2-1,2-0
9,Sat,2021-10-23,Salernitana,FC Empoli,2-4,0-4
9,Sat,2021-10-23,Sassuolo,Venezia,3-1,1-1
9,Sat,2021-10-23,Bologna FC,AC Milan,2-4,0-2
9,Sun,2021-10-24,Atalanta,Udinese,1-1,0-0
9,Sun,2021-10-24,Hellas Verona,Lazio,4-1,2-0
9,Sun,2021-10-24,Fiorentina,Cagliari,3-0,2-0
9,Sun,2021-10-24,Roma,Napoli,0-0,
9,Sun,2021-10-24,Inter de Milão,Juventus FC,1-1,1-0
10,Tue,2021-10-26,Venezia,Salernitana,1-2,1-0
10,Tue,2021-10-26,Spezia,Genoa CFC,1-1,0-0
10,Tue,2021-10-26,AC Milan,Torino,1-0,1-0
10,Wed,2021-10-27,Udinese,Hellas Verona,1-1,1-0
10,Wed,2021-10-27,Juventus FC,Sassuolo,1-2,0-1
10,Wed,2021-10-27,Sampdoria,Atalanta,1-3,1-2
10,Wed,2021-10-27,Lazio,Fiorentina,1-0,0-0
10,Wed,2021-10-27,FC Empoli,Inter de Milão,0-2,0-1
10,Wed,2021-10-27,Cagliari,Roma,1-2,0-0
10,Thu,2021-10-28,Napoli,Bologna FC,3-0,2-0
11,Sat,2021-10-30,Atalanta,Lazio,2-2,1-1
11,Sat,2021-10-30,Hellas Verona,Juventus FC,2-1,2-0
11,Sat,2021-10-30,Torino,Sampdoria,3-0,1-0
11,Sun,2021-10-31,Inter de Milão,Udinese,2-0,0-0
11,Sun,2021-10-31,Sassuolo,FC Empoli,1-2,1-0
11,Sun,2021-10-31,Genoa CFC,Venezia,0-0,
