Matchday,Day,Date,Home,Away,FullTime,HalfTime
23,Sun,2017-02-05,Empoli FC,Torino,1-1,1-1
23,Sun,2017-02-05,Chievo Verona,Udinese,0-0,
23,Sun,2017-02-05,US Palermo,FC Crotone,1-0,1-0
23,Sun,2017-02-05,Juventus FC,Inter de Milão,1-0,1-0
23,Tue,2017-02-07,Roma,Fiorentina,4-0,1-0
24,Fri,2017-02-10,Napoli,Genoa CFC,2-0,0-0
24,Sat,2017-02-11,Fiorentina,Udinese,3-0,1-0
24,Sun,2017-02-12,FC Crotone,Roma,0-2,0-1
24,Sun,2017-02-12,US Palermo,Atalanta,1-3,1-2
24,Sun,2017-02-12,Sassuolo,Chievo Verona,1-3,1-1
24,Sun,2017-02-12,Inter de Milão,Empoli FC,2-0,1-0
24,Sun,2017-02-12,Torino,Delfino Pescara,5-3,3-0
24,Sun,2017-02-12,Sampdoria,Bologna FC,3-1,0-1
24,Sun,2017-02-12,Cagliari,Juventus FC,0-2,0-1
24,Mon,2017-02-13,Lazio,AC Milan,1-1,1-0
25,Fri,2017-02-17,Juventus FC,US Palermo,4-1,2-0
25,Sat,2017-02-18,Atalanta,FC Crotone,1-0,0-0
25,Sat,2017-02-18,Empoli FC,Lazio,1-2,0-0
25,Sun,2017-02-19,Bologna FC,Inter de Milão,0-1,0-0
25,Sun,2017-02-19,Sampdoria,Cagliari,1-1,1-1
25,Sun,2017-02-19,Delfino Pescara,Genoa CFC,5-0,3-0
25,Sun,2017-02-19,Chievo Verona,Napoli,1-3,0-2
25,Sun,2017-02-19,Udinese,Sassuolo,1-2,1-0
25,Sun,2017-02-19,Roma,Torino,4-1,2-0
25,Sun,2017-02-19,AC Milan,Fiorentina,2-1,2-1
26,Sat,2017-02-25,Napoli,Atalanta,0-2,0-1
26,Sat,2017-02-25,Juventus FC,Empoli FC,2-0,0-0
26,Sun,2017-02-26,US Palermo,Sampdoria,1-1,1-0
26,Sun,2017-02-26,Genoa CFC,Bologna FC,1-1,0-0
26,Sun,2017-02-26,FC Crotone,Cagliari,1-2,1-1
26,Sun,2017-02-26,Sassuolo,AC Milan,0-1,0-1
26,Sun,2017-02-26,Chievo Verona,Delfino Pescara,2-0,1-0
26,Sun,2017-02-26,Lazio,Udinese,1-0,0-0
26,Sun,2017-02-26,Inter de Milão,Roma,1-3,0-1
26,Mon,2017-02-27,Fiorentina,Torino,2-2,2-0
27,Sat,2017-03-04,Roma,Napoli,1-2,0-1
27,Sat,2017-03-04,Sampdoria,Delfino Pescara,3-1,1-1
27,Sat,2017-03-04,AC Milan,Chievo Verona,3-1,1-1
27,Sun,2017-03-05,Atalanta,Fiorentina,0-0,
27,Sun,2017-03-05,Empoli FC,Genoa CFC,0-2,0-0
27,Sun,2017-03-05,Cagliari,Inter de Milão,1-5,1-2
27,Sun,2017-03-05,Udinese,Juventus FC,1-1,1-0
27,Sun,2017-03-05,Torino,US Palermo,3-1,0-1
27,Sun,2017-03-05,FC Crotone,Sassuolo,0-0,
27,Sun,2017-03-05,Bologna FC,Lazio,0-2,0-1
28,Fri,2017-03-10,Juventus FC,AC Milan,2-1,1-1
28,Sat,2017-03-11,Genoa CFC,Sampdoria,0-1,0-0
28,Sun,2017-03-12,Sassuolo,Bologna FC,0-1,0-0
28,Sun,2017-03-12,Inter de Milão,Atalanta,7-1,5-1
28,Sun,2017-03-12,Fiorentina,Cagliari,1-0,0-0
28,Sun,2017-03-12,Napoli,FC Crotone,3-0,1-0
28,Sun,2017-03-12,Chievo Verona,Empoli FC,4-0,2-0
28,Sun,2017-03-12,Delfino Pescara,Udinese,1-3,0-1
28,Sun,2017-03-12,US Palermo,Roma,0-3,0-1
28,Mon,2017-03-13,Lazio,Torino,3-1,0-0
29,Sat,2017-03-18,Torino,Inter de Milão,2-2,1-1
29,Sat,2017-03-18,AC Milan,Genoa CFC,1-0,1-0
29,Sun,2017-03-19,Empoli FC,Napoli,2-3,0-3
29,Sun,2017-03-19,Bologna FC,Chievo Verona,4-1,0-1
29,Sun,2017-03-19,FC Crotone,Fiorentina,0-1,0-0
29,Sun,2017-03-19,Sampdoria,Juventus FC,0-1,0-1
29,Sun,2017-03-19,Cagliari,Lazio,0-0,
29,Sun,2017-03-19,Atalanta,Delfino Pescara,3-0,1-0
29,Sun,2017-03-19,Udinese,US Palermo,4-1,1-1
29,Sun,2017-03-19,Roma,Sassuolo,3-1,2-1
30,Sat,2017-04-01,Sassuolo,Lazio,1-2,1-1
30,Sat,2017-04-01,Roma,Empoli FC,2-0,1-0
30,Sun,2017-04-02,Torino,Udinese,2-2,0-0
30,Sun,2017-04-02,Genoa CFC,Atalanta,0-5,0-2
30,Sun,2017-04-02,Fiorentina,Bologna FC,1-0,0-0
30,Sun,2017-04-02,US Palermo,Cagliari,1-3,1-0
30,Sun,2017-04-02,Chievo Verona,FC Crotone,1-2,0-0
30,Sun,2017-04-02,Delfino Pescara,AC Milan,1-1,1-1
30,Sun,2017-04-02,Napoli,Juventus FC,1-1,0-1
30,Mon,2017-04-03,Inter de Milão,Sampdoria,1-2,1-0
31,Sat,2017-04-08,Empoli FC,Delfino Pescara,1-1,1-1
31,Sat,2017-04-08,Atalanta,Sassuolo,1-1,0-1
31,Sat,2017-04-08,Juventus FC,Chievo Verona,2-0,1-0
31,Sun,2017-04-09,Sampdoria,Fiorentina,2-2,1-0
31,Sun,2017-04-09,Udinese,Genoa CFC,3-0,2-0
31,Sun,2017-04-09,FC Crotone,Inter de Milão,2-1,2-0
31,Sun,2017-04-09,AC Milan,US Palermo,4-0,3-0
31,Sun,2017-04-09,Bologna FC,Roma,0-3,0-2
31,Sun,2017-04-09,Cagliari,Torino,2-3,1-2
31,Sun,2017-04-09,Lazio,Napoli,0-3,0-1
32,Sat,2017-04-15,Inter de Milão,AC Milan,2-2,2-0
32,Sat,2017-04-15,Roma,Atalanta,1-1,0-1
32,Sat,2017-04-15,US Palermo,Bologna FC,0-0,
32,Sat,2017-04-15,Cagliari,Chievo Verona,4-0,3-0
32,Sat,2017-04-15,Torino,FC Crotone,1-1,0-0
32,Sat,2017-04-15,Fiorentina,Empoli FC,1-2,0-1
32,Sat,2017-04-15,Delfino Pescara,Juventus FC,0-2,0-2
32,Sat,2017-04-15,Genoa CFC,Lazio,2-2,1-1
32,Sat,2017-04-15,Sassuolo,Sampdoria,2-1,0-1
32,Sat,2017-04-15,Napoli,Udinese,3-0,0-0
33,Sat,2017-04-22,Atalanta,Bologna FC,3-2,2-1
33,Sat,2017-04-22,Fiorentina,Inter de Milão,5-4,1-2
33,Sun,2017-04-23,Sassuolo,Napoli,2-2,0-0
33,Sun,2017-04-23,Udinese,Cagliari,2-1,0-0
33,Sun,2017-04-23,Sampdoria,FC Crotone,1-2,1-0
33,Sun,2017-04-23,AC Milan,Empoli FC,1-2,0-1
33,Sun,2017-04-23,Lazio,US Palermo,6-2,5-0
33,Sun,2017-04-23,Chievo Verona,Torino,1-3,0-0
33,Sun,2017-04-23,Juventus FC,Genoa CFC,4-0,3-0
33,Mon,2017-04-24,Delfino Pescara,Roma,1-4,0-2
34,Fri,2017-04-28,Atalanta,Juventus FC,2-2,1-0
34,Sat,2017-04-29,Torino,Sampdoria,1-1,0-1
34,Sun,2017-04-30,Roma,Lazio,1-3,1-1
34,Sun,2017-04-30,Genoa CFC,Chievo Verona,1-2,1-0
34,Sun,2017-04-30,US Palermo,Fiorentina,2-0,1-0
34,Sun,2017-04-30,FC Crotone,AC Milan,1-1,1-0
34,Sun,2017-04-30,Cagliari,Delfino Pescara,1-0,1-0
34,Sun,2017-04-30,Empoli FC,Sassuolo,1-3,1-2
34,Sun,2017-04-30,Bologna FC,Udinese,4-0,2-0
34,Sun,2017-04-30,Inter de Milão,Napoli,0-1,0-1
35,Sat,2017-05-06,Napoli,Cagliari,3-1,1-0
35,Sat,2017-05-06,Juventus FC,Torino,1-1,0-0
35,Sun,2017-05-07,Udinese,Atalanta,1-1,0-1
35,Sun,2017-05-07,Empoli FC,Bologna FC,3-1,2-1
35,Sun,2017-05-07,Delfino Pescara,FC Crotone,0-1,0-0
35,Sun,2017-05-07,Sassuolo,Fiorentina,2-2,0-1
35,Sun,2017-05-07,Genoa CFC,Inter de Milão,1-0,0-0
35,Sun,2017-05-07,Chievo Verona,US Palermo,1-1,0-0
35,Sun,2017-05-07,Lazio,Sampdoria,7-3,5-1
35,Sun,2017-05-07,AC Milan,Roma,1-4,0-2
36,Sat,2017-05-13,Fiorentina,Lazio,3-2,0-0
36,Sat,2017-05-13,Atalanta,AC Milan,1-1,1-0
36,Sun,2017-05-14,Inter de Milão,Sassuolo,1-2,0-1
36,Sun,2017-05-14,Sampdoria,Chievo Verona,1-1,1-0
36,Sun,2017-05-14,Cagliari,Empoli FC,3-2,3-0
36,Sun,2017-05-14,US Palermo,Genoa CFC,1-0,1-0
36,Sun,2017-05-14,Torino,Napoli,0-5,0-1
36,Sun,2017-05-14,Bologna FC,Delfino Pescara,3-1,1-1
36,Sun,2017-05-14,FC Crotone,Udinese,1-0,1-0
36,Sun,2017-05-14,Roma,Juventus FC,3-1,1-1
37,Sat,2017-05-20,Chievo Verona,Roma,3-5,2-2
37,Sat,2017-05-20,Napoli,Fiorentina,4-1,2-0
37,Sun,2017-05-21,Empoli FC,Atalanta,0-1,0-1
37,Sun,2017-05-21,AC Milan,Bologna FC,3-0,0-0
37,Sun,2017-05-21,Sassuolo,Cagliari,6-2,4-1
37,Sun,2017-05-21,Juventus FC,FC Crotone,3-0,2-0
37,Sun,2017-05-21,Udinese,Sampdoria,1-1,1-0
37,Sun,2017-05-21,Genoa CFC,Torino,2-1,1-0
37,Sun,2017-05-21,Lazio,Inter de Milão,1-3,1-2
37,Mon,2017-05-22,Delfino Pescara,US Palermo,2-0,1-0
38,Sat,2017-05-27,Atalanta,Chievo Verona,1-0,0-0
38,Sat,2017-05-27,Bologna FC,Juventus FC,1-2,0-0
38,Sun,2017-05-28,Cagliari,AC Milan,2-1,1-0
38,Sun,2017-05-28,Roma,Genoa CFC,3-2,1-1
38,Sun,2017-05-28,Sampdoria,Napoli,2-4,0-2
38,Sun,2017-05-28,US Palermo,Empoli FC,2-1,0-0
38,Sun,2017-05-28,FC Crotone,Lazio,3-1,2-1
38,Sun,2017-05-28,Fiorentina,Delfino Pescara,2-2,0-1
38,Sun,2017-05-28,Torino,Sassuolo,5-3,3-2
38,Sun,2017-05-28,Inter de Milão,Udinese,5-2,3-0
