Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Sat,2013-08-24,Hellas Verona,AC Milan,2-1,1-1
1,Sat,2013-08-24,Sampdoria,Juventus FC,0-1,0-0
1,Sun,2013-08-25,Inter de Milão,Genoa CFC,2-0,0-0
1,Sun,2013-08-25,Cagliari,Atalanta,2-1,1-1
1,Sun,2013-08-25,Lazio,Udinese,2-1,2-0
1,Sun,2013-08-25,US Livorno 1915,Roma,0-2,0-0
1,Sun,2013-08-25,Napoli,Bologna FC,3-0,2-0
1,Sun,2013-08-25,Parma Calcio 1913,AC Chievo Verona,0-0,
1,Sun,2013-08-25,Torino,Sassuolo,2-0,1-0
1,Mon,2013-08-26,Fiorentina,Catania,2-1,2-1
2,Sat,2013-08-31,AC Chievo Verona,Napoli,2-4,2-2
2,Sat,2013-08-31,Juventus FC,Lazio,4-1,2-1
2,Sun,2013-09-01,Roma,Hellas Verona,3-0,0-0
2,Sun,2013-09-01,Atalanta,Torino,2-0,0-0
2,Sun,2013-09-01,Bologna FC,Sampdoria,2-2,1-1
2,Sun,2013-09-01,Catania,Inter de Milão,0-3,0-1
2,Sun,2013-09-01,Genoa CFC,Fiorentina,2-5,0-3
2,Sun,2013-09-01,AC Milan,Cagliari,3-1,2-1
2,Sun,2013-09-01,Sassuolo,US Livorno 1915,1-4,0-1
2,Sun,2013-09-01,Udinese,Parma Calcio 1913,3-1,1-0
3,Sat,2013-09-14,Inter de Milão,Juventus FC,1-1,0-0
3,Sat,2013-09-14,Napoli,Atalanta,2-0,0-0
3,Sat,2013-09-14,Torino,AC Milan,2-2,0-0
3,Sun,2013-09-15,Fiorentina,Cagliari,1-1,0-0
3,Sun,2013-09-15,Hellas Verona,Sassuolo,2-0,1-0
3,Sun,2013-09-15,Lazio,AC Chievo Verona,3-0,3-0
3,Sun,2013-09-15,US Livorno 1915,Catania,2-0,0-0
3,Sun,2013-09-15,Udinese,Bologna FC,1-1,0-0
3,Sun,2013-09-15,Sampdoria,Genoa CFC,0-3,0-1
3,Mon,2013-09-16,Parma Calcio 1913,Roma,1-3,1-0
4,Sat,2013-09-21,Cagliari,Sampdoria,2-2,1-0
4,Sat,2013-09-21,AC Chievo Verona,Udinese,2-1,2-1
4,Sat,2013-09-21,Genoa CFC,US Livorno 1915,0-0,
4,Sun,2013-09-22,Sassuolo,Inter de Milão,0-7,0-3
4,Sun,2013-09-22,Atalanta,Fiorentina,0-2,0-1
4,Sun,2013-09-22,Bologna FC,Torino,1-2,1-2
4,Sun,2013-09-22,Catania,Parma Calcio 1913,0-0,
