Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Sat,2015-08-22,Hellas Verona,AS Roma,1-1,0-0
1,Sat,2015-08-22,Lazio Roma,Bologna FC,2-1,2-1
1,Sun,2015-08-23,Juventus,Udinese Calcio,0-1,0-0
1,Sun,2015-08-23,Empoli FC,Chievo Verona,1-3,1-0
1,Sun,2015-08-23,ACF Fiorentina,AC Milan,2-0,1-0
1,Sun,2015-08-23,Frosinone Calcio,Torino FC,1-2,1-0
1,Sun,2015-08-23,Inter,Atalanta,1-0,0-0
1,Sun,2015-08-23,US Palermo,Genoa CFC,1-0,0-0
1,Sun,2015-08-23,Sampdoria,Carpi FC,5-2,5-1
1,Sun,2015-08-23,Sassuolo Calcio,SSC Napoli,2-1,1-1
2,Sat,2015-08-29,Bologna FC,Sassuolo Calcio,0-1,0-0
2,Sat,2015-08-29,AC Milan,Empoli FC,2-1,1-1
2,Sun,2015-08-30,AS Roma,Juventus,2-1,0-0
2,Sun,2015-08-30,Atalanta,Frosinone Calcio,2-0,1-0
2,Sun,2015-08-30,Carpi FC,Inter,1-2,0-1
2,Sun,2015-08-30,Chievo Verona,Lazio Roma,4-0,3-0
2,Sun,2015-08-30,Genoa CFC,Hellas Verona,2-0,0-0
2,Sun,2015-08-30,SSC Napoli,Sampdoria,2-2,2-0
2,Sun,2015-08-30,Torino FC,ACF Fiorentina,3-1,0-1
2,Sun,2015-08-30,Udinese Calcio,US Palermo,0-1,0-1
3,Sat,2015-09-12,ACF Fiorentina,Genoa CFC,1-0,0-0
3,Sat,2015-09-12,Frosinone Calcio,AS Roma,0-2,0-1
3,Sat,2015-09-12,Juventus,Chievo Verona,1-1,0-1
3,Sun,2015-09-13,Hellas Verona,Torino FC,2-2,0-0
3,Sun,2015-09-13,Empoli FC,SSC Napoli,2-2,2-1
3,Sun,2015-09-13,US Palermo,Carpi FC,2-2,1-1
3,Sun,2015-09-13,Sassuolo Calcio,Atalanta,2-2,2-2
3,Sun,2015-09-13,Lazio Roma,Udinese Calcio,2-0,0-0
3,Sun,2015-09-13,Inter,AC Milan,1-0,0-0
3,Mon,2015-09-14,Sampdoria,Bologna FC,2-0,0-0
4,Sat,2015-09-19,Udinese Calcio,Empoli FC,1-2,1-0
4,Sat,2015-09-19,AC Milan,US Palermo,3-2,2-1
4,Sun,2015-09-20,Chievo Verona,Inter,0-1,0-1
4,Sun,2015-09-20,Atalanta,Hellas Verona,1-1,0-0
4,Sun,2015-09-20,Bologna FC,Frosinone Calcio,1-0,1-0
4,Sun,2015-09-20,Genoa CFC,Juventus,0-2,0-1
4,Sun,2015-09-20,AS Roma,Sassuolo Calcio,2-2,1-2
4,Sun,2015-09-20,Torino FC,Sampdoria,2-0,2-0
4,Sun,2015-09-20,Carpi FC,ACF Fiorentina,0-1,0-1
4,Sun,2015-09-20,SSC Napoli,Lazio Roma,5-0,2-0
5,Tue,2015-09-22,Udinese Calcio,AC Milan,2-3,0-3
5,Wed,2015-09-23,Carpi FC,SSC Napoli,0-0,
5,Wed,2015-09-23,Chievo Verona,Torino FC,1-0,0-0
5,Wed,2015-09-23,Inter,Hellas Verona,1-0,0-0
5,Wed,2015-09-23,Juventus,Frosinone Calcio,1-1,0-0
5,Wed,2015-09-23,Lazio Roma,Genoa CFC,2-0,1-0
5,Wed,2015-09-23,US Palermo,Sassuolo Calcio,0-1,0-1
5,Wed,2015-09-23,Sampdoria,AS Roma,2-1,0-0
5,Wed,2015-09-23,ACF Fiorentina,Bologna FC,2-0,0-0
5,Thu,2015-09-24,Empoli FC,Atalanta,0-1,0-1
6,Sat,2015-09-26,AS Roma,Carpi FC,5-1,3-1
6,Sat,2015-09-26,SSC Napoli,Juventus,2-1,1-0
6,Sun,2015-09-27,Genoa CFC,AC Milan,1-0,1-0
6,Sun,2015-09-27,Bologna FC,Udinese Calcio,1-2,1-0
6,Sun,2015-09-27,Hellas Verona,Lazio Roma,1-2,1-0
6,Sun,2015-09-27,Sassuolo Calcio,Chievo Verona,1-1,1-1
6,Sun,2015-09-27,Torino FC,US Palermo,2-1,1-0
6,Sun,2015-09-27,Inter,ACF Fiorentina,1-4,0-3
6,Mon,2015-09-28,Frosinone Calcio,Empoli FC,2-0,0-0
