Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PinnacleHomeOpen,PinnacleDrawOpen,PinnacleAwayOpen,AvgHomeOpen,AvgDrawOpen,AvgAwayOpen,MaxHomeOpen,MaxDrawOpen,MaxAwayOpen,Bet365HomeOpen,Bet365DrawOpen,Bet365AwayOpen,Bet365Over25Open,Bet365Under25Open,PinnacleOver25Open,PinnacleUnder25Open,AvgOver25Open,AvgUnder25Open,PinnacleHomeClose,PinnacleDrawClose,PinnacleAwayClose,AvgHomeClose,AvgDrawClose,AvgAwayClose,MaxHomeClose,MaxDrawClose,MaxAwayClose,Bet365HomeClose,Bet365DrawClose,Bet365AwayClose
1,Fri,2017-08-11,Arsenal,Leicester,4-3,2-2,,4,3,H,2,2,D,27,6,10,3,9,12,9,4,0,1,0,0,1.53,4.55,6.85,,,,,,,1.53,4.5,6.5,,,,,,,1.49,4.73,7.25,,,,,,,,,
1,Sat,2017-08-12,Brighton & Hove Albion,Manchester City,0-2,0-0,,0,2,A,0,0,D,6,14,2,4,6,9,3,10,0,2,0,0,10.95,5.55,1.34,,,,,,,11.0,5.5,1.33,,,,,,,11.75,6.15,1.29,,,,,,,,,
1,Sat,2017-08-12,Chelsea,Burnley,2-3,0-3,,2,3,A,0,3,A,19,10,6,5,16,11,8,5,3,3,2,0,1.26,6.3,15.25,,,,,,,1.25,6.5,15.0,,,,,,,1.33,5.4,12.25,,,,,,,,,
1,Sat,2017-08-12,Crystal Palace,Huddersfield Town,0-3,0-2,,0,3,A,0,2,A,14,8,4,6,7,19,12,9,1,3,0,0,1.83,3.58,5.11,,,,,,,1.83,3.6,5.0,,,,,,,1.79,3.56,5.51,,,,,,,,,
1,Sat,2017-08-12,Everton,Stoke City,1-0,1-0,,1,0,H,1,0,H,9,9,4,1,13,10,6,7,1,1,0,0,1.7,3.83,5.81,,,,,,,1.7,3.8,5.75,,,,,,,1.82,3.49,5.42,,,,,,,,,
1,Sat,2017-08-12,Southampton FC,Swansea City,0-0,0-0,,0,0,D,0,0,D,29,4,2,0,10,13,13,0,2,1,0,0,1.64,3.94,6.35,,,,,,,1.62,4.0,6.5,,,,,,,1.56,4.25,6.85,,,,,,,,,
1,Sat,2017-08-12,Watford,Liverpool,3-3,2-1,,3,3,D,2,1,H,9,14,4,5,14,8,3,3,0,3,0,0,5.74,4.29,1.63,,,,,,,6.0,4.2,1.62,,,,,,,6.88,4.27,1.56,,,,,,,,,
1,Sat,2017-08-12,West Bromwich Albion,AFC Bournemouth,1-0,1-0,,1,0,H,1,0,H,16,9,6,2,15,3,8,2,3,1,0,0,2.46,3.25,3.26,,,,,,,2.4,3.3,3.3,,,,,,,2.65,3.21,3.02,,,,,,,,,
1,Sun,2017-08-13,Manchester United,West Ham United,4-0,1-0,,4,0,H,1,0,H,22,9,6,1,19,7,11,1,2,2,0,0,1.33,5.68,10.85,,,,,,,1.3,5.75,12.0,,,,,,,1.31,5.79,12.01,,,,,,,,,
1,Sun,2017-08-13,Newcastle United,Tottenham,0-2,0-0,,0,2,A,0,0,D,6,18,3,6,6,10,5,7,1,2,1,0,5.35,4.0,1.71,,,,,,,5.5,4.0,1.7,,,,,,,4.82,3.9,1.8,,,,,,,,,
2,Sat,2017-08-19,AFC Bournemouth,Watford,0-2,0-0,,0,2,A,0,0,D,6,19,2,7,6,14,8,5,1,3,0,0,1.98,3.63,4.16,,,,,,,2.0,3.6,4.0,,,,,,,2.1,3.52,3.84,,,,,,,,,
2,Sat,2017-08-19,Burnley,West Bromwich Albion,0-1,0-0,,0,1,A,0,0,D,20,8,0,1,11,11,5,5,1,0,0,1,2.64,3.17,3.07,,,,,,,2.63,3.2,3.0,,,,,,,2.75,3.01,3.09,,,,,,,,,
2,Sat,2017-08-19,Leicester,Brighton & Hove Albion,2-0,1-0,,2,0,H,1,0,H,14,5,4,2,8,10,6,2,1,0,0,0,1.74,3.85,5.43,,,,,,,1.73,3.8,5.5,,,,,,,1.76,3.73,5.45,,,,,,,,,
2,Sat,2017-08-19,Liverpool,Crystal Palace,1-0,0-0,,1,0,H,0,0,D,23,4,13,1,12,13,4,2,1,3,0,0,1.39,5.24,9.27,,,,,,,1.36,5.25,9.5,,,,,,,1.39,5.31,9.0,,,,,,,,,
2,Sat,2017-08-19,Southampton FC,West Ham United,3-2,2-1,,3,2,H,2,1,H,14,16,5,8,18,10,7,2,1,1,0,1,1.71,3.96,5.43,,,,,,,1.75,3.8,5.25,,,,,,,1.7,4.02,5.45,,,,,,,,,
2,Sat,2017-08-19,Stoke City,Arsenal,1-0,0-0,,1,0,H,0,0,D,11,18,4,6,6,11,2,9,0,0,0,0,4.39,3.85,1.88,,,,,,,4.5,3.8,1.85,,,,,,,4.37,3.92,1.86,,,,,,,,,
2,Sat,2017-08-19,Swansea City,Manchester United,0-4,0-1,,0,4,A,0,1,A,6,17,1,8,12,11,3,5,1,1,0,0,12.01,5.33,1.33,,,,,,,11.0,5.0,1.36,,,,,,,11.55,5.25,1.34,,,,,,,,,
2,Sun,2017-08-20,Huddersfield Town,Newcastle United,1-0,0-0,,1,0,H,0,0,D,7,13,3,5,13,10,7,3,3,4,0,0,2.51,3.31,3.13,,,,,,,2.5,3.25,3.2,,,,,,,2.83,3.21,2.81,,,,,,,,,
2,Sun,2017-08-20,Tottenham,Chelsea,1-2,0-1,,1,2,A,0,1,A,18,9,6,2,14,21,14,3,3,3,0,0,2.08,3.58,3.85,,,,,,,2.1,3.6,3.75,,,,,,,2.16,3.36,3.84,,,,,,,,,
2,Mon,2017-08-21,Manchester City,Everton,1-1,0-1,,1,1,D,0,1,A,19,7,6,2,7,9,7,1,1,2,1,1,1.31,5.88,11.27,,,,,,,1.33,5.75,10.0,,,,,,,1.3,6.15,11.1,,,,,,,,,
3,Sat,2017-08-26,AFC Bournemouth,Manchester City,1-2,1-1,,1,2,A,1,1,D,9,19,3,8,13,14,2,5,5,4,0,1,11.14,5.79,1.32,,,,,,,11.0,6.0,1.3,,,,,,,12.0,6.75,1.27,,,,,,,,,
3,Sat,2017-08-26,Crystal Palace,Swansea City,0-2,0-1,,0,2,A,0,1,A,16,7,3,3,9,6,1,1,4,1,0,0,1.99,3.43,4.41,,,,,,,1.95,3.5,4.33,,,,,,,2.12,3.3,4.09,,,,,,,,,
3,Sat,2017-08-26,Huddersfield Town,Southampton FC,0-0,0-0,,0,0,D,0,0,D,16,6,6,3,10,10,5,4,0,1,0,0,4.01,3.45,2.08,,,,,,,3.9,3.4,2.1,,,,,,,4.21,3.48,2.02,,,,,,,,,
3,Sat,2017-08-26,Manchester United,Leicester,2-0,0-0,,2,0,H,0,0,D,22,11,7,4,8,7,9,3,1,2,0,0,1.33,5.56,11.31,,,,,,,1.33,5.5,11.0,,,,,,,1.33,5.6,11.25,,,,,,,,,
3,Sat,2017-08-26,Newcastle United,West Ham United,3-0,1-0,,3,0,H,1,0,H,16,8,8,3,17,11,7,5,1,3,0,0,2.34,3.42,3.33,,,,,,,2.3,3.4,3.4,,,,,,,2.36,3.45,3.26,,,,,,,,,
3,Sat,2017-08-26,Watford,Brighton & Hove Albion,0-0,0-0,,0,0,D,0,0,D,8,16,0,2,7,18,3,11,0,1,1,0,1.99,3.37,4.5,,,,,,,1.91,3.4,4.0,,,,,,,2.23,3.23,3.81,,,,,,,,,
3,Sun,2017-08-27,Chelsea,Everton,2-0,2-0,,2,0,H,2,0,H,18,7,7,0,12,7,6,3,2,2,0,0,1.47,4.55,8.45,,,,,,,1.45,4.5,8.5,,,,,,,1.53,4.35,7.4,,,,,,,,,
3,Sun,2017-08-27,Liverpool,Arsenal,4-0,2-0,,4,0,H,2,0,H,18,8,10,0,6,9,4,3,2,4,0,0,2.16,3.72,3.46,,,,,,,2.15,3.7,3.5,,,,,,,2.21,3.67,3.25,,,,,,,,,
3,Sun,2017-08-27,Tottenham,Burnley,1-1,0-0,,1,1,D,0,0,D,28,13,5,3,9,9,10,7,0,0,0,0,1.26,6.45,14.0,,,,,,,1.25,6.5,15.0,,,,,,,1.22,7.25,16.0,,,,,,,,,
3,Sun,2017-08-27,West Bromwich Albion,Stoke City,1-1,0-0,,1,1,D,0,0,D,10,16,2,2,10,9,10,4,2,2,0,0,2.39,3.12,3.55,,,,,,,2.4,3.1,3.5,,,,,,,2.66,3.15,3.06,,,,,,,,,
4,Sat,2017-09-09,Arsenal,AFC Bournemouth,3-0,2-0,,3,0,H,2,0,H,17,7,9,2,14,10,10,3,0,1,0,0,1.39,5.59,8.29,,,,,,,1.36,5.5,9.0,,,,,,,1.31,6.4,10.0,,,,,,,,,
4,Sat,2017-09-09,Brighton & Hove Albion,West Bromwich Albion,3-1,1-0,,3,1,H,1,0,H,12,12,6,3,9,4,2,6,2,0,0,0,2.76,3.0,3.08,,,,,,,2.7,3.1,3.0,,,,,,,2.71,3.05,3.09,,,,,,,,,
4,Sat,2017-09-09,Everton,Tottenham,0-3,0-2,,0,3,A,0,2,A,12,15,1,6,14,14,7,3,3,1,0,0,3.94,3.5,2.08,,,,,,,3.8,3.5,2.1,,,,,,,3.98,3.55,2.05,,,,,,,,,
4,Sat,2017-09-09,Leicester,Chelsea,1-2,0-1,,1,2,A,0,1,A,8,16,2,6,11,8,2,9,1,0,0,0,4.73,3.83,1.83,,,,,,,4.75,3.9,1.8,,,,,,,5.0,3.83,1.79,,,,,,,,,
4,Sat,2017-09-09,Manchester City,Liverpool,5-0,2-0,,5,0,H,2,0,H,13,10,7,3,10,9,8,3,2,2,0,1,1.89,3.94,4.2,,,,,,,1.85,4.0,4.2,,,,,,,1.89,3.98,4.14,,,,,,,,,
4,Sat,2017-09-09,Southampton FC,Watford,0-2,0-1,,0,2,A,0,1,A,9,12,1,3,8,11,7,4,0,0,0,0,1.67,3.96,5.95,,,,,,,1.65,4.0,6.0,,,,,,,1.69,3.99,5.58,,,,,,,,,
4,Sat,2017-09-09,Stoke City,Manchester United,2-2,1-1,,2,2,D,1,1,D,10,18,5,8,10,10,5,11,0,0,0,0,7.42,4.43,1.52,,,,,,,7.5,4.5,1.5,,,,,,,7.4,4.45,1.51,,,,,,,,,
4,Sun,2017-09-10,Burnley,Crystal Palace,1-0,1-0,,1,0,H,1,0,H,4,23,2,5,7,14,3,13,1,1,0,0,2.36,3.23,3.48,,,,,,,2.3,3.25,3.5,,,,,,,2.2,3.36,3.73,,,,,,,,,
4,Sun,2017-09-10,Swansea City,Newcastle United,0-1,0-0,,0,1,A,0,0,D,10,16,4,8,11,15,7,5,2,3,0,0,2.41,3.28,3.32,,,,,,,2.4,3.25,3.3,,,,,,,2.52,3.26,3.16,,,,,,,,,
4,Mon,2017-09-11,West Ham United,Huddersfield Town,2-0,0-0,,2,0,H,0,0,D,19,10,3,2,11,14,10,3,1,2,0,0,1.97,3.46,4.46,,,,,,,1.95,3.5,4.5,,,,,,,2.08,3.36,4.14,,,,,,,,,
5,Fri,2017-09-15,AFC Bournemouth,Brighton & Hove Albion,2-1,0-0,,2,1,H,0,0,D,15,9,3,2,5,12,6,4,0,0,0,0,2.17,3.44,3.74,,,,,,,2.15,3.4,3.8,,,,,,,2.17,3.41,3.76,,,,,,,,,
5,Sat,2017-09-16,Crystal Palace,Southampton FC,0-1,0-1,,0,1,A,0,1,A,14,13,3,4,14,13,5,5,5,1,0,0,2.99,3.32,2.6,,,,,,,3.0,3.3,2.6,,,,,,,2.89,3.26,2.72,,,,,,,,,
5,Sat,2017-09-16,Huddersfield Town,Leicester,1-1,0-0,,1,1,D,0,0,D,15,10,3,1,6,6,8,4,1,1,0,0,3.46,3.42,2.28,,,,,,,3.5,3.4,2.25,,,,,,,3.62,3.39,2.23,,,,,,,,,
5,Sat,2017-09-16,Liverpool,Burnley,1-1,1-1,,1,1,D,1,1,D,35,5,9,4,7,9,12,2,1,2,0,0,1.27,6.3,13.45,,,,,,,1.29,6.0,13.0,,,,,,,1.26,6.6,13.0,,,,,,,,,
5,Sat,2017-09-16,Newcastle United,Stoke City,2-1,1-0,,2,1,H,1,0,H,14,13,3,4,13,11,7,5,3,1,0,0,2.37,3.23,3.46,,,,,,,2.38,3.25,3.4,,,,,,,2.17,3.45,3.71,,,,,,,,,
5,Sat,2017-09-16,Tottenham,Swansea City,0-0,0-0,,0,0,D,0,0,D,26,4,8,0,11,9,11,1,1,3,0,0,1.25,6.7,14.0,,,,,,,1.22,7.0,15.0,,,,,,,1.21,7.95,14.25,,,,,,,,,
5,Sat,2017-09-16,Watford,Manchester City,0-6,0-3,,0,6,A,0,3,A,7,28,1,10,8,6,3,11,2,0,0,0,9.83,5.64,1.35,,,,,,,9.0,6.0,1.33,,,,,,,9.35,6.1,1.33,,,,,,,,,
5,Sat,2017-09-16,West Bromwich Albion,West Ham United,0-0,0-0,,0,0,D,0,0,D,6,9,1,1,15,7,2,3,2,2,0,0,2.36,3.27,3.43,,,,,,,2.38,3.25,3.4,,,,,,,2.34,3.27,3.49,,,,,,,,,
5,Sun,2017-09-17,Chelsea,Arsenal,0-0,0-0,,0,0,D,0,0,D,13,11,4,2,11,15,5,1,1,3,1,0,1.81,4.02,4.57,,,,,,,1.8,4.0,4.5,,,,,,,1.77,3.99,4.88,,,,,,,,,
5,Sun,2017-09-17,Manchester United,Everton,4-0,1-0,,4,0,H,1,0,H,16,7,7,3,15,14,4,1,1,1,0,0,1.35,5.3,10.93,,,,,,,1.36,5.25,10.0,,,,,,,1.35,5.33,10.31,,,,,,,,,
6,Sat,2017-09-23,Burnley,Huddersfield Town,0-0,0-0,,0,0,D,0,0,D,5,9,3,2,9,13,3,4,3,2,0,0,2.21,3.23,3.89,,,,,,,2.15,3.25,3.9,,,,,,,2.41,3.16,3.46,,,,,,,,,
6,Sat,2017-09-23,Everton,AFC Bournemouth,2-1,0-0,,2,1,H,0,0,D,12,8,4,4,12,11,4,6,3,1,0,0,1.72,3.92,5.43,,,,,,,1.65,4.0,5.75,,,,,,,1.74,3.85,5.37,,,,,,,,,
6,Sat,2017-09-23,Leicester,Liverpool,2-3,1-2,,2,3,A,1,2,A,12,23,7,6,13,14,3,6,3,3,0,0,4.27,3.87,1.89,,,,,,,4.1,3.9,1.91,,,,,,,4.4,4.18,1.81,,,,,,,,,
6,Sat,2017-09-23,Manchester City,Crystal Palace,5-0,1-0,,5,0,H,1,0,H,25,5,9,0,6,7,8,2,3,1,0,0,1.15,10.0,18.5,,,,,,,1.14,10.0,21.0,,,,,,,1.13,11.0,21.0,,,,,,,,,
6,Sat,2017-09-23,Southampton FC,Manchester United,0-1,0-1,,0,1,A,0,1,A,14,9,4,4,12,9,8,4,1,4,0,0,5.35,3.82,1.75,,,,,,,5.5,3.8,1.73,,,,,,,4.77,3.74,1.84,,,,,,,,,
6,Sat,2017-09-23,Stoke City,Chelsea,0-4,0-2,,0,4,A,0,2,A,13,7,2,4,5,14,5,0,2,2,0,0,5.69,4.25,1.64,,,,,,,6.0,4.1,1.62,,,,,,,6.65,4.6,1.53,,,,,,,,,
6,Sat,2017-09-23,Swansea City,Watford,1-2,0-1,,1,2,A,0,1,A,10,8,3,4,9,16,5,4,1,3,0,0,2.43,3.29,3.28,,,,,,,2.4,3.3,3.25,,,,,,,2.42,3.24,3.35,,,,,,,,,
6,Sat,2017-09-23,West Ham United,Tottenham,2-3,0-2,,2,3,A,0,2,A,10,15,4,5,10,20,4,3,4,2,0,1,5.95,4.36,1.61,,,,,,,6.0,4.33,1.6,,,,,,,5.85,4.37,1.61,,,,,,,,,
