competition_folder,rows_read,rows_with_odds,rows_with_result,mean_odd_home,mean_odd_draw,mean_odd_away,mean_odd_universe,mean_odd_favorite,mean_imp_prob_home_raw,mean_imp_prob_draw_raw,mean_imp_prob_away_raw,mean_imp_prob_universe_raw,mean_prob_home_norm,mean_prob_draw_norm,mean_prob_away_norm,mean_overround,model_correct,model_accuracy,house_correct,house_accuracy,picked_odds_mean,picked_odds_median,picked_odds_p25,picked_odds_p75
__ALL__,5433,4774,5433,2.7787955592794304,4.105098449937159,4.585092165898617,3.8229953917050694,1.9457582739840802,0.4563117098566589,0.25972304759763487,0.3140942735963432,0.3433763436835457,0.44275307243626827,0.25222459372352285,0.3050223338402088,0.030129031050636926,2842,0.5230995766611448,2611,0.5469208211143695,2.055437788018433,1.93,1.6,2.4
Brasileirão - Série A Betano,448,385,448,2.364779220779221,3.5600519480519477,4.636467532467532,3.5204329004329002,2.022649350649351,0.4792127104919296,0.28843596314300046,0.26832008647443145,0.3453229200364539,0.4623939915226447,0.2785000352873502,0.2591059731900051,0.03596876010936145,222,0.4955357142857143,203,0.5272727272727272,2.1156883116883116,2.01,1.7,2.41
Brasileirão - Série B,390,0,390,,,,,,,,,,,,,,172,0.441025641025641,0,,,,,
Bundesliga,771,732,771,2.7591666666666668,4.541926229508197,4.754057377049181,4.0183834244080145,1.9141803278688525,0.46963999611686796,0.239587021782983,0.3208579628803187,0.34336166026005654,0.4557268422726286,0.23272109366771945,0.3115520640596519,0.030084980780169548,423,0.5486381322957199,402,0.5491803278688525,2.0561612021857925,1.93,1.5475,2.47
La Liga,973,933,973,2.6857556270096468,3.927341907824223,4.757234726688103,3.7901107538406573,1.9756591639871381,0.4606379072316449,0.2713620964313712,0.29757897689779716,0.3431929935202711,0.4471450337494017,0.2637055513414167,0.28914941490918145,0.029578980560813227,526,0.5405960945529291,524,0.5616291532690246,2.0985637727759916,1.99,1.64,2.53
Ligue 1,930,894,930,2.8136129753914987,4.107740492170022,4.304127516778523,3.7418269947800153,1.94079418344519,0.4484099169495186,0.2558683788470422,0.3246542527366123,0.3429775161777244,0.4356292668248184,0.2487749536326519,0.3155957795425297,0.028932548533173084,484,0.5204301075268817,479,0.5357941834451901,2.0194630872483224,1.92,1.6,2.33
Premier League,976,926,976,2.892624190064795,4.454913606911447,4.666987041036717,4.004841612670987,1.8806587473002156,0.45863648136702706,0.24067199047772503,0.3304395008627237,0.34324932423582527,0.4451780430702534,0.2338175708255892,0.32100438610415727,0.029747972707475742,518,0.5307377049180327,516,0.5572354211663066,1.9823434125269979,1.86,1.52,2.2975
Série A,945,904,945,2.9160066371681412,3.806028761061947,4.442699115044247,3.7215781710914446,1.9793141592920356,0.4367342004567347,0.27511377614359694,0.3179709456159675,0.3432729740720997,0.42391115444505345,0.2672441346814927,0.3088447108734537,0.02981892221629912,497,0.5259259259259259,487,0.5387168141592921,2.0951327433628317,1.955,1.6,2.4925
