Matchday,Date,Home,Away,FullTime
Olympic Games qualifier,1964-05-31,North Korea,Thailand,2-0
Olympic Games qualifier,1964-05-31,Ghana,Tunisia,2-0
Olympic Games qualifier,1964-05-31,Bulgaria,Romania,0-1
Olympic Games qualifier,1964-06-06,Iran,India,3-0
Olympic Games qualifier,1964-06-19,India,Iran,1-3
Olympic Games qualifier,1964-06-21,Tunisia,Ghana,2-1
Olympic Games qualifier,1964-06-28,South Vietnam,South Korea,2-2
Olympic Games qualifier,1964-06-28,North Korea,Thailand,5-0
Olympic Games qualifier,1967-04-09,Madagascar,Tanzania,4-2
Olympic Games qualifier,1967-04-16,Tanzania,Madagascar,0-2
Olympic Games qualifier,1967-04-21,Libya,Niger,2-0
Olympic Games qualifier,1967-05-21,Dominican Republic,Haiti,0-8
Olympic Games qualifier,1967-05-21,Trinidad and Tobago,Suriname,1-0
Olympic Games qualifier,1967-05-27,Haiti,Dominican Republic,6-0
Olympic Games qualifier,1967-05-27,Suriname,Trinidad and Tobago,5-2
Olympic Games qualifier,1967-06-18,Gabon,Guinea,0-0
Olympic Games qualifier,1967-07-09,Guinea,Gabon,6-1
Olympic Games qualifier,1967-07-28,Poland,Soviet Union,0-1
Olympic Games qualifier,1967-08-04,Soviet Union,Poland,2-1
Olympic Games qualifier,1967-09-24,Niger,Libya,2-2
Olympic Games qualifier,1967-09-27,Japan,Philippines,15-0
Olympic Games qualifier,1967-09-28,Lebanon,South Vietnam,1-1
Olympic Games qualifier,1967-09-28,South Korea,Taiwan,4-2
Olympic Games qualifier,1967-09-30,Japan,Taiwan,4-0
Olympic Games qualifier,1967-10-01,South Vietnam,Philippines,10-0
Olympic Games qualifier,1967-10-01,South Korea,Lebanon,2-0
Olympic Games qualifier,1967-10-03,Japan,Lebanon,3-1
Olympic Games qualifier,1967-10-03,Taiwan,Philippines,7-2
Olympic Games qualifier,1967-10-04,South Korea,South Vietnam,3-0
Olympic Games qualifier,1967-10-06,Lebanon,Philippines,11-1
Olympic Games qualifier,1967-10-07,Japan,South Korea,3-3
