Matchday,Date,Home,Away,FullTime
Far Eastern Games,1925-05-20,China,Japan,2-0
Far Eastern Games,1925-05-22,Philippines,China,1-5
Rosa Chevallier Boutell Cup,1925-07-09,Argentina,Paraguay,1-1
Rosa Chevallier Boutell Cup,1925-07-12,Argentina,Paraguay,1-1
Rosa Chevallier Boutell Cup,1926-05-29,Argentina,Paraguay,2-1
Rosa Chevallier Boutell Cup,1926-06-03,Argentina,Paraguay,2-1
King Alexander Cup,1926-10-03,Yugoslavia,Romania,2-3
Trans-Caucasian Champ,1926-12-31,Azerbaijan,Armenia,4-0
Trans-Caucasian Champ,1926-12-31,Georgia,Armenia,7-0
Trans-Caucasian Champ,1926-12-31,Georgia,Azerbaijan,2-4
King Alexander Cup,1927-05-10,Romania,Yugoslavia,0-3
Newton Cup,1927-07-14,Uruguay,Argentina,0-1
Far Eastern Games,1927-08-27,China,Japan,5-1
Far Eastern Games,1927-08-29,Japan,Philippines,2-1
Lipton Cup,1927-08-30,Argentina,Uruguay,0-1
Far Eastern Games,1927-08-31,China,Philippines,3-1
Trans-Caucasian Champ,1927-12-31,Azerbaijan,Armenia,6-3
Trans-Caucasian Champ,1927-12-31,Georgia,Armenia,1-1
Trans-Caucasian Champ,1927-12-31,Georgia,Azerbaijan,1-1
King Alexander Cup,1928-05-06,Yugoslavia,Romania,3-1
Trans-Caucasian Champ,1928-06-24,Georgia,Armenia,5-1
Trans-Caucasian Champ,1928-06-28,Azerbaijan,Armenia,4-0
Trans-Caucasian Champ,1928-07-01,Georgia,Azerbaijan,6-0
Newton Cup,1928-08-30,Argentina,Uruguay,1-0
Lipton Cup,1928-09-21,Uruguay,Argentina,2-2
King Alexander Cup,1929-05-10,Romania,Yugoslavia,2-3
Newton Cup,1929-09-20,Uruguay,Argentina,2-1
Lipton Cup,1929-09-28,Argentina,Uruguay,0-0
Central American Games,1930-03-16,Cuba,Jamaica,3-1
Central American Games,1930-03-17,Costa Rica,Guatemala,8-1
Central American Games,1930-03-18,Honduras,Jamaica,5-4
Central American Games,1930-03-19,El Salvador,Guatemala,8-2
Central American Games,1930-03-20,Cuba,Honduras,7-0
Central American Games,1930-03-22,Costa Rica,El Salvador,9-2
Central American Games,1930-03-23,Cuba,Honduras,5-0
Central American Games,1930-03-26,Costa Rica,El Salvador,5-0
Central American Games,1930-03-29,Honduras,El Salvador,4-1
Central American Games,1930-03-30,Cuba,Costa Rica,2-1
Central American Games,1930-04-01,Cuba,El Salvador,5-2
Central American Games,1930-04-04,Costa Rica,Honduras,8-0
King Alexander Cup,1930-05-04,Yugoslavia,Romania,2-1
Far Eastern Games,1930-05-25,Japan,Philippines,7-2
Newton Cup,1930-05-25,Argentina,Uruguay,1-1
Far Eastern Games,1930-05-27,China,Philippines,5-0
Far Eastern Games,1930-05-30,Japan,China,3-3
Rosa Chevallier Boutell Cup,1931-07-04,Argentina,Paraguay,1-1
Rosa Chevallier Boutell Cup,1931-07-09,Argentina,Paraguay,3-1
Rio Branco Cup,1931-09-06,Brazil,Uruguay,2-0
Rio Branco Cup,1932-12-04,Uruguay,Brazil,1-2
Far Eastern Games,1934-05-12,Philippines,China,0-2
Far Eastern Games,1934-05-13,Dutch East Indies,Japan,7-1
Far Eastern Games,1934-05-14,China,Dutch East Indies,2-0
Far Eastern Games,1934-05-15,Philippines,Japan,3-4
Far Eastern Games,1934-05-19,Philippines,Dutch East Indies,3-2
Far Eastern Games,1934-05-20,China,Japan,4-3
Trans-Caucasian Champ,1934-12-31,Azerbaijan,Armenia,3-0
Trans-Caucasian Champ,1934-12-31,Georgia,Armenia,4-0
Trans-Caucasian Champ,1934-12-31,Azerbaijan,Georgia,0-1
Central American Games,1935-03-24,El Salvador,Cuba,4-1
Central American Games,1935-03-25,Costa Rica,Guatemala,4-3
Central American Games,1935-03-25,Cuba,Honduras,3-0
Central American Games,1935-03-27,El Salvador,Mexico,1-8
Central American Games,1935-03-27,Cuba,Guatemala,2-1
Central American Games,1935-03-28,El Salvador,Honduras,3-4
Central American Games,1935-03-28,Mexico,Guatemala,5-1
Central American Games,1935-03-30,El Salvador,Costa Rica,1-6
Central American Games,1935-03-30,Mexico,Cuba,6-1
Central American Games,1935-03-31,Costa Rica,Cuba,2-1
Central American Games,1935-03-31,Guatemala,Honduras,0-0
Central American Games,1935-04-01,Mexico,Honduras,8-2
Central American Games,1935-04-02,Mexico,Costa Rica,2-0
Central American Games,1935-04-03,Costa Rica,Honduras,6-0
Central American Games,1935-04-03,El Salvador,Guatemala,6-1
Hector Gomez Cup,1935-07-18,Uruguay,Argentina,1-1
Juan Mignaburu Cup,1935-08-15,Argentina,Uruguay,3-0
Trans-Caucasian Champ,1935-12-31,Azerbaijan,Armenia,3-0
Trans-Caucasian Champ,1935-12-31,Georgia,Armenia,3-0
Trans-Caucasian Champ,1935-12-31,Georgia,Azerbaijan,1-0
King Alexander Cup,1936-05-10,Romania,Yugoslavia,3-2
Juan Mignaburu Cup,1936-08-09,Argentina,Uruguay,1-0
Hector Gomez Cup,1936-09-20,Uruguay,Argentina,2-1
Eduard Benes Cup,1937-04-18,Romania,Czechoslovakia,1-1
World Cup q & Nordic Ch,1937-06-16,Sweden,Finland,4-0
King Carol Cup,1937-09-08,Yugoslavia,Romania,2-1
Eduard Benes Cup,1937-10-03,Czechoslovakia,Yugoslavia,5-4
Newton Cup,1937-10-10,Uruguay,Argentina,0-3
Lipton Cup,1937-11-11,Argentina,Uruguay,5-1
Eduard Benes Cup,1938-05-08,Romania,Yugoslavia,0-1
Eduard Benes Cup,1938-05-28,Yugoslavia,Czechoslovakia,1-3
Juan Mignaburu Cup,1938-06-18,Argentina,Uruguay,1-0
Bolivarian Games,1938-08-08,Bolivia,Ecuador,1-1
Bolivarian Games,1938-08-08,Colombia,Peru,2-4
Bolivarian Games,1938-08-10,Colombia,Ecuador,1-2
Bolivarian Games,1938-08-11,Bolivia,Venezuela,3-1
Bolivarian Games,1938-08-11,Peru,Ecuador,9-1
Bolivarian Games,1938-08-13,Colombia,Venezuela,2-0
Bolivarian Games,1938-08-14,Peru,Bolivia,3-0
Bolivarian Games,1938-08-16,Colombia,Bolivia,1-2
Bolivarian Games,1938-08-17,Peru,Venezuela,2-1
Bolivarian Games,1938-08-19,Ecuador,Venezuela,5-2
Bolivarian Games,1938-08-22,Bolivia,Ecuador,2-1
Eduard Benes Cup,1938-09-06,Yugoslavia,Romania,1-1
Hector Gomez Cup,1938-10-12,Uruguay,Argentina,2-3
Eduard Benes Cup,1938-12-04,Czechoslovakia,Romania,6-2
Roca Cup,1939-01-15,Brazil,Argentina,1-5
Roca Cup,1939-01-22,Brazil,Argentina,3-2
King Carol Cup,1939-05-07,Romania,Yugoslavia,1-0
Rosa Chevallier Boutell Cup,1939-08-14,Paraguay,Argentina,0-1
Rosa Chevallier Boutell Cup,1939-08-16,Paraguay,Argentina,2-2
Rosa Chevallier Boutell Cup,1940-02-18,Argentina,Paraguay,3-1
Roca Cup,1940-02-18,Brazil,Argentina,2-2
Rosa Chevallier Boutell Cup,1940-02-25,Argentina,Paraguay,4-0
Roca Cup,1940-02-25,Brazil,Argentina,0-3
Roca Cup,1940-03-05,Argentina,Brazil,6-1
Roca Cup,1940-03-10,Argentina,Brazil,2-3
Roca Cup,1940-03-17,Argentina,Brazil,5-1
Rio Branco Cup,1940-03-24,Brazil,Uruguay,3-4
Rio Branco Cup,1940-03-31,Brazil,Uruguay,1-1
Danube Cup,1940-03-31,Romania,Yugoslavia,3-3
Danube Cup,1940-05-19,Hungary,Romania,2-0
Hector Gomez Cup,1940-07-18,Uruguay,Argentina,3-0
Juan Mignaburu Cup,1940-08-15,Argentina,Uruguay,5-0
Danube C & King Mihai C,1940-09-22,Yugoslavia,Romania,1-2
Danube Cup,1940-09-29,Hungary,Yugoslavia,0-0
Danube Cup,1941-03-23,Yugoslavia,Hungary,1-1
Newton Cup,1942-05-25,Argentina,Uruguay,4-1
Lipton Cup,1942-08-25,Uruguay,Argentina,1-1
Juan Mignaburu Cup,1943-03-28,Argentina,Uruguay,3-3
Hector Gomez Cup,1943-04-04,Uruguay,Argentina,0-1
Rosa Chevallier Boutell Cup,1943-07-10,Paraguay,Argentina,2-5
