Matchday,Date,Home,Away,FullTime
South Pacific Games,1983-09-30,New Caledonia,Solomon Islands,1-0
South Pacific Games,1983-09-30,New Caledonia,Papua New Guinea,2-1
South Pacific Games,1983-09-30,New Caledonia,Wallis and Futuna,4-0
South Pacific Games,1983-09-30,New Caledonia,Vanuatu,6-2
South Pacific Games,1983-09-30,Fiji,Papua New Guinea,2-0
South Pacific Games,1983-09-30,Tahiti,Papua New Guinea,6-1
South Pacific Games,1983-09-30,Western Samoa,Tahiti,0-2
South Pacific Games,1987-12-09,New Caledonia,Eastern Samoa,10-0
South Pacific Games,1987-12-09,Vanuatu,Wallis and Futuna,6-1
South Pacific Games,1987-12-09,Papua New Guinea,Tahiti,0-0
South Pacific Games,1987-12-10,New Caledonia,Papua New Guinea,2-0
South Pacific Games,1987-12-10,Vanuatu,Eastern Samoa,7-0
South Pacific Games,1987-12-10,Tahiti,Wallis and Futuna,4-0
South Pacific Games,1987-12-12,New Caledonia,Tahiti,2-3
South Pacific Games,1987-12-12,Papua New Guinea,Vanuatu,1-1
South Pacific Games,1987-12-12,Wallis and Futuna,Eastern Samoa,5-1
South Pacific Games,1987-12-15,New Caledonia,Wallis and Futuna,5-1
South Pacific Games,1987-12-15,Tahiti,Vanuatu,2-1
South Pacific Games,1987-12-15,Papua New Guinea,Eastern Samoa,20-0
South Pacific Games,1987-12-17,New Caledonia,Vanuatu,6-0
South Pacific Games,1987-12-17,Papua New Guinea,Wallis and Futuna,2-0
South Pacific Games,1987-12-19,New Caledonia,Tahiti,1-0
South Pacific Games,1987-12-19,Papua New Guinea,Vanuatu,3-1
South Pacific Games,1991-09-09,Vanuatu,Wallis and Futuna,4-0
South Pacific Games,1991-09-09,Papua New Guinea,Solomon Islands,0-0
South Pacific Games,1991-09-10,Tahiti,Guam,15-0
South Pacific Games,1991-09-10,Fiji,New Caledonia,3-1
South Pacific Games,1991-09-11,Papua New Guinea,Vanuatu,0-1
South Pacific Games,1991-09-11,Solomon Islands,Wallis and Futuna,5-0
South Pacific Games,1991-09-12,Fiji,Guam,14-1
South Pacific Games,1991-09-12,New Caledonia,Tahiti,2-2
South Pacific Games,1991-09-13,Solomon Islands,Vanuatu,3-0
South Pacific Games,1991-09-13,Papua New Guinea,Wallis and Futuna,5-0
South Pacific Games,1991-09-14,New Caledonia,Guam,18-0
South Pacific Games,1991-09-14,Fiji,Tahiti,3-0
South Pacific Games,1991-09-17,Solomon Islands,New Caledonia,4-1
South Pacific Games,1991-09-17,Fiji,Vanuatu,3-1
South Pacific Games,1991-09-17,Tahiti,Wallis and Futuna,5-0
South Pacific Games,1991-09-18,Wallis and Futuna,Guam,5-0
South Pacific Games,1991-09-19,New Caledonia,Vanuatu,3-0
South Pacific Games,1991-09-20,Fiji,Solomon Islands,1-1
South Pacific Games,1995-08-16,Vanuatu,Guam,6-0
