Matchday,Date,Home,Away,FullTime
Amilcar Cabral Cup,1985-02-13,Cape Verde,Sierra Leone,2-2
Amilcar Cabral Cup,1985-02-13,Gambia,Guinea-Bissau,1-0
Amilcar Cabral Cup,1985-02-14,Mali,Guinea,3-1
Amilcar Cabral Cup,1985-02-14,Senegal,Mauritania,2-0
Amilcar Cabral Cup,1985-02-15,Gambia,Sierra Leone,1-1
Amilcar Cabral Cup,1985-02-15,Cape Verde,Guinea-Bissau,2-0
Amilcar Cabral Cup,1985-02-16,Mali,Senegal,2-2
Amilcar Cabral Cup,1985-02-16,Guinea,Mauritania,1-0
Amilcar Cabral Cup,1985-02-19,Gambia,Mali,1-0
Amilcar Cabral Cup,1985-02-19,Senegal,Cape Verde,1-0
Amilcar Cabral Cup,1985-02-21,Mali,Cape Verde,1-0
Amilcar Cabral Cup,1985-02-22,Gambia,Senegal,0-1
Amilcar Cabral Cup,1986-02-01,Senegal,Guinea,2-1
Amilcar Cabral Cup,1986-02-02,Sierra Leone,Mauritania,1-0
Amilcar Cabral Cup,1986-02-02,Gambia,Guinea-Bissau,3-0
Amilcar Cabral Cup,1986-02-03,Guinea,Mali,1-1
Amilcar Cabral Cup,1986-02-04,Sierra Leone,Gambia,2-1
Amilcar Cabral Cup,1986-02-04,Guinea-Bissau,Mauritania,1-0
Amilcar Cabral Cup,1986-02-05,Senegal,Mali,1-0
Amilcar Cabral Cup,1986-02-06,Sierra Leone,Guinea-Bissau,3-2
Amilcar Cabral Cup,1986-02-06,Gambia,Mauritania,3-1
Amilcar Cabral Cup,1986-02-08,Sierra Leone,Guinea,2-1
Amilcar Cabral Cup,1986-02-08,Senegal,Gambia,1-0
Amilcar Cabral Cup,1986-02-10,Senegal,Sierra Leone,3-1
Amilcar Cabral Cup,1987-02-22,Guinea-Bissau,Mali,0-0
Amilcar Cabral Cup,1987-02-22,Guinea,Mauritania,1-0
Amilcar Cabral Cup,1987-02-23,Sierra Leone,Senegal,1-0
Amilcar Cabral Cup,1987-02-24,Guinea-Bissau,Mauritania,1-1
Amilcar Cabral Cup,1987-02-24,Guinea,Mali,0-0
Amilcar Cabral Cup,1987-02-25,Senegal,Cape Verde,2-0
Amilcar Cabral Cup,1987-02-26,Guinea,Guinea-Bissau,0-0
Amilcar Cabral Cup,1987-02-26,Mali,Mauritania,1-0
Amilcar Cabral Cup,1987-02-27,Sierra Leone,Cape Verde,2-0
Amilcar Cabral Cup,1987-03-01,Mali,Sierra Leone,0-0
Amilcar Cabral Cup,1987-03-01,Guinea,Senegal,1-0
Amilcar Cabral Cup,1987-03-02,Senegal,Sierra Leone,0-0
Amilcar Cabral Cup,1987-03-02,Cape Verde,Guinea-Bissau,0-0
Amilcar Cabral Cup,1987-03-03,Guinea,Mali,1-0
Amilcar Cabral Cup,1988-04-28,Guinea-Bissau,Sierra Leone,0-0
Amilcar Cabral Cup,1988-04-28,Senegal,Gambia,4-0
Amilcar Cabral Cup,1988-04-29,Mali,Cape Verde,3-1
Amilcar Cabral Cup,1988-04-29,Guinea,Mauritania,1-1
Amilcar Cabral Cup,1988-04-30,Sierra Leone,Gambia,3-1
Amilcar Cabral Cup,1988-04-30,Guinea-Bissau,Senegal,1-1
Amilcar Cabral Cup,1988-05-01,Cape Verde,Mauritania,3-2
Amilcar Cabral Cup,1988-05-01,Guinea,Mali,1-0
Amilcar Cabral Cup,1988-05-02,Senegal,Sierra Leone,2-2
Amilcar Cabral Cup,1988-05-02,Guinea-Bissau,Gambia,3-1
Amilcar Cabral Cup,1988-05-03,Cape Verde,Guinea,1-1
Amilcar Cabral Cup,1988-05-03,Mali,Mauritania,2-2
Amilcar Cabral Cup,1988-05-05,Guinea,Sierra Leone,3-0
Amilcar Cabral Cup,1988-05-05,Mali,Senegal,1-1
Amilcar Cabral Cup,1988-05-07,Senegal,Sierra Leone,2-1
Amilcar Cabral Cup,1988-05-08,Guinea,Mali,0-0
Amilcar Cabral Cup,1989-05-24,Guinea-Bissau,Senegal,0-0
Amilcar Cabral Cup,1989-05-25,Sierra Leone,Mauritania,2-1
Amilcar Cabral Cup,1989-05-25,Mali,Cape Verde,1-1
Amilcar Cabral Cup,1989-05-27,Guinea,Sierra Leone,1-0
Amilcar Cabral Cup,1989-05-27,Guinea-Bissau,Cape Verde,3-2
Amilcar Cabral Cup,1989-05-27,Mali,Senegal,2-2
Amilcar Cabral Cup,1989-05-30,Mali,Guinea-Bissau,2-1
Amilcar Cabral Cup,1989-05-30,Cape Verde,Senegal,2-1
Amilcar Cabral Cup,1989-05-30,Guinea,Mauritania,3-1
Amilcar Cabral Cup,1989-06-02,Mali,Sierra Leone,1-0
Amilcar Cabral Cup,1989-06-02,Guinea,Cape Verde,1-0
Amilcar Cabral Cup,1989-06-03,Cape Verde,Sierra Leone,1-0
Amilcar Cabral Cup,1989-06-04,Mali,Guinea,3-0
Amilcar Cabral Cup,1991-11-22,Cape Verde,Guinea-Bissau,2-1
Amilcar Cabral Cup,1991-11-23,Gambia,Mali,1-0
Amilcar Cabral Cup,1991-11-24,Sierra Leone,Guinea,1-0
Amilcar Cabral Cup,1991-11-24,Senegal,Guinea-Bissau,4-0
Amilcar Cabral Cup,1991-11-26,Mali,Sierra Leone,1-1
Amilcar Cabral Cup,1991-11-26,Gambia,Guinea,0-0
Amilcar Cabral Cup,1991-11-27,Senegal,Cape Verde,0-0
Amilcar Cabral Cup,1991-11-28,Gambia,Sierra Leone,0-0
Amilcar Cabral Cup,1991-11-28,Mali,Guinea,2-0
Amilcar Cabral Cup,1991-11-30,Cape Verde,Sierra Leone,0-0
Amilcar Cabral Cup,1991-11-30,Senegal,Gambia,2-0
Amilcar Cabral Cup,1991-12-02,Senegal,Cape Verde,1-0
Amilcar Cabral Cup,1993-11-26,Sierra Leone,Guinea,1-1
Amilcar Cabral Cup,1993-11-27,Guinea-Bissau,Mauritania,1-0
Amilcar Cabral Cup,1993-11-27,Mali,Senegal,1-0
Amilcar Cabral Cup,1993-11-28,Gambia,Guinea,2-1
Amilcar Cabral Cup,1993-11-29,Mali,Guinea-Bissau,3-0
Amilcar Cabral Cup,1993-11-29,Senegal,Mauritania,4-0
Amilcar Cabral Cup,1993-11-30,Sierra Leone,Gambia,1-1
Amilcar Cabral Cup,1993-12-01,Guinea-Bissau,Senegal,0-0
Amilcar Cabral Cup,1993-12-01,Mali,Mauritania,0-0
Amilcar Cabral Cup,1993-12-03,Sierra Leone,Mali,2-0
Amilcar Cabral Cup,1993-12-03,Senegal,Gambia,2-0
Amilcar Cabral Cup,1993-12-05,Sierra Leone,Senegal,2-0
Amilcar Cabral Cup,1993-12-05,Gambia,Mali,2-0
Amilcar Cabral Cup,1995-11-17,Mauritania,Gambia,2-1
Amilcar Cabral Cup,1995-11-17,Cape Verde,Mali,1-0
Amilcar Cabral Cup,1995-11-18,Sierra Leone,Guinea,2-0
Amilcar Cabral Cup,1995-11-18,Guinea-Bissau,Senegal,2-1
Amilcar Cabral Cup,1995-11-19,Mali,Gambia,1-0
Amilcar Cabral Cup,1995-11-19,Mauritania,Cape Verde,1-1
Amilcar Cabral Cup,1995-11-20,Sierra Leone,Guinea-Bissau,2-0
Amilcar Cabral Cup,1995-11-20,Senegal,Guinea,3-0
Amilcar Cabral Cup,1995-11-21,Gambia,Cape Verde,3-0
Amilcar Cabral Cup,1995-11-21,Mauritania,Mali,3-1
Amilcar Cabral Cup,1995-11-22,Senegal,Sierra Leone,1-1
Amilcar Cabral Cup,1995-11-22,Guinea-Bissau,Guinea,2-1
Amilcar Cabral Cup,1995-11-25,Sierra Leone,Cape Verde,2-0
Amilcar Cabral Cup,1995-11-25,Mauritania,Guinea-Bissau,1-0
Amilcar Cabral Cup,1995-11-27,Cape Verde,Guinea-Bissau,1-0
Amilcar Cabral Cup,1995-11-28,Mauritania,Sierra Leone,0-0
Amilcar Cabral Cup,1997-11-28,Gambia,Cape Verde,3-1
Amilcar Cabral Cup,1997-11-28,Mauritania,Senegal,1-1
Amilcar Cabral Cup,1997-11-29,Sierra Leone,Guinea-Bissau,2-1
Amilcar Cabral Cup,1997-11-29,Guinea,Mali,0-0
Amilcar Cabral Cup,1997-11-30,Gambia,Mauritania,2-1
Amilcar Cabral Cup,1997-11-30,Senegal,Cape Verde,2-0
Amilcar Cabral Cup,1997-12-01,Guinea,Sierra Leone,3-0
Amilcar Cabral Cup,1997-12-01,Mali,Guinea-Bissau,6-1
Amilcar Cabral Cup,1997-12-02,Gambia,Senegal,0-0
Amilcar Cabral Cup,1997-12-02,Cape Verde,Mauritania,2-2
Amilcar Cabral Cup,1997-12-03,Mali,Sierra Leone,1-1
Amilcar Cabral Cup,1997-12-03,Guinea,Guinea-Bissau,2-0
Amilcar Cabral Cup,1997-12-05,Gambia,Mali,1-2
Amilcar Cabral Cup,1997-12-05,Senegal,Guinea,2-1
Amilcar Cabral Cup,1997-12-07,Gambia,Guinea,2-2
Amilcar Cabral Cup,1997-12-07,Mali,Senegal,1-0
Amilcar Cabral Cup,2000-05-04,Cape Verde,Gambia,1-1
Amilcar Cabral Cup,2000-05-05,Guinea-Bissau,Mauritania,1-0
Amilcar Cabral Cup,2000-05-05,Guinea,Mali,3-1
Amilcar Cabral Cup,2000-05-06,Cape Verde,Sierra Leone,1-0
Amilcar Cabral Cup,2000-05-06,Gambia,Senegal,1-1
Amilcar Cabral Cup,2000-05-07,Mali,Guinea-Bissau,3-2
Amilcar Cabral Cup,2000-05-07,Guinea,Mauritania,1-1
